System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D1018CR"
Last test date,,"Monday, September 9, 2024"
Last test time,,"5:01:15 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"<None>"
Material,,"1018CR"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.80"
Length,(mm),"39.98"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"91.7"
Rockwell Scale,,"HRB"
Final Diameter,,"12.85"
Final Length,,"39.33"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"74.68"
Maximum Strain,(%),"1.790"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.0004429","-0.00001066"
"0.50","0.02","0.00005668","-0.000009177"
"1.00","0.04","0.0008267","-0.000009370"
"1.50","0.06","-0.00008731","-0.00001095"
"2.00","0.08","0.0004796","-0.00001134"
"2.50","0.10","0.0004860","-0.000004776"
"3.00","0.13","0.0005783","-0.00001567"
"3.50","0.15","0.00009214","-0.000003796"
"4.00","0.17","0.0006304","-0.00001247"
"4.50","0.19","-0.0002859","-0.00001138"
"5.00","0.21","-0.0002285","-0.000009150"
"5.50","0.23","0.00006197","-0.000008487"
"6.00","0.25","-0.00006948","-0.000008565"
"6.50","0.27","-0.00001766","-0.000008926"
"7.00","0.29","0.0003515","-0.00001574"
"7.50","0.31","-0.0005407","-0.00001341"
"8.00","0.33","-0.0004683","-0.000008016"
"8.50","0.35","-0.0001096","-0.000006545"
"9.00","0.38","0.00007255","-0.00001145"
"9.50","0.40","-0.0006020","-0.000005580"
"10.00","0.42","-0.0004836","-0.00001038"
"10.50","0.44","-0.0004642","-0.000009974"
"11.00","0.46","0.0004067","-0.00001415"
"11.50","0.48","0.0002472","-0.00001387"
"12.00","0.50","0.01409","0.000007427"
"12.50","0.52","0.04551","0.00001520"
"13.00","0.54","0.06584","0.00001219"
"13.50","0.56","0.09085","0.00001427"
"14.00","0.58","0.1204","0.00002345"
"14.50","0.60","0.1463","0.00001926"
"15.00","0.63","0.1850","0.00003167"
"15.50","0.65","0.2323","0.00002719"
"16.00","0.67","0.2874","0.00003032"
"16.50","0.69","0.2796","0.00003610"
"17.00","0.71","0.3530","0.00004291"
"17.50","0.73","0.4657","0.00003103"
"18.00","0.75","0.6310","0.00004105"
"18.50","0.77","0.8263","0.00003756"
"19.00","0.79","1.110","0.00004106"
"19.50","0.81","1.409","0.00003554"
"20.00","0.83","1.810","0.00004035"
"20.50","0.85","2.290","0.00004626"
"21.00","0.87","2.818","0.00006490"
"21.50","0.90","3.422","0.00009630"
"22.00","0.92","4.099","0.0001224"
"22.50","0.94","4.837","0.0001629"
"23.00","0.96","5.637","0.0002005"
"23.50","0.98","6.525","0.0002289"
"24.00","1.00","7.494","0.0002635"
"24.50","1.02","8.556","0.0003026"
"25.00","1.04","9.719","0.0003492"
"25.50","1.06","11.07","0.0004025"
"26.00","1.08","12.53","0.0004557"
"26.50","1.10","14.07","0.0005156"
"27.00","1.13","15.65","0.0005836"
"27.50","1.15","17.26","0.0006499"
"28.00","1.17","18.81","0.0007166"
"28.50","1.19","20.44","0.0007815"
"29.00","1.21","22.07","0.0008406"
"29.50","1.23","23.72","0.0009034"
"30.00","1.25","25.39","0.0009699"
"30.50","1.27","27.08","0.001018"
"31.00","1.29","28.75","0.001094"
"31.50","1.31","30.42","0.001152"
"32.00","1.33","32.10","0.001218"
"32.50","1.35","33.78","0.001286"
"33.00","1.38","35.46","0.001344"
"33.50","1.40","37.15","0.001407"
"34.00","1.42","38.86","0.001469"
"34.50","1.44","40.55","0.001534"
"35.00","1.46","42.26","0.001595"
"35.50","1.48","43.95","0.001654"
"36.00","1.50","45.64","0.001722"
"36.50","1.52","47.32","0.001789"
"37.00","1.54","49.02","0.001850"
"37.50","1.56","50.70","0.001916"
"38.00","1.58","52.38","0.001982"
"38.50","1.60","54.04","0.002043"
"39.00","1.62","55.69","0.002111"
"39.50","1.65","57.32","0.002167"
"40.00","1.67","58.92","0.002250"
"40.50","1.69","60.46","0.002329"
"41.00","1.71","61.91","0.002414"
"41.50","1.73","63.17","0.002537"
"42.00","1.75","64.18","0.002710"
"42.50","1.77","64.95","0.002959"
"43.00","1.79","65.55","0.003263"
"43.50","1.81","66.06","0.003614"
"44.00","1.83","66.50","0.003981"
"44.50","1.85","66.91","0.004366"
"45.00","1.88","67.27","0.004768"
"45.50","1.90","67.60","0.005168"
"46.00","1.92","67.91","0.005579"
"46.50","1.94","68.20","0.006006"
"47.00","1.96","68.48","0.006431"
"47.50","1.98","68.75","0.006871"
"48.00","2.00","69.02","0.007307"
"48.50","2.02","69.28","0.007749"
"49.00","2.04","69.54","0.008176"
"49.50","2.06","69.79","0.008620"
"50.00","2.08","70.04","0.009074"
"50.50","2.10","70.28","0.009531"
"51.00","2.13","70.53","0.009982"
"51.50","2.15","70.78","0.01042"
"52.00","2.17","71.03","0.01087"
"52.50","2.19","71.29","0.01134"
"53.00","2.21","71.54","0.01179"
"53.50","2.23","71.79","0.01226"
"54.00","2.25","72.04","0.01272"
"54.50","2.27","72.28","0.01317"
"55.00","2.29","72.52","0.01362"
"55.50","2.31","72.76","0.01407"
"56.00","2.33","72.99","0.01452"
"56.50","2.35","73.23","0.01498"
"57.00","2.37","73.46","0.01545"
"57.50","2.40","73.69","0.01590"
"58.00","2.42","73.92","0.01635"
"58.50","2.44","74.15","0.01680"
"59.00","2.46","74.38","0.01725"
"59.50","2.48","74.60","0.01771"
"59.70","2.49","74.68","0.01790"

