System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D1045NM"
Last test date,,"Monday, September 9, 2024"
Last test time,,"5:50:00 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"1045"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.72"
Length,(mm),"39.94"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"91.6"
Rockwell Scale,,"HRB"
Final Diameter,,"13.12"
Final Length,,"37.92"
Final Specimen State,,"CURVED TO ONE SIDE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"100.0"
Maximum Strain,(%),"6.156"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.0003797","0.00001658"
"0.50","0.02","0.0003889","0.000009821"
"1.00","0.04","0.0006017","0.00002006"
"1.50","0.06","0.001227","0.00001716"
"2.00","0.08","0.0009577","0.00001363"
"2.50","0.10","0.0007930","0.00001792"
"3.00","0.13","0.0004909","0.00001556"
"3.50","0.15","0.0005281","0.000008351"
"4.00","0.17","0.05424","0.00001331"
"4.50","0.19","0.3400","0.0001313"
"5.00","0.21","0.8515","0.0003046"
"5.50","0.23","1.326","0.0004257"
"6.00","0.25","1.981","0.0004816"
"6.50","0.27","2.612","0.0005336"
"7.00","0.29","3.323","0.0005858"
"7.50","0.31","4.131","0.0006482"
"8.00","0.33","4.995","0.0007131"
"8.50","0.35","5.966","0.0007731"
"9.00","0.38","7.068","0.0008443"
"9.50","0.40","8.305","0.0009131"
"10.00","0.42","9.672","0.0009901"
"10.50","0.44","11.12","0.001062"
"11.00","0.46","12.60","0.001121"
"11.50","0.48","14.09","0.001182"
"12.00","0.50","15.63","0.001232"
"12.50","0.52","17.19","0.001299"
"13.00","0.54","18.79","0.001347"
"13.50","0.56","20.41","0.001400"
"14.00","0.58","22.04","0.001467"
"14.50","0.60","23.67","0.001512"
"15.00","0.63","25.30","0.001566"
"15.50","0.65","26.93","0.001605"
"16.00","0.67","28.59","0.001619"
"16.50","0.69","30.23","0.001640"
"17.00","0.71","31.91","0.001663"
"17.50","0.73","33.58","0.001687"
"18.00","0.75","35.26","0.001720"
"18.50","0.77","36.93","0.001778"
"19.00","0.79","38.62","0.001834"
"19.50","0.81","40.28","0.001893"
"20.00","0.83","41.97","0.001960"
"20.50","0.85","43.63","0.002028"
"21.00","0.88","45.27","0.002157"
"21.50","0.90","46.89","0.002273"
"22.00","0.92","48.47","0.002389"
"22.50","0.94","50.03","0.002425"
"23.00","0.96","51.56","0.002459"
"23.50","0.98","53.07","0.002482"
"24.00","1.00","54.53","0.002464"
"24.50","1.02","55.91","0.002427"
"25.00","1.04","57.15","0.002393"
"25.50","1.06","58.17","0.002337"
"26.00","1.08","58.48","0.002468"
"26.50","1.10","58.25","0.002821"
"27.00","1.13","57.83","0.003300"
"27.50","1.15","57.63","0.003822"
"28.00","1.17","57.59","0.004384"
"28.50","1.19","57.69","0.004965"
"29.00","1.21","57.85","0.005512"
"29.50","1.23","58.08","0.006035"
"30.00","1.25","58.34","0.006553"
"30.50","1.27","58.64","0.007078"
"31.00","1.29","58.96","0.007623"
"31.50","1.31","59.26","0.008199"
"32.00","1.33","59.52","0.008808"
"32.50","1.35","59.68","0.009454"
"33.00","1.38","59.59","0.01023"
"33.50","1.40","59.38","0.01106"
"34.00","1.42","59.49","0.01181"
"34.50","1.44","59.86","0.01243"
"35.00","1.46","60.28","0.01301"
"35.50","1.48","60.70","0.01357"
"36.00","1.50","61.18","0.01408"
"36.50","1.52","61.69","0.01452"
"37.00","1.54","62.22","0.01491"
"37.50","1.56","62.73","0.01532"
"38.00","1.58","63.27","0.01572"
"38.50","1.60","63.78","0.01610"
"39.00","1.63","64.29","0.01650"
"39.50","1.65","64.80","0.01688"
"40.00","1.67","65.30","0.01729"
"40.50","1.69","65.80","0.01768"
"41.00","1.71","66.29","0.01807"
"41.50","1.73","66.78","0.01846"
"42.00","1.75","67.26","0.01886"
"42.50","1.77","67.75","0.01925"
"43.00","1.79","68.21","0.01965"
"43.50","1.81","68.66","0.02005"
"44.00","1.83","69.10","0.02046"
"44.50","1.85","69.55","0.02085"
"45.00","1.87","69.98","0.02126"
"45.50","1.90","70.44","0.02168"
"46.00","1.92","70.87","0.02208"
"46.50","1.94","71.32","0.02249"
"47.00","1.96","71.75","0.02289"
"47.50","1.98","72.19","0.02330"
"48.00","2.00","72.61","0.02369"
"48.50","2.02","73.05","0.02409"
"49.00","2.04","73.47","0.02449"
"49.50","2.06","73.91","0.02488"
"50.00","2.08","74.34","0.02528"
"50.50","2.10","74.77","0.02568"
"51.00","2.13","75.20","0.02607"
"51.50","2.15","75.61","0.02646"
"52.00","2.17","76.04","0.02686"
"52.50","2.19","76.45","0.02726"
"53.00","2.21","76.86","0.02767"
"53.50","2.23","77.26","0.02808"
"54.00","2.25","77.68","0.02848"
"54.50","2.27","78.07","0.02887"
"55.00","2.29","78.50","0.02929"
"55.50","2.31","78.89","0.02969"
"56.00","2.33","79.30","0.03012"
"56.50","2.35","79.70","0.03052"
"57.00","2.38","80.11","0.03094"
"57.50","2.40","80.49","0.03135"
"58.00","2.42","80.88","0.03177"
"58.50","2.44","81.27","0.03219"
"59.00","2.46","81.65","0.03262"
"59.50","2.48","82.05","0.03304"
"60.00","2.50","82.43","0.03347"
"60.50","2.52","82.82","0.03390"
"61.00","2.54","83.18","0.03433"
"61.50","2.56","83.56","0.03476"
"62.00","2.58","83.92","0.03520"
"62.50","2.60","84.27","0.03563"
"63.00","2.62","84.63","0.03607"
"63.50","2.65","85.00","0.03652"
"64.00","2.67","85.35","0.03696"
"64.50","2.69","85.72","0.03739"
"65.00","2.71","86.07","0.03784"
"65.50","2.73","86.42","0.03829"
"66.00","2.75","86.75","0.03874"
"66.50","2.77","87.08","0.03918"
"67.00","2.79","87.42","0.03963"
"67.50","2.81","87.75","0.04008"
"68.00","2.83","88.09","0.04054"
"68.50","2.85","88.42","0.04099"
"69.00","2.88","88.75","0.04145"
"69.50","2.90","89.07","0.04189"
"70.00","2.92","89.39","0.04235"
"70.50","2.94","89.70","0.04282"
"71.00","2.96","90.03","0.04327"
"71.50","2.98","90.33","0.04373"
"72.00","3.00","90.64","0.04421"
"72.50","3.02","90.95","0.04468"
"73.00","3.04","91.26","0.04514"
"73.50","3.06","91.56","0.04561"
"74.00","3.08","91.87","0.04607"
"74.50","3.10","92.16","0.04655"
"75.00","3.13","92.45","0.04703"
"75.50","3.15","92.74","0.04750"
"76.00","3.17","93.03","0.04798"
"76.50","3.19","93.30","0.04844"
"77.00","3.21","93.58","0.04892"
"77.50","3.23","93.87","0.04940"
"78.00","3.25","94.15","0.04988"
"78.50","3.27","94.43","0.05036"
"79.00","3.29","94.69","0.05084"
"79.50","3.31","94.97","0.05133"
"80.00","3.33","95.22","0.05182"
"80.50","3.35","95.49","0.05231"
"81.00","3.38","95.74","0.05280"
"81.50","3.40","96.00","0.05330"
"82.00","3.42","96.27","0.05378"
"82.50","3.44","96.54","0.05428"
"83.00","3.46","96.78","0.05479"
"83.50","3.48","97.03","0.05528"
"84.00","3.50","97.28","0.05577"
"84.50","3.52","97.52","0.05627"
"85.00","3.54","97.76","0.05676"
"85.50","3.56","98.00","0.05726"
"86.00","3.58","98.26","0.05778"
"86.50","3.60","98.50","0.05830"
"87.00","3.63","98.75","0.05880"
"87.50","3.65","98.97","0.05931"
"88.00","3.67","99.22","0.05981"
"88.50","3.69","99.45","0.06031"
"89.00","3.71","99.68","0.06083"
"89.50","3.73","99.90","0.06136"
"89.68","3.74","100.0","0.06156"

