System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D2024"
Last test date,,"Monday, September 9, 2024"
Last test time,,"5:21:08 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"2024 "
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.80"
Length,(mm),"40.06"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"78.1"
Rockwell Scale,,"HRB"
Final Diameter,,"12.85"
Final Length,,"39.72"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"55.12"
Maximum Strain,(%),"1.205"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.001875","0.00003038"
"0.50","0.02","0.001634","0.00002731"
"1.00","0.04","0.001231","0.00004132"
"1.50","0.06","0.001868","0.00002814"
"2.00","0.08","0.001678","0.00003084"
"2.50","0.10","0.001915","0.00003085"
"3.00","0.13","0.001772","0.00002525"
"3.50","0.15","0.001933","0.00003375"
"4.00","0.17","0.001863","0.00002797"
"4.50","0.19","0.002293","0.00003475"
"5.00","0.21","0.001715","0.00002778"
"5.50","0.23","0.001607","0.00003362"
"6.00","0.25","0.001627","0.00003065"
"6.50","0.27","0.002083","0.00002672"
"7.00","0.29","0.001811","0.00003290"
"7.50","0.31","0.001823","0.00003057"
"8.00","0.33","0.001495","0.00002517"
"8.50","0.35","0.001609","0.00002696"
"9.00","0.38","0.001917","0.00002563"
"9.50","0.40","0.001933","0.00002704"
"10.00","0.42","0.001602","0.00003840"
"10.50","0.44","0.02955","0.00003196"
"11.00","0.46","0.2718","0.0001107"
"11.50","0.48","0.7871","0.0002397"
"12.00","0.50","1.354","0.0003590"
"12.50","0.52","1.964","0.0004627"
"13.00","0.54","2.628","0.0005529"
"13.50","0.56","3.308","0.0006372"
"14.00","0.58","4.080","0.0007257"
"14.50","0.60","4.949","0.0008249"
"15.00","0.63","5.905","0.0009234"
"15.50","0.65","6.961","0.001047"
"16.00","0.67","8.139","0.001176"
"16.50","0.69","9.408","0.001297"
"17.00","0.71","10.70","0.001436"
"17.50","0.73","12.03","0.001585"
"18.00","0.75","13.35","0.001723"
"18.50","0.77","14.70","0.001863"
"19.00","0.79","16.00","0.002005"
"19.50","0.81","17.36","0.002140"
"20.00","0.83","18.71","0.002279"
"20.50","0.85","20.08","0.002425"
"21.00","0.87","21.45","0.002566"
"21.50","0.90","22.84","0.002711"
"22.00","0.92","24.22","0.002854"
"22.50","0.94","25.60","0.002995"
"23.00","0.96","26.99","0.003138"
"23.50","0.98","28.38","0.003284"
"24.00","1.00","29.77","0.003429"
"24.50","1.02","31.17","0.003575"
"25.00","1.04","32.57","0.003724"
"25.50","1.06","33.95","0.003866"
"26.00","1.08","35.34","0.004016"
"26.50","1.10","36.71","0.004168"
"27.00","1.13","38.08","0.004316"
"27.50","1.15","39.43","0.004470"
"28.00","1.17","40.77","0.004621"
"28.50","1.19","42.07","0.004783"
"29.00","1.21","43.35","0.004948"
"29.50","1.23","44.56","0.005124"
"30.00","1.25","45.71","0.005318"
"30.50","1.27","46.77","0.005527"
"31.00","1.29","47.76","0.005753"
"31.50","1.31","48.64","0.006006"
"32.00","1.33","49.43","0.006270"
"32.50","1.35","50.11","0.006569"
"33.00","1.38","50.72","0.006886"
"33.50","1.40","51.26","0.007217"
"34.00","1.42","51.73","0.007568"
"34.50","1.44","52.16","0.007948"
"35.00","1.46","52.55","0.008322"
"35.50","1.48","52.92","0.008726"
"36.00","1.50","53.26","0.009134"
"36.50","1.52","53.58","0.009544"
"37.00","1.54","53.88","0.009969"
"37.50","1.56","54.17","0.01040"
"38.00","1.58","54.44","0.01083"
"38.50","1.60","54.70","0.01129"
"39.00","1.63","54.96","0.01175"
"39.31","1.64","55.12","0.01205"

