2024AL/BHN	4340Stl/BHN	2024AL/HRB	4340Stl/HRB	2024AL/HRC	4340Stl/HRC
   0.0	 704.0	  88.7	 121.6	   6.3	  62.7
 135.0	   0.0	  85.9	 121.0	   5.5	  64.4
 137.0	   0.0	  89.6	 121.4	   6.3	  64.0
 137.0	   0.0	  87.8	 121.7	   4.9	  61.3
 139.0	   0.0	  82.4	 119.6	   7.3	  61.4
   0.0	 730.0	  86.3	 121.7	   7.0	  63.0
   0.0	 841.0	  84.2	 120.5	   0.6	  65.1
 142.0	   0.0	  88.8	 121.5	   6.6	  61.9
   0.0	 717.0	  87.0	 122.1	   7.2	  63.9
   0.0	 741.0	  89.0	 120.2	   2.5	  65.2
   0.0	 709.0	  85.5	 119.4	   0.2	  61.2
 134.0	   0.0	  88.9	 121.9	   3.8	  62.3
   0.0	 738.0	  86.3	 121.5	   6.5	  61.5
   0.0	 721.0	  81.2	 123.4	   1.2	  63.9
 136.0	   0.0	  89.8	 121.1	   0.0	  61.1
   0.0	 772.0	  90.1	 122.4	  -1.9	  61.3
 149.0	   0.0	  89.4	 122.4	   9.0	  64.2
 152.0	   0.0	  82.2	 122.7	   2.8	  66.1
 148.0	   0.0	  85.8	 121.3	   0.7	  62.6
   0.0	 732.0	  80.6	 122.3	   5.8	  63.7
