System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"M02C1045CR"
Last test date,,"Monday, September 16, 2024"
Last test time,,"4:53:52 PM"
Course,,"NPRE432"
Lab Section Number,,"2"
Group,,"C"
Material,,"1045CR"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.24"
Grip Diameter,(mm),"11.57"
Rockwell Hardness,,"96.1"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.53"
Fracture Notes and Location,,"ductile. not much"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"32.40"
Maximum Strain,(%),"15.67"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03124","0.000003093"
"0.50","0.03","0.6532","0.00006969"
"1.00","0.07","1.515","0.0001591"
"1.50","0.10","2.196","0.0002302"
"2.00","0.13","2.727","0.0002760"
"2.50","0.17","3.167","0.0003157"
"3.00","0.20","3.539","0.0003443"
"3.50","0.23","3.865","0.0003677"
"4.00","0.27","4.176","0.0003934"
"4.50","0.30","4.477","0.0004256"
"5.00","0.33","4.778","0.0004611"
"5.50","0.37","5.082","0.0004876"
"6.00","0.40","5.386","0.0005152"
"6.50","0.43","5.692","0.0005401"
"7.00","0.47","5.995","0.0005734"
"7.50","0.50","6.298","0.0006071"
"8.00","0.53","6.600","0.0006376"
"8.50","0.57","6.898","0.0006647"
"9.00","0.60","7.180","0.0007013"
"9.50","0.63","7.459","0.0007295"
"10.00","0.67","7.741","0.0007674"
"10.50","0.70","8.024","0.0007948"
"11.00","0.73","8.300","0.0008325"
"11.50","0.77","8.579","0.0008745"
"12.00","0.80","8.855","0.0009142"
"12.50","0.83","9.143","0.0009504"
"13.00","0.87","9.430","0.0009893"
"13.50","0.90","9.726","0.001034"
"14.00","0.93","10.03","0.001068"
"14.50","0.97","10.32","0.001094"
"15.00","1.00","10.62","0.001115"
"15.50","1.03","10.92","0.001145"
"16.00","1.07","11.22","0.001186"
"16.50","1.10","11.53","0.001215"
"17.00","1.13","11.84","0.001247"
"17.50","1.17","12.15","0.001286"
"18.00","1.20","12.46","0.001314"
"18.50","1.23","12.77","0.001348"
"19.00","1.27","13.09","0.001380"
"19.50","1.30","13.41","0.001416"
"20.00","1.33","13.73","0.001457"
"20.50","1.37","14.05","0.001484"
