System ID,,"4483C11302J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02B7075T6"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:06:07 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"7075-T6"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.18"
Grip Diameter,(mm),"12.74"
Rockwell Hardness,,"86.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.28"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"22.47"
Maximum Strain,(%),"15.78"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.05","-0.03596","0.00005336"
"0.50","0.08","0.3380","0.0001765"
"1.00","0.12","0.7403","0.0003289"
"1.50","0.15","0.9842","0.0004337"
"2.00","0.18","1.221","0.0005352"
"2.50","0.22","1.441","0.0006261"
"3.00","0.25","1.635","0.0006872"
"3.50","0.28","1.810","0.0007612"
"4.00","0.32","1.973","0.0008254"
"4.50","0.35","2.130","0.0008813"
"5.00","0.38","2.286","0.0009416"
"5.50","0.42","2.447","0.001005"
"6.00","0.45","2.612","0.001067"
"6.50","0.48","2.779","0.001127"
"7.00","0.52","2.951","0.001193"
"7.50","0.55","3.122","0.001261"
"8.00","0.58","3.291","0.001319"
"8.50","0.62","3.458","0.001378"
"9.00","0.65","3.617","0.001436"
"9.50","0.68","3.773","0.001497"
"10.00","0.72","3.929","0.001551"
"10.50","0.75","4.083","0.001606"
"11.00","0.78","4.235","0.001660"
"11.50","0.82","4.389","0.001724"
"12.00","0.85","4.544","0.001789"
"12.50","0.88","4.705","0.001851"
"13.00","0.92","4.873","0.001920"
"13.50","0.95","5.043","0.001981"
"14.00","0.98","5.218","0.002052"
"14.50","1.02","5.398","0.002114"
"15.00","1.05","5.578","0.002185"
"15.50","1.08","5.765","0.002255"
"16.00","1.12","5.951","0.002319"
"16.50","1.15","6.142","0.002388"
"17.00","1.18","6.338","0.002467"
"17.50","1.22","6.534","0.002535"
"18.00","1.25","6.733","0.002612"
"18.50","1.28","6.936","0.002682"
"19.00","1.32","7.141","0.002761"
"19.50","1.35","7.347","0.002832"
"20.00","1.38","7.556","0.002913"
"20.50","1.42","7.767","0.002989"
"21.00","1.45","7.979","0.003068"
"21.50","1.48","8.197","0.003144"
"22.00","1.52","8.412","0.003228"
"22.50","1.55","8.630","0.003305"
"23.00","1.58","8.853","0.003391"
"23.50","1.62","9.073","0.003467"
"24.00","1.65","9.299","0.003553"
"24.50","1.68","9.526","0.003635"
"25.00","1.72","9.754","0.003718"
"25.50","1.75","9.986","0.003804"
"26.00","1.78","10.22","0.003892"
"26.50","1.82","10.45","0.003974"
"27.00","1.85","10.69","0.004062"
"27.50","1.88","10.93","0.004155"
"28.00","1.92","11.17","0.004238"
"28.50","1.95","11.42","0.004332"
"29.00","1.98","11.66","0.004423"
"29.50","2.02","11.91","0.004519"
"30.00","2.05","12.15","0.004608"
"30.50","2.08","12.40","0.004699"
"31.00","2.12","12.65","0.004790"
"31.50","2.15","12.91","0.004887"
"32.00","2.18","13.16","0.004983"
"32.50","2.22","13.41","0.005080"
"33.00","2.25","13.67","0.005168"
"33.50","2.28","13.92","0.005266"
"34.00","2.32","14.18","0.005365"
"34.50","2.35","14.43","0.005456"
"35.00","2.38","14.69","0.005550"
"35.50","2.42","14.95","0.005647"
"36.00","2.45","15.20","0.005748"
"36.50","2.48","15.46","0.005845"
"37.00","2.52","15.72","0.005948"
"37.50","2.55","15.99","0.006047"
"38.00","2.58","16.25","0.006153"
"38.50","2.62","16.51","0.006250"
"39.00","2.65","16.77","0.006351"
"39.50","2.68","17.04","0.006455"
"40.00","2.72","17.30","0.006564"
"40.50","2.75","17.56","0.006671"
"41.00","2.78","17.83","0.006778"
"41.50","2.82","18.10","0.006891"
"42.00","2.85","18.36","0.007004"
"42.50","2.88","18.62","0.007124"
"43.00","2.92","18.88","0.007249"
"43.50","2.95","19.13","0.007390"
"44.00","2.98","19.38","0.007556"
"44.50","3.02","19.61","0.007762"
"45.00","3.05","19.81","0.008024"
"45.50","3.08","19.98","0.008373"
"46.00","3.12","20.12","0.008811"
"46.50","3.15","20.24","0.009311"
"47.00","3.18","20.35","0.009867"
"47.50","3.22","20.43","0.01046"
"48.00","3.25","20.51","0.01110"
"48.50","3.28","20.58","0.01177"
"49.00","3.32","20.64","0.01246"
"49.50","3.35","20.70","0.01317"
"50.00","3.38","20.76","0.01391"
"50.50","3.42","20.80","0.01466"
"51.00","3.45","20.85","0.01541"
"51.50","3.48","20.89","0.01618"
"52.00","3.52","20.93","0.01694"
