System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1018CR"
Last test date,,"Monday, September 16, 2024"
Last test time,,"4:38:28 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"1018"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.25"
Grip Diameter,(mm),"12.74"
Rockwell Hardness,,"94.3"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.64"
Fracture Notes and Location,,"DUCTILE FRACTURE, CUP AND CONE SHAPE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"27.64"
Maximum Strain,(%),"15.36"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.4347","-0.000007598"
"0.50","0.03","1.372","0.00003108"
"1.00","0.07","2.256","0.0001743"
"1.50","0.10","2.995","0.0002316"
"2.00","0.13","3.594","0.0003286"
"2.50","0.17","4.103","0.0004106"
"3.00","0.20","4.547","0.0004464"
"3.50","0.23","4.922","0.0005116"
"4.00","0.27","5.278","0.0005491"
"4.50","0.30","5.608","0.0005904"
"5.00","0.33","5.928","0.0006412"
"5.50","0.37","6.239","0.0006630"
"6.00","0.40","6.538","0.0007100"
"6.50","0.43","6.815","0.0007407"
"7.00","0.47","7.091","0.0007685"
"7.50","0.50","7.361","0.0008178"
"8.00","0.53","7.632","0.0008439"
"8.50","0.57","7.907","0.0008579"
"9.00","0.60","8.164","0.0009143"
"9.50","0.63","8.423","0.0009266"
"10.00","0.67","8.675","0.0009728"
"10.50","0.70","8.933","0.0009839"
"11.00","0.73","9.196","0.001031"
"11.50","0.77","9.456","0.001049"
"12.00","0.80","9.715","0.001063"
"12.50","0.83","9.981","0.001096"
"13.00","0.87","10.25","0.001120"
"13.50","0.90","10.53","0.001148"
"14.00","0.93","10.80","0.001176"
"14.50","0.97","11.08","0.001213"
"15.00","1.00","11.36","0.001245"
"15.50","1.03","11.65","0.001320"
"16.00","1.07","11.93","0.001329"
"16.50","1.10","12.21","0.001352"
"17.00","1.13","12.50","0.001380"
"17.50","1.17","12.79","0.001422"
"18.00","1.20","13.09","0.001445"
"18.50","1.23","13.38","0.001482"
"19.00","1.27","13.67","0.001515"
"19.50","1.30","13.97","0.001580"
"20.00","1.33","14.27","0.001598"
"20.50","1.37","14.53","0.001671"
"21.00","1.40","14.85","0.001689"
