System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1045NM"
Last test date,,"Monday, September 16, 2024"
Last test time,,"4:54:39 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"1045"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.16"
Grip Diameter,(mm),"12.70"
Rockwell Hardness,,"90.7"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.00"
Fracture Notes and Location,,"SOME CUP AND CONE BUT ALSO SOME FLAT FRACTURE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"30.84"
Maximum Strain,(%),"24.69"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.007247","-0.00000009997"
"0.50","0.03","0.9153","0.00003211"
"1.00","0.07","1.992","0.00008085"
"1.50","0.10","3.021","0.0002113"
"2.00","0.13","3.832","0.0003289"
"2.50","0.17","4.529","0.0004045"
"3.00","0.20","5.135","0.0004907"
"3.50","0.23","5.655","0.0005682"
"4.00","0.27","6.095","0.0006025"
"4.50","0.30","6.497","0.0006846"
"5.00","0.33","6.884","0.0007074"
"5.50","0.37","7.267","0.0007742"
"6.00","0.40","7.639","0.0008015"
"6.50","0.43","8.002","0.0008705"
"7.00","0.47","8.345","0.0009031"
"7.50","0.50","8.677","0.0009338"
"8.00","0.53","9.018","0.0009728"
"8.50","0.57","9.356","0.001005"
"9.00","0.60","9.686","0.001041"
"9.50","0.63","10.01","0.001077"
"10.00","0.67","10.34","0.001105"
"10.50","0.70","10.67","0.001156"
"11.00","0.73","10.98","0.001189"
"11.50","0.77","11.29","0.001221"
"12.00","0.80","11.60","0.001254"
"12.50","0.83","11.91","0.001325"
"13.00","0.87","12.20","0.001331"
"13.50","0.90","12.49","0.001365"
"14.00","0.93","12.78","0.001404"
"14.50","0.97","13.08","0.001440"
"15.00","1.00","13.37","0.001481"
"15.50","1.03","13.67","0.001512"
"16.00","1.07","13.96","0.001546"
"16.50","1.10","14.23","0.001684"
"17.00","1.13","14.54","0.001700"
"17.50","1.17","14.84","0.001710"
"18.00","1.20","15.14","0.001725"
"18.50","1.23","15.45","0.001747"
"19.00","1.27","15.76","0.001768"
"19.50","1.30","16.07","0.001815"
"20.00","1.33","16.38","0.001843"
"20.50","1.37","16.69","0.001885"
"21.00","1.40","17.00","0.001929"
"21.50","1.43","17.32","0.001959"
"22.00","1.47","17.63","0.002006"
"22.50","1.50","17.95","0.002047"
"23.00","1.53","18.27","0.002081"
"23.50","1.57","18.59","0.002126"
"24.00","1.60","18.92","0.002168"
"24.50","1.63","19.24","0.002208"
"25.00","1.67","19.57","0.002253"
"25.50","1.70","19.89","0.002312"
"26.00","1.73","18.76","0.004195"
"26.50","1.77","18.71","0.005528"
"27.00","1.80","18.74","0.006701"
"27.50","1.83","18.76","0.007568"
"28.00","1.87","18.77","0.007997"
"28.50","1.90","18.75","0.008177"
"29.00","1.93","18.85","0.008336"
"29.50","1.97","19.06","0.008662"
"30.00","2.00","19.32","0.009154"
"30.50","2.03","19.55","0.009681"
"31.00","2.07","19.76","0.01019"
"31.50","2.10","19.94","0.01067"
"32.00","2.13","20.11","0.01113"
"32.50","2.17","20.28","0.01155"
"33.00","2.20","20.44","0.01195"
"33.50","2.23","20.59","0.01237"
"34.00","2.27","20.75","0.01277"
"34.50","2.30","20.90","0.01316"
"35.00","2.33","21.05","0.01355"
"35.50","2.37","21.20","0.01395"
"36.00","2.40","21.34","0.01436"
"36.50","2.43","21.49","0.01476"
"37.00","2.47","21.64","0.01518"
"37.50","2.50","21.78","0.01558"
"38.00","2.53","21.93","0.01598"
"38.50","2.57","22.07","0.01640"
"39.00","2.60","22.21","0.01681"
"39.50","2.63","22.36","0.01722"
"40.00","2.67","22.50","0.01764"
"40.50","2.70","22.63","0.01806"
"41.00","2.73","22.77","0.01847"
"41.50","2.77","22.91","0.01891"
"42.00","2.80","23.05","0.01933"
"42.50","2.83","23.19","0.01975"
"43.00","2.87","23.32","0.02019"
"43.50","2.90","23.45","0.02062"
"44.00","2.93","23.59","0.02108"
"44.50","2.97","23.71","0.02150"
"45.00","3.00","23.84","0.02193"
"45.50","3.03","23.98","0.02238"
"46.00","3.07","24.10","0.02282"
"46.50","3.10","24.23","0.02328"
"47.00","3.13","24.36","0.02374"
"47.50","3.17","24.48","0.02419"
"48.00","3.20","24.60","0.02464"
"48.50","3.23","24.72","0.02511"
"49.00","3.27","24.84","0.02556"
"49.50","3.30","24.96","0.02603"
"50.00","3.33","25.08","0.02649"
"50.50","3.37","25.20","0.02695"
"51.00","3.40","25.31","0.02743"
"51.50","3.43","25.43","0.02790"
"52.00","3.47","25.54","0.02838"
"52.50","3.50","25.65","0.02887"
"53.00","3.53","25.76","0.02934"
"53.50","3.57","25.87","0.02983"
"54.00","3.60","25.98","0.03031"
"54.50","3.63","26.09","0.03080"
"55.00","3.67","26.20","0.03130"
"55.50","3.70","26.30","0.03180"
"56.00","3.73","26.40","0.03230"
"56.50","3.77","26.50","0.03282"
"57.00","3.80","26.60","0.03333"
"57.50","3.83","26.70","0.03383"
"58.00","3.87","26.80","0.03434"
"58.50","3.90","26.90","0.03486"
"59.00","3.93","26.99","0.03538"
"59.50","3.97","27.09","0.03591"
"60.00","4.00","27.18","0.03641"
"60.50","4.03","27.27","0.03697"
"61.00","4.07","27.36","0.03750"
"61.50","4.10","27.44","0.03803"
"62.00","4.13","27.53","0.03857"
"62.50","4.17","27.62","0.03912"
"63.00","4.20","27.70","0.03966"
"63.50","4.23","27.78","0.04021"
"64.00","4.27","27.87","0.04077"
"64.50","4.30","27.94","0.04133"
"65.00","4.33","28.02","0.04190"
"65.50","4.37","28.10","0.04246"
"66.00","4.40","28.17","0.04303"
"66.50","4.43","28.25","0.04359"
"67.00","4.47","28.32","0.04416"
"67.50","4.50","28.39","0.04473"
"68.00","4.53","28.46","0.04533"
"68.50","4.57","28.53","0.04590"
"69.00","4.60","28.59","0.04648"
"69.50","4.63","28.66","0.04707"
"70.00","4.67","28.73","0.04769"
"70.50","4.70","28.79","0.04828"
"71.00","4.73","28.85","0.04888"
"71.50","4.77","28.91","0.04949"
"72.00","4.80","28.97","0.05010"
"72.50","4.83","29.03","0.05069"
"73.00","4.87","29.08","0.05132"
"73.50","4.90","29.14","0.05194"
"74.00","4.93","29.20","0.05256"
"74.50","4.97","29.25","0.05318"
"75.00","5.00","29.30","0.05380"
"75.50","5.03","29.35","0.05444"
"76.00","5.07","29.40","0.05508"
"76.50","5.10","29.45","0.05572"
"77.00","5.13","29.50","0.05637"
"77.50","5.17","29.54","0.05702"
"78.00","5.20","29.60","0.05768"
"78.50","5.23","29.64","0.05833"
"79.00","5.27","29.68","0.05899"
"79.50","5.30","29.72","0.05965"
"80.00","5.33","29.76","0.06033"
"80.50","5.37","29.81","0.06099"
"81.00","5.40","29.85","0.06166"
"81.50","5.43","29.88","0.06235"
"82.00","5.47","29.92","0.06303"
"82.50","5.50","29.96","0.06372"
"83.00","5.53","29.99","0.06441"
"83.50","5.57","30.02","0.06511"
"84.00","5.60","30.06","0.06580"
"84.50","5.63","30.09","0.06650"
"85.00","5.67","30.13","0.06719"
"85.50","5.70","30.16","0.06791"
"86.00","5.73","30.18","0.06862"
"86.50","5.77","30.21","0.06933"
"87.00","5.80","30.24","0.07004"
"87.50","5.83","30.27","0.07077"
"88.00","5.87","30.30","0.07149"
"88.50","5.90","30.32","0.07222"
"89.00","5.93","30.35","0.07295"
"89.50","5.97","30.37","0.07369"
"90.00","6.00","30.39","0.07442"
"90.50","6.03","30.42","0.07515"
"91.00","6.07","30.44","0.07592"
"91.50","6.10","30.46","0.07666"
"92.00","6.13","30.48","0.07739"
"92.50","6.17","30.50","0.07814"
"93.00","6.20","30.52","0.07891"
"93.50","6.23","30.53","0.07967"
"94.00","6.27","30.56","0.08043"
"94.50","6.30","30.57","0.08122"
"95.00","6.33","30.59","0.08198"
"95.50","6.37","30.60","0.08277"
"96.00","6.40","30.62","0.08354"
"96.50","6.43","30.63","0.08432"
"97.00","6.47","30.65","0.08511"
