System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.08339","-0.00001061"
"0.50","0.03","0.8291","-0.00003859"
"1.00","0.07","1.104","-0.00003332"
"1.50","0.10","1.296","-0.00003831"
"2.00","0.13","1.462","-0.00001585"
"2.50","0.17","1.621","-0.00002221"
"3.00","0.20","1.758","-0.00002726"
"3.50","0.23","1.886","-0.00002552"
"4.00","0.27","2.009","-0.00003432"
"4.50","0.30","2.139","-0.00003297"
"5.00","0.33","2.284","-0.00002742"
"5.50","0.37","2.432","-0.00002809"
"6.00","0.40","2.583","-0.00003992"
"6.50","0.43","2.742","-0.00004967"
"7.00","0.47","2.900","-0.00003531"
"7.50","0.50","3.058","-0.00001565"
"8.00","0.53","3.218","0.00007311"
"8.50","0.57","3.373","0.00006561"
"9.00","0.60","3.523","0.00005561"
"9.50","0.63","3.675","0.00007609"
"10.00","0.67","3.832","0.00005609"
"10.50","0.70","3.987","0.00004915"
"11.00","0.73","4.147","0.00003900"
"11.50","0.77","4.305","0.00005463"
"12.00","0.80","4.465","0.00004308"
"12.50","0.83","4.633","0.00004598"
"13.00","0.87","4.794","0.00003812"
"13.50","0.90","4.962","0.00003206"
"14.00","0.93","5.134","0.00005199"
"14.50","0.97","5.303","0.00004316"
"15.00","1.00","5.474","0.00003792"
"15.50","1.03","5.653","0.00004808"
"16.00","1.07","5.834","0.00005000"
"16.50","1.10","6.022","0.00005624"
"17.00","1.13","6.219","0.00006776"
"17.50","1.17","6.408","0.00006059"
"18.00","1.20","6.608","0.00006341"
"18.50","1.23","6.809","0.00008409"
"19.00","1.27","7.006","0.0001020"
"19.50","1.30","7.214","0.0001079"
"20.00","1.33","7.418","0.0001154"
"20.50","1.37","7.630","0.0001252"
"21.00","1.40","7.856","0.0001237"
"21.50","1.43","8.075","0.0001530"
"22.00","1.47","8.302","0.0001603"
"22.50","1.50","8.531","0.0001490"
"23.00","1.53","8.757","0.0001679"
"23.50","1.57","8.991","0.0001651"
"24.00","1.60","9.230","0.0001630"
"24.50","1.63","9.465","0.0001567"
"25.00","1.67","9.706","0.0001593"
"25.50","1.70","9.956","0.0001726"
"26.00","1.73","10.20","0.0001698"
"26.50","1.77","10.45","0.0001741"
"27.00","1.80","10.70","0.0001810"
"27.50","1.83","10.95","0.0001824"
"28.00","1.87","11.20","0.0001987"
"28.50","1.90","11.46","0.0002095"
"29.00","1.93","11.71","0.0002127"
"29.50","1.97","11.98","0.0002262"
"30.00","2.00","12.24","0.0002346"
"30.50","2.03","12.50","0.0002449"
"31.00","2.07","12.77","0.0002570"
"31.50","2.10","13.04","0.0002771"
"32.00","2.13","13.31","0.0002965"
"32.50","2.17","13.59","0.0003593"
"33.00","2.20","13.86","0.0003485"
"33.50","2.23","14.13","0.0003438"
"34.00","2.27","14.42","0.0003615"
"34.50","2.30","14.69","0.0003798"
"35.00","2.33","14.97","0.0004139"
"35.50","2.37","15.26","0.0004181"
"36.00","2.40","15.53","0.0004433"
"36.50","2.43","15.81","0.0004761"
"37.00","2.47","16.08","0.0004934"
"37.50","2.50","16.36","0.0005077"
"38.00","2.53","16.64","0.0005198"
"38.50","2.57","16.91","0.0005420"
"39.00","2.60","17.19","0.0005565"
"39.50","2.63","17.46","0.0005693"
"40.00","2.67","17.74","0.0005948"
"40.50","2.70","18.00","0.0006255"
"41.00","2.73","18.28","0.0007528"
"41.50","2.77","18.55","0.0008597"
"42.00","2.80","18.81","0.001003"
"42.50","2.83","19.07","0.001130"
"43.00","2.87","19.33","0.001271"
"43.50","2.90","19.57","0.001343"
"44.00","2.93","19.83","0.001488"
"44.50","2.97","20.07","0.001671"
"45.00","3.00","20.32","0.001828"
"45.50","3.03","20.56","0.002026"
"46.00","3.07","20.80","0.002197"
"46.50","3.10","21.03","0.002432"
"47.00","3.13","21.25","0.002637"
"47.50","3.17","21.46","0.002864"
"48.00","3.20","21.67","0.003139"
"48.50","3.23","21.87","0.003404"
"49.00","3.27","22.05","0.003685"
"49.50","3.30","22.22","0.003995"
"50.00","3.33","22.38","0.004364"
"50.50","3.37","22.53","0.004697"
"51.00","3.40","22.66","0.005092"
"51.50","3.43","22.78","0.005532"
"52.00","3.47","22.89","0.005968"
"52.50","3.50","22.99","0.006450"
"53.00","3.53","23.07","0.006960"
"53.50","3.57","23.15","0.007457"
"54.00","3.60","23.22","0.008024"
"54.50","3.63","23.27","0.008580"
"55.00","3.67","23.34","0.009160"
"55.50","3.70","23.39","0.009753"
"56.00","3.73","23.43","0.01036"
"56.50","3.77","23.48","0.01099"
"57.00","3.80","23.52","0.01163"
"57.50","3.83","23.56","0.01226"
"58.00","3.87","23.60","0.01288"
"58.50","3.90","23.64","0.01354"
"59.00","3.93","23.67","0.01417"
"59.50","3.97","23.71","0.01482"
"60.00","4.00","23.73","0.01550"
"60.50","4.03","23.76","0.01614"
"61.00","4.07","23.80","0.01681"
"61.50","4.10","23.83","0.01746"
"62.00","4.13","23.86","0.01812"
"62.50","4.17","23.89","0.01878"
"63.00","4.20","23.92","0.01944"
"63.50","4.23","23.94","0.02009"
"64.00","4.27","23.97","0.02079"
