System ID,,"4483C1713"
Method name only,,"Tension_Round_Reversals_Brass_NEW"
Test type,,"Tension TestProfiler"
Sample file name,,"N02DBR"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:52:00 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"BR"
Heat Treatment,,""
Other Information,,""
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.78"
Rockwell Hardness,,"66.4"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter (at Neck),(mm),"4.69"
Uniform Gage Diameter in mm (away from Neck),,"6.74"
Final Hardness at Uniform Gage Diameter,,"69.4"
Rockwell Scale,,"HRB"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"15.89"
Maximum Strain,(%),"29.52"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2988","-0.00001178"
"0.50","0.03","0.8753","0.0001994"
"1.00","0.07","1.301","0.0003447"
"1.50","0.10","1.575","0.0004138"
"2.00","0.13","1.808","0.0005068"
"2.50","0.17","2.050","0.0005830"
"3.00","0.20","2.272","0.0006626"
"3.50","0.23","2.472","0.0007475"
"4.00","0.27","2.668","0.0008040"
"4.50","0.30","2.863","0.0008921"
"5.00","0.33","3.062","0.0009582"
"5.50","0.37","3.261","0.001039"
"6.00","0.40","3.465","0.001107"
"6.50","0.43","3.671","0.001197"
"7.00","0.47","3.880","0.001274"
"7.50","0.50","4.093","0.001364"
"8.00","0.53","4.313","0.001444"
"8.50","0.57","4.537","0.001532"
"9.00","0.60","4.762","0.001616"
"9.50","0.63","4.993","0.001705"
"9.51","0.63","5.001","0.001704"
"9.52","0.63","5.002","0.001705"
"9.65","0.64","5.060","0.001724"
"10.15","0.61","4.289","0.001438"
"10.65","0.58","3.516","0.001152"
"11.15","0.54","2.800","0.0008796"
"11.65","0.51","2.131","0.0006279"
"12.15","0.48","1.603","0.0004055"
"12.65","0.44","1.302","0.0003080"
"13.05","0.42","0.9993","0.0001929"
"13.05","0.42","0.9978","0.0001922"
"13.06","0.42","0.9962","0.0001908"
"13.56","0.45","1.649","0.0004343"
"14.06","0.48","2.365","0.0006980"
"14.56","0.52","3.045","0.0009655"
"15.06","0.55","3.637","0.001189"
"15.56","0.58","4.116","0.001365"
"16.06","0.62","4.580","0.001550"
"16.56","0.65","5.009","0.001719"
"17.06","0.68","5.298","0.001817"
"17.56","0.72","5.534","0.001905"
"18.06","0.75","5.761","0.002005"
"18.56","0.78","5.985","0.002088"
"19.06","0.82","6.209","0.002174"
"19.56","0.85","6.432","0.002264"
"20.06","0.88","6.649","0.002361"
"20.56","0.92","6.863","0.002432"
"21.06","0.95","7.076","0.002541"
"21.56","0.98","7.289","0.002638"
"22.06","1.02","7.501","0.002734"
"22.56","1.05","7.704","0.002839"
"23.06","1.08","7.903","0.002935"
"23.56","1.12","8.098","0.003032"
"24.06","1.15","8.288","0.003126"
"24.56","1.18","8.481","0.003234"
"25.06","1.22","8.672","0.003340"
"25.56","1.25","8.864","0.003463"
"26.06","1.28","9.056","0.003574"
"26.56","1.32","9.249","0.003708"
"27.06","1.35","9.442","0.003835"
"27.56","1.38","9.632","0.003971"
"28.06","1.42","9.821","0.004099"
"28.56","1.45","10.01","0.004237"
"29.06","1.48","10.19","0.004391"
"29.56","1.52","10.38","0.004550"
"30.06","1.55","10.56","0.004718"
"30.56","1.58","10.74","0.004902"
"31.06","1.62","10.91","0.005085"
"31.56","1.65","11.08","0.005303"
"32.06","1.68","11.24","0.005549"
"32.56","1.72","11.39","0.005811"
"33.06","1.75","11.54","0.006115"
"33.56","1.78","11.67","0.006478"
"34.06","1.82","11.78","0.006888"
"34.56","1.85","11.88","0.007351"
"35.06","1.88","11.97","0.007858"
"35.56","1.92","12.04","0.008400"
"36.06","1.95","12.11","0.009008"
"36.56","1.98","12.18","0.009621"
"37.06","2.02","12.24","0.01025"
"37.56","2.05","12.30","0.01089"
"38.06","2.08","12.35","0.01155"
"38.56","2.12","12.40","0.01222"
"39.06","2.15","12.45","0.01287"
"39.56","2.18","12.50","0.01353"
"40.06","2.22","12.55","0.01420"
"40.56","2.25","12.60","0.01487"
"41.06","2.28","12.64","0.01556"
"41.56","2.32","12.68","0.01622"
"42.06","2.35","12.73","0.01690"
"42.56","2.38","12.77","0.01758"
"43.06","2.42","12.81","0.01826"
"43.56","2.45","12.85","0.01893"
"44.06","2.48","12.89","0.01961"
"44.34","2.50","12.92","0.02000"
"44.34","2.50","12.92","0.02000"
"44.39","2.50","12.92","0.02008"
"44.89","2.47","12.14","0.01992"
"45.39","2.44","11.39","0.01961"
"45.89","2.40","10.67","0.01933"
"46.39","2.37","9.973","0.01904"
"46.89","2.34","9.278","0.01874"
"47.39","2.30","8.580","0.01845"
"47.89","2.27","7.900","0.01816"
"48.39","2.24","7.221","0.01786"
"48.89","2.20","6.556","0.01756"
"49.39","2.17","5.916","0.01727"
"49.89","2.14","5.315","0.01698"
"50.39","2.10","4.847","0.01675"
"50.89","2.07","4.556","0.01661"
"51.39","2.04","4.306","0.01649"
"51.89","2.00","4.067","0.01636"
"52.39","1.97","3.838","0.01625"
"52.89","1.94","3.608","0.01614"
"53.39","1.90","3.384","0.01603"
"53.89","1.87","3.170","0.01592"
"54.39","1.84","2.960","0.01580"
"54.89","1.80","2.760","0.01570"
"55.39","1.77","2.564","0.01560"
"55.89","1.74","2.371","0.01551"
"56.39","1.70","2.179","0.01539"
"56.89","1.67","1.941","0.01526"
"57.39","1.64","1.700","0.01513"
"57.89","1.60","1.470","0.01500"
"58.39","1.57","1.252","0.01488"
"58.89","1.54","1.044","0.01476"
"59.00","1.53","0.9996","0.01474"
"59.00","1.53","0.9987","0.01474"
"59.01","1.53","0.9979","0.01474"
"59.51","1.56","1.675","0.01499"
"60.01","1.60","2.372","0.01527"
"60.51","1.63","3.039","0.01554"
"61.01","1.66","3.635","0.01579"
"61.51","1.70","4.085","0.01597"
"62.01","1.73","4.529","0.01615"
"62.51","1.76","4.978","0.01633"
"63.01","1.80","5.429","0.01652"
"63.51","1.83","5.869","0.01669"
"64.01","1.86","6.292","0.01688"
"64.51","1.90","6.685","0.01703"
"65.01","1.93","7.051","0.01720"
"65.51","1.96","7.407","0.01735"
"66.01","2.00","7.738","0.01746"
"66.51","2.03","8.104","0.01762"
"67.01","2.06","8.465","0.01779"
"67.51","2.10","8.819","0.01796"
