System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02DPMMA"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:28:34 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.05"
Grip Diameter,(mm),"12.78"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.08"
Fracture Notes and Location,,"VERY FLAT FAILURE SURFACE, BRITTLE FRACTURE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.884"
Maximum Strain,(%),"6.259"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.02097","0.000006013"
"0.50","0.03","0.1025","0.0004309"
"1.00","0.07","0.1843","0.0009065"
"1.50","0.10","0.2630","0.001372"
"2.00","0.13","0.3376","0.001809"
"2.50","0.17","0.4101","0.002226"
"3.00","0.20","0.4798","0.002634"
"3.50","0.23","0.5491","0.003074"
"4.00","0.27","0.6158","0.003474"
"4.50","0.30","0.6813","0.003866"
"5.00","0.33","0.7444","0.004308"
"5.50","0.37","0.8065","0.004666"
"6.00","0.40","0.8644","0.005040"
"6.50","0.43","0.9215","0.005411"
"7.00","0.47","0.9754","0.005777"
"7.50","0.50","1.027","0.006105"
"8.00","0.53","1.075","0.006456"
"8.50","0.57","1.119","0.006762"
"9.00","0.60","1.156","0.007046"
"9.50","0.63","1.187","0.007240"
"10.00","0.67","1.209","0.007443"
"10.50","0.70","1.225","0.007581"
"11.00","0.73","1.237","0.007691"
"11.50","0.77","1.245","0.007776"
"12.00","0.80","1.253","0.007864"
"12.50","0.83","1.260","0.007912"
"13.00","0.87","1.266","0.007988"
"13.50","0.90","1.270","0.008035"
"14.00","0.93","1.273","0.008089"
"14.50","0.97","1.273","0.008116"
"15.00","1.00","1.275","0.008123"
"15.50","1.03","1.274","0.008154"
"16.00","1.07","1.271","0.008156"
"16.50","1.10","1.268","0.008150"
"17.00","1.13","1.264","0.008147"
"17.50","1.17","1.262","0.008145"
"18.00","1.20","1.261","0.008153"
"18.50","1.23","1.260","0.008158"
"19.00","1.27","1.260","0.008167"
"19.50","1.30","1.260","0.008176"
"20.00","1.33","1.258","0.008181"
"20.50","1.37","1.256","0.008178"
"21.00","1.40","1.256","0.008185"
"21.50","1.43","1.256","0.008198"
"22.00","1.47","1.256","0.008197"
"22.50","1.50","1.254","0.008201"
"23.00","1.53","1.250","0.008188"
"23.50","1.57","1.247","0.008180"
"24.00","1.60","1.244","0.008163"
"24.50","1.63","1.238","0.008152"
"25.00","1.67","1.232","0.008117"
"25.50","1.70","1.226","0.008084"
"26.00","1.73","1.220","0.008051"
"26.50","1.77","1.213","0.008019"
"27.00","1.80","1.204","0.007976"
"27.50","1.83","1.194","0.007911"
"28.00","1.87","1.184","0.007848"
"28.50","1.90","1.174","0.007801"
"29.00","1.93","1.164","0.007746"
"29.50","1.97","1.150","0.007665"
"30.00","2.00","1.137","0.007595"
"30.50","2.03","1.123","0.007524"
"31.00","2.07","1.113","0.007450"
"31.50","2.10","1.108","0.007395"
"32.00","2.13","1.111","0.007407"
"32.50","2.17","1.118","0.007443"
"33.00","2.20","1.132","0.007510"
"33.50","2.23","1.150","0.007599"
"34.00","2.27","1.169","0.007730"
"34.50","2.30","1.189","0.007844"
"35.00","2.33","1.210","0.007977"
"35.50","2.37","1.229","0.008096"
"36.00","2.40","1.247","0.008239"
"36.50","2.43","1.265","0.008360"
"37.00","2.47","1.282","0.008431"
"37.50","2.50","1.299","0.008569"
"38.00","2.53","1.316","0.008713"
"38.50","2.57","1.330","0.008817"
"39.00","2.60","1.342","0.008896"
"39.50","2.63","1.351","0.008991"
"40.00","2.67","1.359","0.009041"
"40.50","2.70","1.367","0.009095"
"41.00","2.73","1.370","0.009134"
"41.50","2.77","1.376","0.009172"
"42.00","2.80","1.379","0.009228"
"42.50","2.83","1.383","0.009260"
"43.00","2.87","1.387","0.009298"
"43.50","2.90","1.389","0.009313"
"44.00","2.93","1.391","0.009333"
"44.50","2.97","1.394","0.009361"
"45.00","3.00","1.397","0.009401"
"45.50","3.03","1.401","0.009435"
"46.00","3.07","1.403","0.009450"
"46.50","3.10","1.407","0.009482"
"47.00","3.13","1.409","0.009514"
"47.50","3.17","1.411","0.009532"
"48.00","3.20","1.414","0.009559"
"48.50","3.23","1.416","0.009577"
"49.00","3.27","1.419","0.009579"
"49.50","3.30","1.419","0.009621"
"50.00","3.33","1.421","0.009630"
"50.50","3.37","1.421","0.009648"
"51.00","3.40","1.421","0.009647"
"51.50","3.43","1.419","0.009651"
"52.00","3.47","1.417","0.009656"
"52.50","3.50","1.414","0.009646"
"53.00","3.53","1.410","0.009626"
"53.50","3.57","1.407","0.009607"
"54.00","3.60","1.400","0.009576"
"54.50","3.63","1.390","0.009554"
"55.00","3.67","1.376","0.009462"
"55.50","3.70","1.359","0.009351"
"56.00","3.73","1.335","0.009205"
"56.50","3.77","1.302","0.009040"
"57.00","3.80","1.265","0.008784"
"57.50","3.83","1.230","0.008594"
"58.00","3.87","1.210","0.008428"
"58.50","3.90","1.202","0.008349"
"59.00","3.93","1.206","0.008344"
"59.50","3.97","1.214","0.008373"
"60.00","4.00","1.226","0.008427"
"60.50","4.03","1.241","0.008506"
"61.00","4.07","1.256","0.008606"
"61.50","4.10","1.267","0.008670"
"62.00","4.13","1.279","0.008761"
"62.50","4.17","1.290","0.008835"
"63.00","4.20","1.302","0.008911"
"63.50","4.23","1.309","0.008959"
"64.00","4.27","1.317","0.009004"
"64.50","4.30","1.326","0.009090"
"65.00","4.33","1.332","0.009134"
"65.50","4.37","1.339","0.009180"
"66.00","4.40","1.344","0.009218"
"66.50","4.43","1.350","0.009260"
"67.00","4.47","1.355","0.009295"
"67.50","4.50","1.360","0.009339"
"68.00","4.53","1.364","0.009377"
"68.50","4.57","1.367","0.009395"
"69.00","4.60","1.373","0.009422"
"69.50","4.63","1.376","0.009445"
"70.00","4.67","1.381","0.009500"
"70.50","4.70","1.385","0.009534"
"71.00","4.73","1.390","0.009565"
"71.50","4.77","1.394","0.009588"
"72.00","4.80","1.399","0.009637"
"72.50","4.83","1.404","0.009666"
"73.00","4.87","1.409","0.009713"
"73.50","4.90","1.415","0.009745"
"74.00","4.93","1.421","0.009773"
"74.50","4.97","1.428","0.009826"
"75.00","5.00","1.436","0.009892"
"75.50","5.03","1.444","0.009915"
"76.00","5.07","1.454","0.01001"
"76.50","5.10","1.463","0.01008"
"77.00","5.13","1.475","0.01015"
"77.50","5.17","1.486","0.01021"
"78.00","5.20","1.497","0.01030"
"78.50","5.23","1.508","0.01040"
"79.00","5.27","1.519","0.01047"
"79.50","5.30","1.530","0.01055"
"80.00","5.33","1.542","0.01063"
"80.50","5.37","1.553","0.01071"
"81.00","5.40","1.564","0.01080"
"81.50","5.43","1.576","0.01090"
"82.00","5.47","1.586","0.01097"
"82.50","5.50","1.598","0.01105"
"83.00","5.53","1.610","0.01114"
"83.50","5.57","1.621","0.01124"
"84.00","5.60","1.633","0.01130"
"84.50","5.63","1.645","0.01140"
"85.00","5.67","1.659","0.01151"
"85.50","5.70","1.670","0.01161"
"86.00","5.73","1.687","0.01171"
"86.50","5.77","1.703","0.01185"
"87.00","5.80","1.720","0.01196"
"87.50","5.83","1.738","0.01211"
"88.00","5.87","1.755","0.01222"
"88.50","5.90","1.772","0.01235"
"89.00","5.93","1.790","0.01247"
"89.50","5.97","1.808","0.01262"
"90.00","6.00","1.827","0.01277"
"90.50","6.03","1.845","0.01292"
"91.00","6.07","1.864","0.01305"
"91.50","6.10","1.884","0.01323"
"92.00","6.13","1.904","0.01338"
"92.50","6.17","1.924","0.01354"
"93.00","6.20","1.945","0.01370"
"93.50","6.23","1.968","0.01389"
"94.00","6.27","1.990","0.01404"
"94.50","6.30","2.014","0.01422"
"95.00","6.33","2.038","0.01442"
"95.50","6.37","2.063","0.01462"
"96.00","6.40","2.088","0.01484"
"96.50","6.43","2.113","0.01507"
"97.00","6.47","2.139","0.01524"
"97.50","6.50","2.166","0.01550"
"98.00","6.53","2.193","0.01572"
"98.50","6.57","2.220","0.01597"
"99.00","6.60","2.247","0.01618"
"99.50","6.63","2.275","0.01642"
"100.00","6.67","2.301","0.01666"
"100.50","6.70","2.329","0.01689"
"101.00","6.73","2.356","0.01716"
"101.50","6.77","2.384","0.01742"
"102.00","6.80","2.410","0.01764"
"102.50","6.83","2.438","0.01792"
"103.00","6.87","2.464","0.01816"
"103.50","6.90","2.491","0.01842"
"104.00","6.93","2.515","0.01869"
"104.50","6.97","2.541","0.01895"
"105.00","7.00","2.567","0.01920"
"105.50","7.03","2.594","0.01946"
"106.00","7.07","2.621","0.01975"
"106.50","7.10","2.648","0.02003"
"107.00","7.13","2.674","0.02033"
"107.50","7.17","2.700","0.02060"
"108.00","7.20","2.726","0.02087"
"108.50","7.23","2.752","0.02119"
"109.00","7.27","2.778","0.02146"
"109.50","7.30","2.803","0.02178"
"110.00","7.33","2.827","0.02209"
"110.50","7.37","2.851","0.02238"
"111.00","7.40","2.875","0.02265"
"111.50","7.43","2.898","0.02296"
"112.00","7.47","2.922","0.02327"
"112.50","7.50","2.943","0.02356"
"113.00","7.53","2.966","0.02388"
"113.50","7.57","2.989","0.02418"
"114.00","7.60","3.011","0.02449"
"114.50","7.63","3.033","0.02481"
"115.00","7.67","3.053","0.02515"
"115.50","7.70","3.074","0.02546"
"116.00","7.73","3.095","0.02577"
"116.50","7.77","3.116","0.02607"
"117.00","7.80","3.136","0.02642"
"117.50","7.83","3.156","0.02673"
"118.00","7.87","3.174","0.02707"
"118.50","7.90","3.193","0.02740"
"119.00","7.93","3.214","0.02771"
"119.50","7.97","3.233","0.02808"
"120.00","8.00","3.252","0.02843"
"120.50","8.03","3.271","0.02878"
"121.00","8.07","3.289","0.02912"
"121.50","8.10","3.308","0.02950"
"122.00","8.13","3.327","0.02985"
"122.50","8.17","3.345","0.03022"
"123.00","8.20","3.362","0.03056"
"123.50","8.23","3.380","0.03097"
"124.00","8.27","3.398","0.03134"
"124.50","8.30","3.414","0.03171"
"125.00","8.33","3.431","0.03210"
"125.50","8.37","3.448","0.03248"
"126.00","8.40","3.465","0.03288"
"126.50","8.43","3.481","0.03328"
"127.00","8.47","3.496","0.03372"
"127.50","8.50","3.512","0.03409"
"128.00","8.53","3.527","0.03451"
"128.50","8.57","3.543","0.03491"
"129.00","8.60","3.557","0.03535"
"129.50","8.63","3.571","0.03577"
"130.00","8.67","3.585","0.03617"
"130.50","8.70","3.600","0.03661"
"131.00","8.73","3.613","0.03704"
"131.50","8.77","3.627","0.03751"
"132.00","8.80","3.640","0.03797"
"132.50","8.83","3.653","0.03840"
"133.00","8.87","3.666","0.03888"
"133.50","8.90","3.679","0.03931"
"134.00","8.93","3.691","0.03979"
"134.50","8.97","3.703","0.04024"
"135.00","9.00","3.715","0.04073"
"135.50","9.03","3.726","0.04124"
"136.00","9.07","3.736","0.04170"
"136.50","9.10","3.748","0.04218"
"137.00","9.13","3.758","0.04266"
"137.50","9.17","3.768","0.04318"
"138.00","9.20","3.778","0.04367"
"138.50","9.23","3.788","0.04417"
"139.00","9.27","3.797","0.04468"
"139.50","9.30","3.806","0.04520"
"140.00","9.33","3.816","0.04573"
"140.50","9.37","3.824","0.04625"
"141.00","9.40","3.832","0.04677"
"141.50","9.43","3.840","0.04730"
"142.00","9.47","3.847","0.04785"
"142.50","9.50","3.856","0.04841"
"143.00","9.53","3.863","0.04895"
"143.50","9.57","3.869","0.04950"
"144.00","9.60","3.876","0.05004"
"144.50","9.63","3.884","0.05063"
"144.94","9.66","2.283","0.06259"

