System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02C4340T500C"
Last test date,,"Monday, October 14, 2024"
Last test time,,"6:09:35 PM"
Course,,"Npre 432"
Lab Section Number,,"C"
Group,,"<None>"
Material,,"4340"
Heat Treatment,,"OQT500C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.19"
Grip Diameter,(mm),"17.19"
Rockwell Hardness,,"25.1"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.02"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"48.77"
Maximum Strain,(%),"13.18"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","-0.06","0.2947","0.00002288"
"0.50","-0.03","1.135","-0.000008351"
"1.00","0.00","1.898","-0.00003331"
"1.50","0.04","2.274","-0.00005331"
"2.00","0.07","2.560","-0.00006491"
"2.50","0.10","2.880","-0.00007121"
"3.00","0.14","3.208","-0.00008261"
"3.50","0.17","3.540","-0.00009905"
"4.00","0.20","3.874","-0.0001104"
"4.50","0.24","4.177","-0.0001215"
"5.00","0.27","4.459","-0.0001276"
"5.50","0.30","4.740","-0.0001374"
"6.00","0.34","5.022","-0.0001424"
"6.50","0.37","5.305","-0.0001557"
"7.00","0.40","5.584","-0.0001648"
"7.50","0.44","5.855","-0.0001590"
"8.00","0.47","6.123","-0.0001720"
"8.50","0.50","6.385","-0.0001745"
"9.00","0.54","6.640","-0.0001873"
"9.50","0.57","6.890","-0.0001868"
"10.00","0.60","7.132","-0.0001879"
"10.50","0.64","7.358","-0.0001796"
"11.00","0.67","7.559","-0.0001797"
"11.50","0.70","7.730","-0.0001844"
"12.00","0.74","7.860","-0.0001945"
"12.50","0.77","7.936","-0.0001915"
"13.00","0.80","7.920","-0.0001788"
"13.50","0.84","7.732","-0.0001675"
"14.00","0.87","7.239","-0.0001480"
"14.50","0.90","6.136","-0.00009576"
"15.00","0.94","3.505","-0.00001316"
"15.50","0.97","1.213","0.00006852"
"16.00","1.00","0.5760","0.00008516"
"16.50","1.04","0.3544","0.00009972"
"17.00","1.07","0.2461","0.00009546"
"17.50","1.10","0.1763","0.0001089"
"18.00","1.14","0.1190","0.0001113"
"18.50","1.17","0.07749","0.0001086"
"19.00","1.20","0.05120","0.0001150"
"19.50","1.24","0.04351","0.0001056"
"20.00","1.27","0.07688","0.0001112"
"20.50","1.30","0.1145","0.0001093"
"21.00","1.34","0.1745","0.0001076"
"21.50","1.37","0.2624","0.0001061"
"22.00","1.40","0.3949","0.00009615"
"22.50","1.44","0.5687","0.00009393"
"23.00","1.47","0.7632","0.00009231"
"23.50","1.50","0.9733","0.00007896"
"24.00","1.54","1.182","0.00006876"
"24.50","1.57","1.405","0.00006890"
"25.00","1.60","1.648","0.00005662"
"25.50","1.64","1.922","0.00003785"
"26.00","1.67","2.214","0.00003406"
"26.50","1.70","2.537","0.00002285"
"27.00","1.74","2.888","0.000007416"
"27.50","1.77","3.257","0.000004435"
"28.00","1.80","3.653","-0.00001170"
"28.50","1.84","4.074","-0.00003359"
"29.00","1.87","4.515","-0.00004989"
"29.50","1.90","4.913","-0.00005808"
"30.00","1.94","5.309","-0.00007726"
"30.50","1.97","5.711","-0.00008608"
"31.00","2.00","6.128","-0.00009564"
"31.50","2.04","6.546","-0.0001215"
"32.00","2.07","6.968","-0.0001363"
"32.50","2.10","7.391","-0.0001480"
"33.00","2.14","7.816","-0.0001640"
"33.50","2.17","8.233","-0.0001766"
"34.00","2.20","8.649","-0.0001945"
"34.50","2.24","9.064","-0.0001984"
"35.00","2.27","9.479","-0.0002147"
"35.50","2.30","9.890","-0.0002281"
"36.00","2.34","10.30","-0.0002400"
"36.50","2.37","10.71","-0.0002490"
"37.00","2.40","11.13","-0.0002498"
"37.50","2.44","11.55","-0.0002587"
"38.00","2.47","11.98","-0.0002600"
"38.50","2.50","12.40","-0.0002626"
"39.00","2.54","12.83","-0.0002637"
"39.50","2.57","13.27","-0.0002659"
"40.00","2.60","13.70","-0.0002677"
"40.50","2.64","14.14","-0.0002727"
"41.00","2.67","14.59","-0.0002739"
"41.50","2.70","15.04","-0.0002707"
"42.00","2.74","15.48","-0.0002849"
"42.50","2.77","15.93","-0.0002827"
"43.00","2.80","16.39","-0.0002905"
"43.50","2.84","16.84","-0.0002982"
