System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340NM"
Last test date,,"Monday, October 14, 2024"
Last test time,,"5:48:42 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.72"
Rockwell Hardness,,"23.5"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.25"
Fracture Notes and Location,,"Brittle fracture, flat surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"58.73"
Maximum Strain,(%),"24.95"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.4122","-0.0001370"
"0.50","0.03","0.6492","-0.0001018"
"1.00","0.07","0.6804","-0.0001075"
"1.50","0.10","0.6859","-0.0001201"
"2.00","0.13","0.6894","-0.0001097"
"2.50","0.17","0.6803","-0.0001124"
"3.00","0.20","0.6647","-0.0001114"
"3.50","0.23","0.6410","-0.0001168"
"4.00","0.27","0.6009","-0.0001244"
"4.50","0.30","0.5544","-0.0001444"
"5.00","0.33","0.4988","-0.0001441"
"5.50","0.37","0.4253","-0.0001602"
"6.00","0.40","0.3515","-0.0001603"
"6.50","0.43","0.2749","-0.0001661"
"7.00","0.47","0.2060","-0.0001877"
"7.50","0.50","0.1481","-0.0001959"
"8.00","0.53","0.1017","-0.0002071"
"8.50","0.57","0.06348","-0.0002091"
"9.00","0.60","0.03866","-0.0002027"
"9.50","0.63","0.02536","-0.0001870"
"10.00","0.67","0.02048","-0.0001614"
"10.50","0.70","0.07224","-0.0001478"
"11.00","0.73","0.1008","-0.0001586"
"11.50","0.77","0.1423","-0.0001749"
"12.00","0.80","0.1989","-0.0001898"
"12.50","0.83","0.2748","-0.0001892"
"13.00","0.87","0.3639","-0.0001892"
"13.50","0.90","0.4715","-0.0001906"
"14.00","0.93","0.6005","-0.0001799"
"14.50","0.97","0.7268","-0.0001652"
"15.00","1.00","0.8338","-0.0001492"
"15.50","1.03","0.9288","-0.0001416"
"16.00","1.07","1.031","-0.0001336"
"16.50","1.10","1.134","-0.0001275"
"17.00","1.13","1.235","-0.0001131"
"17.50","1.17","1.341","-0.0001093"
"18.00","1.20","1.442","-0.00009634"
"18.50","1.23","1.542","-0.00009060"
"19.00","1.27","1.642","-0.00007412"
"19.50","1.30","1.748","-0.00006274"
"20.00","1.33","1.857","-0.00004680"
"20.50","1.37","1.972","-0.00001828"
"21.00","1.40","2.095","-0.000004329"
"21.50","1.43","2.224","0.00001605"
"22.00","1.47","2.358","0.00003011"
"22.50","1.50","2.496","0.00005358"
"23.00","1.53","2.648","0.00007081"
"23.50","1.57","2.811","0.0001044"
"24.00","1.60","2.979","0.0001298"
"24.50","1.63","3.152","0.0001396"
"25.00","1.67","3.329","0.0001689"
"25.50","1.70","3.514","0.0001901"
"26.00","1.73","3.706","0.0002065"
"26.50","1.77","3.906","0.0002338"
"27.00","1.80","4.112","0.0002608"
"27.50","1.83","4.324","0.0002903"
"28.00","1.87","4.543","0.0003148"
"28.50","1.90","4.774","0.0003415"
"29.00","1.93","5.004","0.0003711"
"29.50","1.97","5.241","0.0003937"
"30.00","2.00","5.482","0.0004181"
"30.50","2.03","5.731","0.0004535"
"31.00","2.07","5.989","0.0004778"
"31.50","2.10","6.253","0.0005159"
"32.00","2.13","6.521","0.0005444"
"32.50","2.17","6.793","0.0005753"
"33.00","2.20","7.069","0.0006105"
"33.50","2.23","7.348","0.0006416"
"34.00","2.27","7.628","0.0006812"
"34.50","2.30","7.910","0.0007208"
"35.00","2.33","8.194","0.0007483"
"35.50","2.37","8.486","0.0007875"
"36.00","2.40","8.772","0.0008227"
"36.50","2.43","9.066","0.0008579"
"37.00","2.47","9.363","0.0008959"
"37.50","2.50","9.660","0.0009236"
"38.00","2.53","9.961","0.0009667"
"38.50","2.57","10.26","0.0009976"
"39.00","2.60","10.56","0.001042"
"39.50","2.63","10.86","0.001081"
"40.00","2.67","11.17","0.001125"
"40.50","2.70","11.47","0.001163"
"41.00","2.73","11.78","0.001191"
"41.50","2.77","12.09","0.001232"
"42.00","2.80","12.40","0.001282"
"42.50","2.83","12.71","0.001320"
"43.00","2.87","13.02","0.001360"
"43.50","2.90","13.33","0.001403"
"44.00","2.93","13.64","0.001442"
"44.50","2.97","13.95","0.001485"
"45.00","3.00","14.26","0.001517"
"45.50","3.03","14.58","0.001564"
"46.00","3.07","14.89","0.001608"
"46.50","3.10","15.20","0.001658"
"47.00","3.13","15.51","0.001696"
"47.50","3.17","15.82","0.001740"
"48.00","3.20","16.13","0.001796"
"48.50","3.23","16.43","0.001828"
"49.00","3.27","16.73","0.001880"
"49.50","3.30","17.03","0.001924"
"50.00","3.33","17.32","0.001965"
"50.50","3.37","17.61","0.002014"
"51.00","3.40","17.90","0.002057"
"51.50","3.43","18.18","0.002094"
"52.00","3.47","18.45","0.002136"
"52.50","3.50","18.72","0.002179"
"53.00","3.53","18.97","0.002219"
"53.50","3.57","19.22","0.002260"
"54.00","3.60","19.45","0.002296"
"54.50","3.63","19.66","0.002326"
"55.00","3.67","19.85","0.002356"
"55.50","3.70","20.01","0.002380"
"56.00","3.73","20.12","0.002404"
"56.50","3.77","20.18","0.002420"
"57.00","3.80","20.11","0.002407"
"57.50","3.83","19.79","0.002374"
"58.00","3.87","18.83","0.002279"
"58.50","3.90","3.448","-0.005358"
"59.00","3.93","4.339","-0.004788"
"59.50","3.97","5.030","-0.004936"
"60.00","4.00","5.641","-0.004826"
"60.50","4.03","6.218","-0.004739"
"61.00","4.07","6.764","-0.004672"
"61.50","4.10","7.260","-0.004632"
