System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340OQ"
Last test date,,"Monday, October 14, 2024"
Last test time,,"6:01:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340"
Heat Treatment,,"OQ"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.21"
Grip Diameter,(mm),"12.69"
Rockwell Hardness,,"27.7"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.89"
Fracture Notes and Location,,"Brittle fracture, flat surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"82.22"
Maximum Strain,(%),"5.481"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1838","-0.00004898"
"0.50","0.03","0.6360","0.000001593"
"1.00","0.07","0.9544","0.00003702"
"1.50","0.10","1.295","0.00006739"
"2.00","0.13","1.680","0.0001034"
"2.50","0.17","2.091","0.0001553"
"3.00","0.20","2.523","0.0002059"
"3.50","0.23","2.965","0.0002653"
"4.00","0.27","3.400","0.0003007"
"4.50","0.30","3.852","0.0003579"
"5.00","0.33","4.274","0.0004074"
"5.50","0.37","4.651","0.0004619"
"6.00","0.40","5.006","0.0004988"
"6.50","0.43","5.363","0.0005348"
"7.00","0.47","5.732","0.0005896"
"7.50","0.50","6.112","0.0006259"
"8.00","0.53","6.497","0.0006731"
"8.50","0.57","6.887","0.0007237"
"9.00","0.60","7.281","0.0007684"
"9.50","0.63","7.683","0.0008190"
"10.00","0.67","8.098","0.0008759"
"10.50","0.70","8.511","0.0009127"
"11.00","0.73","8.924","0.0009703"
"11.50","0.77","9.341","0.001028"
"12.00","0.80","9.762","0.001074"
"12.50","0.83","10.19","0.001129"
"13.00","0.87","10.62","0.001178"
"13.50","0.90","11.05","0.001233"
"14.00","0.93","11.48","0.001289"
"14.50","0.97","11.91","0.001338"
"15.00","1.00","12.34","0.001391"
"15.50","1.03","12.77","0.001441"
"16.00","1.07","13.19","0.001499"
"16.50","1.10","13.62","0.001550"
"17.00","1.13","14.05","0.001603"
"17.50","1.17","14.47","0.001656"
"18.00","1.20","14.90","0.001714"
"18.50","1.23","15.32","0.001767"
"19.00","1.27","15.76","0.001821"
"19.50","1.30","16.18","0.001885"
"20.00","1.33","16.60","0.001933"
"20.50","1.37","17.03","0.001997"
"21.00","1.40","17.47","0.002053"
"21.50","1.43","17.90","0.002115"
"22.00","1.47","18.34","0.002181"
"22.50","1.50","18.77","0.002233"
"23.00","1.53","19.21","0.002297"
"23.50","1.57","19.66","0.002362"
"24.00","1.60","20.10","0.002427"
"24.50","1.63","20.54","0.002494"
"25.00","1.67","20.98","0.002557"
"25.50","1.70","21.42","0.002621"
"26.00","1.73","21.87","0.002680"
"26.50","1.77","22.31","0.002748"
"27.00","1.80","22.76","0.002818"
"27.50","1.83","23.20","0.002883"
"28.00","1.87","23.65","0.002954"
"28.50","1.90","24.10","0.003022"
"29.00","1.93","24.55","0.003096"
"29.50","1.97","24.99","0.003169"
"30.00","2.00","25.44","0.003241"
"30.50","2.03","25.90","0.003319"
"31.00","2.07","26.35","0.003395"
"31.50","2.10","26.80","0.003474"
"32.00","2.13","27.25","0.003547"
"32.50","2.17","27.70","0.003625"
"33.00","2.20","28.16","0.003696"
"33.50","2.23","28.61","0.003774"
"34.00","2.27","29.07","0.003856"
"34.50","2.30","29.52","0.003936"
"35.00","2.33","29.98","0.004021"
"35.50","2.37","30.43","0.004097"
"36.00","2.40","30.89","0.004194"
"36.50","2.43","31.35","0.004272"
"37.00","2.47","31.81","0.004361"
"37.50","2.50","32.27","0.004455"
"38.00","2.53","32.73","0.004540"
"38.50","2.57","33.18","0.004634"
"39.00","2.60","33.64","0.004732"
"39.50","2.63","34.10","0.004822"
"40.00","2.67","34.56","0.004915"
"40.50","2.70","35.02","0.005006"
"41.00","2.73","35.47","0.005100"
"41.50","2.77","35.94","0.005205"
"42.00","2.80","36.40","0.005300"
"42.50","2.83","36.86","0.005400"
"43.00","2.87","37.32","0.005497"
"43.50","2.90","37.78","0.005600"
"44.00","2.93","38.23","0.005701"
"44.50","2.97","38.69","0.005803"
"45.00","3.00","39.15","0.005907"
"45.50","3.03","39.61","0.006018"
