System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340T300C"
Last test date,,"Monday, October 14, 2024"
Last test time,,"6:09:49 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340"
Heat Treatment,,"T300C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.29"
Grip Diameter,(mm),"12.62"
Rockwell Hardness,,"33.9"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.38"
Fracture Notes and Location,,"Slightly ductile failure, cup/cone structure"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"64.85"
Maximum Strain,(%),"27.87"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1044","-0.00002429"
"0.50","0.03","0.6531","0.0001617"
"1.00","0.07","1.512","0.0005769"
"1.50","0.10","2.239","0.0009724"
"2.00","0.13","2.917","0.001087"
"2.50","0.17","3.563","0.001173"
"3.00","0.20","4.145","0.001256"
"3.50","0.23","4.616","0.001317"
"4.00","0.27","4.946","0.001355"
"4.50","0.30","5.206","0.001387"
"5.00","0.33","5.327","0.001410"
"5.50","0.37","5.138","0.001403"
"6.00","0.40","4.593","0.001326"
"6.50","0.43","3.816","0.001223"
"7.00","0.47","2.943","0.001104"
"7.50","0.50","2.196","0.0009949"
"8.00","0.53","1.604","0.0008944"
"8.50","0.57","1.076","0.0008190"
"9.00","0.60","0.6645","0.0007418"
"9.50","0.63","0.3984","0.0006984"
"10.00","0.67","0.5931","0.0007203"
"10.50","0.70","0.9311","0.0007926"
"11.00","0.73","1.275","0.0008576"
"11.50","0.77","1.629","0.0009137"
"12.00","0.80","2.008","0.0009698"
"12.50","0.83","2.413","0.001019"
"13.00","0.87","2.840","0.001083"
"13.50","0.90","3.285","0.001133"
"14.00","0.93","3.740","0.001187"
"14.50","0.97","4.202","0.001251"
"15.00","1.00","4.665","0.001305"
"15.50","1.03","5.117","0.001370"
"16.00","1.07","5.489","0.001419"
"16.50","1.10","5.773","0.001461"
"17.00","1.13","6.029","0.001485"
"17.50","1.17","6.251","0.001508"
"18.00","1.20","6.432","0.001530"
"18.50","1.23","6.562","0.001541"
"19.00","1.27","6.654","0.001550"
"19.50","1.30","6.661","0.001556"
"20.00","1.33","6.567","0.001536"
"20.50","1.37","6.275","0.001505"
"21.00","1.40","5.769","0.001448"
"21.50","1.43","5.168","0.001372"
"22.00","1.47","4.519","0.001280"
"22.50","1.50","3.533","0.001145"
"23.00","1.53","1.923","0.0009453"
"23.50","1.57","0.5340","0.0007717"
"24.00","1.60","0.3293","0.0007533"
"24.50","1.63","0.2174","0.0007563"
"25.00","1.67","0.1525","0.0007378"
"25.50","1.70","0.3236","0.0007752"
"26.00","1.73","0.5501","0.0008056"
"26.50","1.77","0.7846","0.0008369"
"27.00","1.80","1.001","0.0008622"
"27.50","1.83","1.230","0.0008875"
"28.00","1.87","1.473","0.0009183"
"28.50","1.90","1.729","0.0009587"
"29.00","1.93","2.000","0.0009948"
"29.50","1.97","2.291","0.001028"
"30.00","2.00","2.593","0.001075"
"30.50","2.03","2.916","0.001111"
"31.00","2.07","3.256","0.001165"
"31.50","2.10","3.608","0.001188"
"32.00","2.13","3.970","0.001246"
"32.50","2.17","4.345","0.001289"
"33.00","2.20","4.725","0.001334"
