System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02c4340AN"
Last test date,,"Monday, October 14, 2024"
Last test time,,"5:48:45 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"<None>"
Material,,"Steel 4340"
Heat Treatment,,"AN"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.23"
Grip Diameter,(mm),"12.56"
Rockwell Hardness,,"87.9"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.46"
Fracture Notes and Location,,"some cupping"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.98"
Maximum Strain,(%),"25.87"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1528","0.00005646"
"0.50","0.03","0.8558","0.0001599"
"1.00","0.07","1.080","0.0002513"
"1.50","0.10","1.148","0.0002937"
"2.00","0.13","1.192","0.0003156"
"2.50","0.17","1.215","0.0003361"
"3.00","0.20","1.239","0.0003485"
"3.50","0.23","1.277","0.0003781"
"4.00","0.27","1.319","0.0003879"
"4.50","0.30","1.372","0.0003987"
"5.00","0.33","1.413","0.0004079"
"5.50","0.37","1.467","0.0004262"
"6.00","0.40","1.508","0.0004400"
"6.50","0.43","1.526","0.0004483"
"7.00","0.47","1.555","0.0004430"
"7.50","0.50","1.569","0.0004516"
"8.00","0.53","1.597","0.0004565"
"8.50","0.57","1.634","0.0004725"
"9.00","0.60","1.668","0.0004774"
"9.50","0.63","1.693","0.0004747"
"10.00","0.67","1.700","0.0004735"
"10.50","0.70","1.713","0.0004826"
"11.00","0.73","1.741","0.0004991"
"11.50","0.77","1.761","0.0004925"
"12.00","0.80","1.787","0.0005017"
"12.50","0.83","1.850","0.0005171"
"13.00","0.87","1.858","0.0005245"
"13.50","0.90","1.883","0.0005297"
"14.00","0.93","1.926","0.0005363"
"14.50","0.97","1.949","0.0005379"
"15.00","1.00","1.972","0.0005501"
"15.50","1.03","1.980","0.0005542"
"16.00","1.07","1.987","0.0005605"
"16.50","1.10","2.008","0.0005559"
"17.00","1.13","2.049","0.0005702"
"17.50","1.17","2.056","0.0005749"
"18.00","1.20","2.061","0.0005786"
"18.50","1.23","2.063","0.0005849"
"19.00","1.27","2.062","0.0005840"
"19.50","1.30","2.055","0.0005743"
"20.00","1.33","2.082","0.0005893"
"20.50","1.37","2.101","0.0005900"
"21.00","1.40","2.122","0.0005940"
"21.50","1.43","2.125","0.0005961"
"22.00","1.47","2.122","0.0005867"
"22.50","1.50","2.146","0.0005978"
"23.00","1.53","2.161","0.0006028"
"23.50","1.57","2.160","0.0005975"
"24.00","1.60","2.174","0.0005957"
"24.50","1.63","2.219","0.0006081"
"25.00","1.67","2.252","0.0006033"
"25.50","1.70","2.270","0.0006121"
"26.00","1.73","2.279","0.0006200"
"26.50","1.77","2.342","0.0006269"
"27.00","1.80","2.369","0.0006364"
"27.50","1.83","2.395","0.0006511"
"28.00","1.87","2.411","0.0006565"
"28.50","1.90","2.465","0.0006565"
"29.00","1.93","2.532","0.0006802"
"29.50","1.97","2.609","0.0007074"
"30.00","2.00","2.689","0.0007298"
"30.50","2.03","2.738","0.0007402"
