*
POSN mm 	LOAD kn	CTOD mm
-8.878970	-0.001780	-0.001065
-8.875323	0.001343	-0.001023
-8.870633	0.001863	-0.001190
-8.865423	-0.003861	-0.001023
-8.859692	0.003424	-0.001169
-8.855003	0.007066	-0.001148
-8.848751	0.004985	-0.001211
-8.844583	-0.004902	-0.001065
-8.839894	-0.003861	-0.000898
-8.834163	0.002903	-0.001023
-8.828953	0.005505	-0.001065
-8.823743	0.000822	-0.001148
-8.819054	0.007066	-0.000856
-8.814365	0.007066	-0.000940
-8.809155	0.002903	-0.001065
-8.803945	-0.001259	-0.001065
-8.798735	0.006026	-0.000981
-8.794567	0.005505	-0.000940
-8.788315	0.000302	-0.001065
-8.784147	0.002903	-0.000981
-8.778416	0.008627	-0.001106
-8.774248	0.009148	-0.000981
-8.769038	-0.001259	-0.000981
-8.763306	0.000822	-0.000981
-8.759138	0.002903	-0.001002
-8.754449	0.009668	-0.001127
-8.748718	0.003424	-0.001044
-8.743508	0.001863	-0.000690
-8.741945	0.006546	-0.000940
-8.734130	0.003424	-0.001106
-8.728920	0.001343	-0.001065
-8.723710	0.004985	-0.000981
-8.719542	0.006546	-0.000815
-8.713811	0.001343	-0.000815
-8.709122	0.004465	-0.001044
-8.704433	0.006546	-0.000981
-8.698702	0.008627	-0.001065
-8.693492	0.001343	-0.001065
-8.688282	0.001343	-0.000877
-8.684114	0.008627	-0.000961
-8.678904	0.010709	-0.001065
-8.673694	0.002383	-0.001211
-8.669526	0.005505	-0.000627
-8.663273	0.007066	-0.000981
-8.659105	0.009148	-0.001148
-8.653374	0.006026	-0.001106
-8.648685	0.004985	-0.000856
-8.643475	0.007066	-0.000898
-8.638265	0.004465	-0.001065
-8.634097	0.005505	-0.001148
-8.628887	0.009148	-0.001002
-8.624198	0.010709	-0.001148
-8.619509	0.004985	-0.001044
-8.614820	0.002383	-0.000856
-8.609089	0.006546	-0.000898
-8.604921	0.013310	-0.001023
-8.599190	0.006546	-0.000898
-8.593459	0.002903	-0.000856
-8.588249	0.009668	-0.000731
-8.585123	0.012790	-0.001065
-8.579392	0.006546	-0.001065
-8.574182	0.002383	-0.000981
-8.569493	0.008627	-0.000898
-8.564804	0.011229	-0.000877
-8.559072	0.011749	-0.000961
-8.554383	0.013310	-0.000898
-8.548652	0.031522	-0.000190
-8.544484	0.046612	-0.000148
-8.540316	0.061182	0.000227
-8.536669	0.081475	0.000644
-8.531980	0.106972	0.001060
-8.528854	0.122582	0.001373
-8.525207	0.134030	0.001768
-8.523123	0.149119	0.002185
-8.517913	0.180340	0.002810
-8.513224	0.206357	0.003373
-8.509577	0.228732	0.004018
-8.504888	0.258391	0.004998
-8.500720	0.308864	0.005456
-8.494989	0.353093	0.006643
-8.488216	0.395761	0.007768
-8.484048	0.443112	0.009018
-8.479359	0.508155	0.010227
-8.471544	0.543018	0.010935
-8.467376	0.616386	0.012935
-8.460603	0.693917	0.014560
-8.454871	0.757919	0.015935
-8.450182	0.820880	0.017601
-8.444451	0.894249	0.019310
-8.438199	0.959812	0.020726
-8.432468	1.032660	0.022560
-8.427258	1.098222	0.024185
-8.423611	1.157541	0.025768
-8.424653	1.117995	0.024768
-8.427258	1.047229	0.022789
-8.415275	1.243918	0.027601
-8.406939	1.391695	0.031268
-8.399645	1.523862	0.034705
-8.392351	1.653427	0.037601
-8.386099	1.776748	0.040642
-8.379326	1.883418	0.043413
-8.373595	2.004657	0.046351
-8.368385	2.111328	0.048934
-8.362654	2.223201	0.051830
-8.356922	2.327269	0.054434
-8.352233	2.431338	0.056767
-8.347544	2.528121	0.059434
-8.342855	2.619181	0.062142
-8.338166	2.697753	0.063954
-8.332956	2.827318	0.066933
-8.327746	2.930866	0.069454
-8.321494	3.024527	0.072100
-8.318368	3.124433	0.074766
-8.314200	3.237867	0.077391
-8.308469	3.345057	0.079933
-8.303780	3.446004	0.082600
-8.298570	3.559438	0.085599
-8.294402	3.667669	0.088183
-8.288150	3.779022	0.090766
-8.283982	3.890375	0.093558
-8.278772	4.003289	0.096516
-8.273562	4.121407	0.099349
-8.269394	4.225475	0.102266
-8.264184	4.346195	0.104974
-8.258974	4.465873	0.107932
-8.254805	4.567340	0.110432
-8.249595	4.694303	0.113640
-8.244385	4.810339	0.116599
-8.239175	4.922733	0.119536
-8.234486	5.043973	0.122432
-8.229276	5.160009	0.125265
-8.224587	5.278647	0.128598
-8.219898	5.391561	0.131432
-8.214688	5.522687	0.134098
-8.208957	5.636642	0.136869
-8.204789	5.703245	0.138931
-8.199579	5.858307	0.142869
-8.195411	5.977986	0.145452
-8.188117	6.096624	0.148764
-8.184991	6.221506	0.151973
-8.179260	6.353152	0.154764
-8.175092	6.461903	0.157597
-8.170403	6.583143	0.161035
-8.165193	6.713749	0.164139
-8.158941	6.836549	0.166722
-8.154772	6.944260	0.169680
-8.149562	7.078508	0.173535
-8.144873	7.210155	0.176264
-8.140184	7.337118	0.178930
-8.134974	7.454195	0.182159
-8.129764	7.581158	0.185638
-8.125075	7.703959	0.188597
-8.120907	7.826239	0.191430
-8.115176	7.967772	0.195138
-8.108924	8.096296	0.198180
-8.104756	8.210251	0.201221
-8.100067	8.344499	0.204263
-8.094857	8.475625	0.207846
-8.088084	8.602068	0.210929
-8.083916	8.735796	0.214138
-8.078706	8.866402	0.217388
-8.074017	8.989723	0.220783
-8.069328	9.108361	0.223762
-8.064639	9.258219	0.226929
-8.058908	9.381020	0.229845
-8.054739	9.491852	0.233033
-8.049008	9.643272	0.236866
-8.044319	9.767633	0.239679
-8.038067	9.891995	0.242762
-8.033899	10.021560	0.246262
-8.028689	10.154892	0.249470
-8.024521	10.284978	0.252678
-8.019311	10.405697	0.255678
-8.014622	10.546189	0.259136
-8.008891	10.670030	0.262178
-8.004723	10.781384	0.264803
-7.998992	10.933323	0.268949
-7.994303	11.062368	0.272261
-7.988051	11.188291	0.275157
-7.984404	11.337108	0.278302
-7.978673	11.455746	0.281594
-7.975026	11.591035	0.285261
-7.969295	11.721120	0.288344
-7.964085	11.855369	0.291135
-7.958875	11.992739	0.294781
-7.954707	12.098888	0.297635
-7.950017	12.257072	0.301344
-7.944807	12.394442	0.304343
-7.938034	12.461046	0.305968
-7.933866	12.644206	0.310760
-7.929698	12.770129	0.313760
-7.925009	12.908540	0.316926
-7.918757	13.041747	0.320426
-7.914589	13.181199	0.323593
-7.908858	13.316488	0.327009
-7.904169	13.430963	0.329801
-7.899480	13.578740	0.333509
-7.894791	13.706744	0.336613
-7.888018	13.842033	0.339780
-7.883850	13.982525	0.343467
-7.879682	14.109488	0.346113
-7.874472	14.253102	0.349800
-7.868220	14.390473	0.353175
-7.864573	14.534087	0.356592
-7.858321	14.661050	0.359592
-7.854674	14.775525	0.362258
-7.848942	14.929547	0.366342
-7.844253	15.075242	0.369758
-7.838001	15.202205	0.372633
-7.833833	15.343738	0.376133
-7.829665	15.466539	0.379508
-7.824455	15.609113	0.383133
-7.819245	15.749605	0.386195
-7.812993	15.883853	0.389424
-7.809346	16.013938	0.392799
-7.804657	16.099274	0.395091
-7.799447	16.282435	0.399706
-7.794237	16.417723	0.402580
-7.790069	16.548849	0.405914
-7.783817	16.691423	0.409497
-7.779649	16.815264	0.412705
-7.773918	16.962001	0.416372
-7.769750	17.094167	0.419497
-7.764019	17.232578	0.422830
-7.758809	17.362664	0.426330
-7.754641	17.472976	0.429163
-7.749952	17.635323	0.432996
-7.744220	17.768530	0.436538
-7.740052	17.742513	0.443079
-7.733800	17.895493	0.446663
-7.729632	18.019335	0.449996
-7.724943	18.159827	0.453579
-7.719212	18.294075	0.456912
-7.714523	18.431445	0.460621
-7.708792	18.557368	0.463870
-7.704624	18.668721	0.466870
-7.699414	18.825864	0.471329
-7.694725	18.480357	0.483912
-7.690036	18.617728	0.487120
-7.683784	18.759260	0.491161
-7.679095	18.892468	0.494995
-7.674927	19.009024	0.498078
-7.669196	19.142232	0.501411
-7.663465	19.267114	0.505203
-7.658776	19.376385	0.509328
-7.654608	17.528132	0.551660
-7.650440	17.682153	0.555826
-7.644708	17.819524	0.559743
-7.637935	17.948568	0.563534
-7.633767	18.068247	0.567659
-7.629599	18.184803	0.571409
-7.625431	18.307604	0.575784
-7.619179	18.395021	0.580367
-7.614490	16.897478	0.616450
-7.609280	17.019238	0.620324
-7.604591	17.104574	0.623991
-7.599902	17.241944	0.629074
-7.595213	17.356420	0.633324
-7.587919	17.462569	0.637741
-7.584272	17.564556	0.642324
-7.571247	16.452066	0.682323
-7.574894	16.369852	0.679073
-7.569163	16.482246	0.683114
-7.563953	16.582151	0.687823
-7.558743	16.682057	0.692239
-7.554575	16.766352	0.695864
-7.550407	16.888112	0.701489
-7.544675	16.977611	0.706322
-7.543112	14.869187	0.749170
-7.533734	15.062754	0.757086
-7.529566	15.155375	0.761253
-7.525398	15.250077	0.766170
-7.519667	15.343738	0.770836
-7.513936	15.379122	0.776836
-7.509247	15.447807	0.781752
-7.504558	15.501922	0.786502
-7.499869	15.337494	0.796585
-7.494659	15.422830	0.801252
-7.487886	15.489434	0.806252
-7.444121	6.301638	1.068244
-7.475382	6.039386	1.035829
-7.473298	6.070607	1.039162
-7.469130	6.126283	1.043495
-7.463920	6.155942	1.048495
-7.459752	6.192366	1.053828
-7.454542	6.244401	1.058328
-7.449853	6.297475	1.064161
-7.445163	6.334420	1.069244
-7.439953	6.375527	1.074828
-7.435264	6.426520	1.080327
-7.430575	6.469188	1.085494
-7.425365	6.503531	1.090994
-7.420155	6.538914	1.096410
-7.414945	6.505092	1.104493
-7.410777	6.468668	1.110493
