[N02-AB-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.779497,-0.878204
2,0.002000,113.050891,0.000427,0.007559,3.779507,0.086583
3,0.004000,321.760228,0.002071,0.015118,3.779493,1.867729
4,0.006000,672.507865,0.005828,0.022677,3.779435,4.861044
5,0.008000,1182.686246,0.012840,0.030236,3.779309,9.214956
6,0.010000,1878.384038,0.024408,0.037794,3.779088,15.152110
7,0.012000,2727.715092,0.041814,0.045352,3.778747,22.400384
8,0.014000,3695.894519,0.066086,0.052909,3.778262,30.662922
9,0.016000,4710.453799,0.097844,0.060465,3.777623,39.321270
10,0.018000,5696.025671,0.137151,0.068019,3.776826,47.732237
11,0.020000,6580.141615,0.183510,0.075572,3.775883,55.277369
12,0.022000,7278.738147,0.235832,0.083123,3.774816,61.239261
13,0.024000,7719.346749,0.292438,0.090671,3.773659,64.999458
14,0.026000,7864.283789,0.351236,0.098217,3.772457,66.236365
15,0.028000,7696.156823,0.409927,0.105761,3.771256,64.801553
16,0.030000,7261.345703,0.466328,0.113302,3.770103,61.090832
17,0.032000,6635.217690,0.518712,0.120841,3.769032,55.747394
18,0.034000,5904.735008,0.565970,0.128379,3.768068,49.513383
19,0.036000,5188.746031,0.607766,0.135914,3.767218,43.403063
20,0.038000,4533.630610,0.644389,0.143448,3.766475,37.812244
21,0.040000,3991.566081,0.676497,0.150980,3.765826,33.186212
22,0.042000,3574.147406,0.704986,0.158511,3.765253,29.623920
23,0.044000,3287.172066,0.730819,0.166041,3.764734,27.174845
24,0.046000,3092.956433,0.754837,0.173570,3.764253,25.517389
25,0.048000,2942.221911,0.777553,0.181098,3.763800,24.231006
26,0.050000,2774.094945,0.799067,0.188625,3.763371,22.796194
27,0.052000,2574.081830,0.819193,0.196151,3.762971,21.089263
28,0.054000,2298.701454,0.837529,0.203677,3.762609,18.739140
29,0.056000,1959.548780,0.853550,0.211202,3.762294,15.844777
30,0.058000,1634.889811,0.867073,0.218726,3.762032,13.074106
31,0.060000,1478.357807,0.878785,0.226250,3.761807,11.738246
32,0.062000,1603.003662,0.890376,0.233773,3.761585,12.801986
33,0.064000,2110.283302,0.904343,0.241296,3.761314,17.131161
34,0.066000,3008.892950,0.923597,0.248819,3.760932,24.799983
35,0.068000,4226.364085,0.950806,0.256340,3.760384,35.190001
36,0.070000,5658.342040,0.987972,0.263860,3.759628,47.410642
37,0.072000,7177.282219,1.036222,0.271378,3.758641,60.373426
38,0.074000,8678.829954,1.095809,0.278894,3.757418,73.187781
39,0.076000,10078.921760,1.166275,0.286408,3.755966,85.136302
40,0.078000,11328.279044,1.246661,0.293918,3.754307,95.798440
41,0.080000,12386.319436,1.335670,0.301425,3.752467,104.827860
42,0.082000,13250.144195,1.431843,0.308928,3.750476,112.199825
43,0.084000,13969.031913,1.533899,0.316427,3.748361,118.334883
44,0.086000,14545.881332,1.640751,0.323921,3.746144,123.257773
45,0.088000,15027.072305,1.751501,0.331411,3.743844,127.364304
46,0.090000,15424.199794,1.865469,0.338896,3.741476,130.753429
47,0.092000,15745.960023,1.982053,0.346377,3.739051,133.499362
48,0.094000,15945.973138,2.100512,0.353852,3.736585,135.206293
49,0.096000,15969.163065,2.219726,0.361323,3.734102,135.404198
50,0.098000,15803.934839,2.338331,0.368789,3.731629,133.994125
51,0.100000,15464.782165,2.454976,0.376250,3.729197,131.099762
52,0.102000,14986.489933,2.568499,0.383706,3.726828,127.017970
53,0.104000,14369.058143,2.677870,0.391157,3.724546,121.748746
54,0.106000,13713.942722,2.782436,0.398604,3.722363,116.157927
55,0.108000,13087.814710,2.882175,0.406047,3.720281,110.814489
56,0.110000,12510.965291,2.977385,0.413485,3.718293,105.891600
57,0.112000,12047.166763,3.068676,0.420920,3.716386,101.933498
58,0.114000,11774.685128,3.157185,0.428351,3.714538,99.608113
59,0.116000,11748.596460,3.244542,0.435778,3.712712,99.385470
60,0.118000,11913.824686,3.332372,0.443202,3.710876,100.795543
61,0.120000,12154.420172,3.421664,0.450622,3.709008,102.848809
62,0.122000,12290.660990,3.512307,0.458038,3.707111,104.011501
63,0.124000,12215.293729,3.603130,0.465450,3.705209,103.368310
64,0.126000,11881.938537,3.692393,0.472859,3.703338,100.523424
65,0.128000,11296.392896,3.778210,0.480263,3.701540,95.526320
66,0.130000,10574.606436,3.859149,0.487665,3.699845,89.366524
67,0.132000,9861.516200,3.934744,0.495063,3.698261,83.280942
68,0.134000,9304.957966,4.005612,0.502458,3.696778,78.531219
69,0.136000,8960.007811,4.073121,0.509850,3.695365,75.587381
70,0.138000,8907.830477,4.139137,0.517239,3.693983,75.142094
71,0.140000,9215.097001,4.206070,0.524626,3.692582,77.764337
72,0.142000,9847.022496,4.276444,0.532010,3.691106,83.157251
73,0.144000,10690.556068,4.352233,0.539390,3.689515,90.356049
74,0.146000,11592.064457,4.434425,0.546768,3.687787,98.049610
75,0.148000,12444.294252,4.523043,0.554141,3.685922,105.322623
