[N02-AB-1045HR-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.776671,-0.061845
2,0.002000,31.886149,0.000120,0.007553,3.776688,0.210274
3,0.004000,107.253410,0.000646,0.015107,3.776697,0.853466
4,0.006000,275.380376,0.002091,0.022660,3.776687,2.288278
5,0.008000,510.178381,0.005058,0.030213,3.776645,4.292067
6,0.010000,840.634832,0.010159,0.037767,3.776558,7.112215
7,0.012000,1263.850989,0.018107,0.045320,3.776413,10.723983
8,0.014000,1765.333147,0.029546,0.052872,3.776195,15.003681
9,0.016000,2324.790121,0.044990,0.060424,3.775894,19.778141
10,0.018000,2939.323171,0.064866,0.067976,3.775501,25.022627
11,0.020000,3588.641110,0.089510,0.075526,3.775008,30.563970
12,0.022000,4220.566604,0.118988,0.083076,3.774416,35.956884
13,0.024000,4823.504691,0.153120,0.090624,3.773726,41.102416
14,0.026000,5313.391886,0.191370,0.098170,3.772950,45.283162
15,0.028000,5690.228190,0.232882,0.105716,3.772107,48.499120
16,0.030000,5893.140046,0.276570,0.113259,3.771218,50.230789
17,0.032000,5927.924935,0.321144,0.120800,3.770311,50.527647
18,0.034000,5788.785377,0.365315,0.128340,3.769412,49.340216
19,0.036000,5510.506260,0.407902,0.135878,3.768545,46.965355
20,0.038000,5119.176252,0.447956,0.143414,3.767731,43.625706
21,0.040000,4693.061355,0.484922,0.150949,3.766981,39.989200
22,0.042000,4243.756531,0.518584,0.158482,3.766300,36.154789
23,0.044000,3840.831559,0.549031,0.166014,3.765685,32.716188
24,0.046000,3481.387700,0.576602,0.173545,3.765131,29.648658
25,0.048000,3156.728731,0.601594,0.181075,3.764630,26.877987
26,0.050000,2948.019393,0.624575,0.188604,3.764171,25.096841
27,0.052000,2814.677316,0.646265,0.196132,3.763738,23.958887
28,0.054000,2745.107537,0.667190,0.203659,3.763322,23.365171
29,0.056000,2719.018870,0.687752,0.211185,3.762913,23.142528
30,0.058000,2736.411315,0.708279,0.218710,3.762505,23.290957
31,0.060000,2765.398723,0.728979,0.226235,3.762093,23.538338
32,0.062000,2805.981094,0.749937,0.233759,3.761676,23.884672
33,0.064000,2858.158428,0.771243,0.241282,3.761251,24.329959
34,0.066000,3005.994209,0.793298,0.248804,3.760811,25.591604
35,0.068000,3269.779622,0.816899,0.256325,3.760338,27.842774
36,0.070000,3684.299556,0.843046,0.263845,3.759812,31.380328
37,0.072000,4249.554012,0.872874,0.271364,3.759210,36.204265
38,0.074000,4939.454322,0.907413,0.278882,3.758509,42.091942
39,0.076000,5655.443300,0.947230,0.286398,3.757697,48.202262
40,0.078000,6383.027241,0.992461,0.293912,3.756773,54.411535
41,0.080000,7041.041402,1.042885,0.301425,3.755740,60.027092
42,0.082000,7591.802154,1.097833,0.308935,3.754612,64.727338
43,0.084000,8026.613274,1.156465,0.316443,3.753407,68.438059
44,0.086000,8333.879799,1.217862,0.323949,3.752143,71.060301
45,0.088000,8507.804247,1.281043,0.331452,3.750842,72.544590
46,0.090000,8609.260175,1.345235,0.338952,3.749519,73.410425
47,0.092000,8678.829954,1.410046,0.346450,3.748183,74.004140
48,0.094000,8820.868253,1.475626,0.353945,3.746830,75.216309
49,0.096000,9064.362480,1.542626,0.361437,3.745447,77.294312
50,0.098000,9415.110117,1.611827,0.368927,3.744017,80.287627
51,0.100000,9855.718719,1.683962,0.376413,3.742526,84.047824
52,0.102000,10374.593322,1.759658,0.383897,3.740959,88.475951
53,0.104000,10867.379258,1.839106,0.391377,3.739312,92.681434
54,0.106000,11258.709266,1.921823,0.398854,3.737597,96.021083
55,0.108000,11510.899715,2.006906,0.406327,3.735831,98.173301
56,0.110000,11586.266976,2.093173,0.413797,3.734039,98.816492
57,0.112000,11487.709789,2.179311,0.421263,3.732249,97.975396
58,0.114000,11258.709266,2.264187,0.428726,3.730485,96.021083
59,0.116000,10957.240222,2.347044,0.436185,3.728762,93.448316
60,0.118000,10649.973698,2.427594,0.443641,3.727087,90.826074
61,0.120000,10360.099618,2.505884,0.451094,3.725459,88.352260
62,0.122000,10099.212946,2.582088,0.458543,3.723874,86.125828
63,0.124000,9870.212423,2.656436,0.465989,3.722328,84.171515
64,0.126000,9667.300567,2.729147,0.473432,3.720815,82.439845
65,0.128000,9435.401303,2.800211,0.480873,3.719336,80.460794
66,0.130000,9177.413371,2.869425,0.488310,3.717896,78.259100
67,0.132000,8832.463216,2.936371,0.495744,3.716503,75.315261
68,0.134000,8400.550837,3.000407,0.503176,3.715172,71.629279
69,0.136000,7887.473716,3.060909,0.510605,3.713914,67.250628
70,0.138000,7359.902890,3.117528,0.518032,3.712738,62.748287
71,0.140000,6826.534583,3.170191,0.525456,3.711645,58.196470
72,0.142000,6388.824722,3.219235,0.532878,3.710628,54.461011
73,0.144000,6113.444346,3.265621,0.540299,3.709667,52.110888
74,0.146000,6052.570790,3.310747,0.547717,3.708732,51.591387
75,0.148000,6197.507830,3.356174,0.555134,3.707791,52.828294
76,0.150000,6533.761762,3.403372,0.562548,3.706813,55.697918
77,0.152000,6988.864068,3.453491,0.569961,3.705772,59.581805
78,0.154000,7475.852522,3.507085,0.577371,3.704657,63.737813
79,0.156000,7884.574975,3.563981,0.584779,3.703472,67.225890
80,0.158000,8226.626389,3.623638,0.592185,3.702228,70.144990
81,0.160000,8458.525653,3.685399,0.599588,3.700939,72.124041
82,0.162000,8684.627436,3.748834,0.606989,3.699614,74.053616
83,0.164000,8913.627959,3.813928,0.614387,3.698254,76.007929
84,0.166000,9177.413371,3.880821,0.621782,3.696854,78.259100
85,0.168000,9502.072341,3.949862,0.629174,3.695409,81.029771
86,0.170000,9867.313682,4.021425,0.636563,3.693910,84.146776
87,0.172000,10305.023543,4.095924,0.643950,3.692347,87.882235
88,0.174000,10797.809478,4.173825,0.651333,3.690712,92.087719
89,0.176000,11276.101710,4.255275,0.658712,3.689000,96.169512
90,0.178000,11684.824163,4.339957,0.666089,3.687219,99.657589
91,0.180000,11957.305798,4.427108,0.673461,3.685385,101.982974
92,0.182000,12041.369281,4.515530,0.680830,3.683522,102.700380
93,0.184000,11881.938537,4.603630,0.688195,3.681666,101.339782
94,0.186000,11490.608530,4.689659,0.695557,3.679852,98.000134
95,0.188000,10913.759110,4.772085,0.702915,3.678115,93.077244
96,0.190000,10273.137394,4.849996,0.710269,3.676473,87.610116
97,0.192000,9638.313159,4.923185,0.717621,3.674931,82.192464
98,0.194000,9067.261221,4.991914,0.724969,3.673484,77.319050
99,0.196000,8638.247583,5.056943,0.732315,3.672115,73.657806
100,0.198000,8377.360911,5.119415,0.739658,3.670800,71.431374
101,0.200000,8261.411279,5.180482,0.746998,3.669514,70.441848
102,0.202000,8220.828908,5.240953,0.754336,3.668241,70.095514
103,0.204000,8197.638981,5.301170,0.761671,3.666973,69.897609
104,0.206000,8133.866684,5.361047,0.769004,3.665712,69.353370
105,0.208000,7991.828384,5.420149,0.776334,3.664467,68.141201
106,0.210000,7704.853045,5.477660,0.783661,3.663256,65.692126
107,0.212000,7264.244444,5.532487,0.790987,3.662101,61.931929
108,0.214000,6751.167322,5.583805,0.798310,3.661022,57.553278
109,0.216000,6232.292719,5.631332,0.805631,3.660023,53.125151
110,0.218000,5771.392932,5.675260,0.812950,3.659101,49.191787
111,0.220000,5417.746554,5.716198,0.820267,3.658244,46.173735
112,0.222000,5232.227143,5.755154,0.827583,3.657428,44.590494
113,0.224000,5238.024625,5.793444,0.834897,3.656626,44.639970
114,0.226000,5388.759146,5.832298,0.842210,3.655813,45.926353
115,0.228000,5638.050855,5.872605,0.849520,3.654968,48.053833
116,0.230000,5983.001010,5.915074,0.856829,3.654076,50.997672
117,0.232000,6354.039833,5.960149,0.864137,3.653128,54.164153
118,0.234000,6742.471100,6.007985,0.871442,3.652120,57.479064
119,0.236000,7110.611181,6.058571,0.878745,3.651054,60.620807
120,0.238000,7420.776447,6.111617,0.886046,3.649933,63.267788
121,0.240000,7716.448008,6.166858,0.893345,3.648766,65.791078
122,0.242000,8003.423348,6.224206,0.900641,3.647553,68.240154
123,0.244000,8310.689872,6.283703,0.907935,3.646293,70.862396
124,0.246000,8649.842546,6.345534,0.915226,3.644982,73.756759
125,0.248000,8991.893960,6.409826,0.922515,3.643618,76.675859
126,0.250000,9383.223968,6.476764,0.929801,3.642197,80.015507
127,0.252000,9812.237607,6.546663,0.937084,3.640711,83.676752
128,0.254000,10241.251245,6.619657,0.944363,3.639158,87.337996
129,0.256000,10618.087549,6.695550,0.951640,3.637542,90.553954
130,0.258000,10873.176739,6.773707,0.958914,3.635876,92.730910
131,0.260000,10954.341482,6.853051,0.966184,3.634184,93.423578
132,0.262000,10870.277998,6.932347,0.973450,3.632492,92.706172
133,0.264000,10647.074957,7.010491,0.980714,3.630824,90.801336
134,0.266000,10331.112210,7.086642,0.987974,3.629198,88.104879
135,0.268000,10000.655759,7.160414,0.995230,3.627623,85.284731
136,0.270000,9719.477901,7.231937,1.002484,3.626096,82.885131
137,0.272000,9490.477378,7.301580,1.009735,3.624610,80.930819
138,0.274000,9328.147893,7.369776,1.016983,3.623153,79.545483
139,0.276000,9226.691965,7.436990,1.024227,3.621718,78.679648
140,0.278000,9151.324704,7.503537,1.031470,3.620296,78.036456
141,0.280000,9087.552407,7.569554,1.038709,3.618885,77.492217
142,0.282000,9000.590183,7.635001,1.045945,3.617486,76.750073
143,0.284000,8864.349365,7.699615,1.053179,3.616105,75.587381
144,0.286000,8670.133732,7.763009,1.060409,3.614749,73.929925
145,0.288000,8441.133208,7.824851,1.067638,3.613427,71.975613
146,0.290000,8174.449055,7.884880,1.074863,3.612144,69.699704
147,0.292000,7901.967420,7.942940,1.082086,3.610902,67.374319
148,0.294000,7701.954304,7.999275,1.089307,3.609698,65.667387
149,0.296000,7606.295858,8.054525,1.096525,3.608517,64.851029
150,0.298000,7629.485785,8.109494,1.103741,3.607342,65.048934
151,0.300000,7754.131639,8.164979,1.110954,3.606155,66.112674
152,0.302000,7951.246013,8.221605,1.118166,3.604943,67.794867
153,0.304000,8229.525130,8.279926,1.125374,3.603694,70.169729
154,0.306000,8577.374026,8.340482,1.132580,3.602395,73.138305
155,0.308000,8968.704034,8.403677,1.139784,3.601039,76.477954
156,0.310000,9357.135301,8.469656,1.146984,3.599621,79.792864
157,0.312000,9719.477901,8.538310,1.154182,3.598145,82.885131
158,0.314000,10018.048203,8.609314,1.161377,3.596616,85.433160
159,0.316000,10252.846208,8.682204,1.168569,3.595046,87.436949
160,0.318000,10449.960582,8.756615,1.175757,3.593442,89.119142
161,0.320000,10684.758587,8.832544,1.182942,3.591804,91.122931
162,0.322000,10983.328890,8.910353,1.190124,3.590125,93.670960
