[N02-AB-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,-0.006000,-34.784890,0.000000,0.000000,3.780911,-1.224538
2,-0.004000,-26.088667,-0.000230,0.007562,3.780935,-1.150323
3,-0.002000,-17.392445,-0.000395,0.015124,3.780958,-1.076109
4,0.000000,0.000000,-0.000460,0.022686,3.780979,-0.927680
5,0.002000,98.557187,-0.000088,0.030248,3.780991,-0.086583
6,0.004000,310.165266,0.001458,0.037810,3.780979,1.719301
7,0.006000,678.305347,0.005195,0.045372,3.780921,4.861044
8,0.008000,1260.952248,0.012527,0.052933,3.780788,9.833410
9,0.010000,2032.017301,0.024977,0.060495,3.780550,16.413755
10,0.012000,2948.019393,0.043803,0.068055,3.780179,24.231006
11,0.014000,3953.882451,0.069891,0.075615,3.779657,32.815140
12,0.016000,4997.429138,0.103721,0.083174,3.778975,41.720870
13,0.018000,5965.608566,0.145145,0.090731,3.778135,49.983408
14,0.020000,6794.648434,0.193348,0.098286,3.777153,57.058515
15,0.022000,7397.586521,0.246946,0.105839,3.776060,62.204048
16,0.024000,7678.764378,0.303866,0.113390,3.774897,64.603647
17,0.026000,7603.397117,0.361546,0.120939,3.773718,63.960456
18,0.028000,7168.585997,0.417283,0.128485,3.772580,60.249735
19,0.030000,6469.989465,0.468729,0.136029,3.771530,54.287844
20,0.032000,5626.455892,0.514346,0.143571,3.770600,47.089046
21,0.034000,4771.327356,0.553548,0.151112,3.769805,39.791295
22,0.036000,4006.059785,0.586634,0.158651,3.769136,33.260427
23,0.038000,3414.716662,0.614602,0.166189,3.768574,28.213846
24,0.040000,3020.487913,0.638852,0.173725,3.768088,24.849460
25,0.042000,2779.892427,0.660707,0.181261,3.767653,22.796194
26,0.044000,2672.639017,0.681250,0.188796,3.767245,21.880883
27,0.046000,2655.246572,0.701320,0.196330,3.766847,21.732454
28,0.048000,2637.854128,0.721257,0.203863,3.766451,21.584025
29,0.050000,2559.588126,0.740832,0.211396,3.766063,20.916096
30,0.052000,2368.271233,0.759390,0.218928,3.765697,19.283379
31,0.054000,2066.802190,0.776090,0.226459,3.765368,16.710612
32,0.056000,1727.649517,0.790377,0.233989,3.765090,13.816250
33,0.058000,1446.471659,0.802328,0.241519,3.764861,11.416651
34,0.060000,1347.914472,0.812848,0.249049,3.764662,10.575554
35,0.062000,1495.750253,0.823553,0.256578,3.764458,11.837199
36,0.064000,1942.156336,0.836495,0.264106,3.764208,15.646872
37,0.066000,2669.740276,0.853854,0.271634,3.763866,21.856145
38,0.068000,3661.109630,0.877681,0.279162,3.763389,30.316588
39,0.070000,4910.466915,0.909936,0.286688,3.762737,40.978726
40,0.072000,6351.141092,0.952305,0.294212,3.761873,53.273580
41,0.074000,7899.068679,1.005903,0.301735,3.760775,66.483746
42,0.076000,9415.110117,1.071006,0.309255,3.759437,79.421792
43,0.078000,10768.822070,1.146869,0.316773,3.757873,90.974503
44,0.080000,11887.736019,1.231989,0.324287,3.756116,100.523424
45,0.082000,12716.775888,1.324382,0.331797,3.754206,107.598531
46,0.084000,13241.447973,1.421807,0.339303,3.752190,112.076134
47,0.086000,13511.030867,1.522160,0.346806,3.750112,114.376781
48,0.088000,13580.600646,1.623728,0.354304,3.748007,114.970496
49,0.090000,13464.651014,1.725065,0.361798,3.745905,113.980971
50,0.092000,13253.042936,1.825120,0.369287,3.743829,112.175087
51,0.094000,13055.928561,1.923589,0.376773,3.741786,110.492893
52,0.096000,12896.497817,2.020672,0.384254,3.739770,109.132296
53,0.098000,12751.560777,2.116564,0.391732,3.737778,107.895389
54,0.100000,12551.547662,2.211117,0.399206,3.735813,106.188457
55,0.102000,12299.357213,2.303932,0.406675,3.733884,104.036239
56,0.104000,12032.673059,2.394762,0.414141,3.731995,101.760331
57,0.106000,11815.267499,2.483740,0.421603,3.730145,99.904970
58,0.108000,11635.545570,2.571194,0.429062,3.728325,98.371206
59,0.110000,11510.899715,2.657471,0.436517,3.726530,97.307466
60,0.112000,11418.140010,2.742896,0.443968,3.724751,96.515846
61,0.114000,11316.684082,2.827558,0.451416,3.722988,95.650011
62,0.116000,11131.164670,2.911112,0.458860,3.721247,94.066770
63,0.118000,10841.290590,2.992858,0.466301,3.719543,91.592956
64,0.120000,10510.834139,3.072261,0.473738,3.717888,88.772808
65,0.122000,10183.276429,3.149183,0.481172,3.716285,85.977399
66,0.124000,9829.630051,3.223541,0.488603,3.714735,82.959346
67,0.126000,9389.021450,3.294920,0.496031,3.713247,79.199149
68,0.128000,8861.450624,3.362676,0.503456,3.711836,74.696808
69,0.130000,8301.993650,3.426372,0.510879,3.710509,69.922347
70,0.132000,7791.815269,3.486079,0.518299,3.709267,65.568435
71,0.134000,7400.485261,3.542423,0.525716,3.708095,62.228786
72,0.136000,7214.965850,3.596610,0.533131,3.706968,60.645545
73,0.138000,7304.826815,3.650426,0.540544,3.705849,61.412428
74,0.140000,7646.878229,3.705826,0.547954,3.704696,64.331528
75,0.142000,8159.955351,3.764376,0.555362,3.703476,68.710178
76,0.144000,8731.007288,3.826920,0.562768,3.702171,73.583592
77,0.146000,9394.818931,3.894011,0.570171,3.700769,79.248625
78,0.148000,10194.871392,3.966493,0.577571,3.699252,86.076351
79,0.150000,11070.291114,4.045140,0.584968,3.697604,93.547269
80,0.152000,11847.153648,4.129858,0.592361,3.695827,100.177090
81,0.154000,12441.395512,4.219601,0.599751,3.693941,105.248408
82,0.156000,12800.839371,4.312819,0.607137,3.691981,108.315937
83,0.158000,12954.472633,4.407882,0.614519,3.689981,109.627059
84,0.160000,12960.270115,4.503480,0.621897,3.687968,109.676535
85,0.162000,12922.586485,4.598910,0.629271,3.685958,109.354939
86,0.164000,12974.763819,4.694340,0.636641,3.683947,109.800226
87,0.166000,13186.371897,4.790690,0.644007,3.681915,111.606110
88,0.168000,13470.448496,4.888810,0.651368,3.679844,114.030447
89,0.170000,13789.309984,4.989092,0.658726,3.677725,116.751642
90,0.172000,14090.779027,5.091597,0.666079,3.675559,119.324409
91,0.174000,14369.058144,5.196171,0.673428,3.673346,121.699270
92,0.176000,14603.856148,5.302566,0.680773,3.671094,123.703059
93,0.178000,14690.818372,5.410076,0.688113,3.668816,124.445203
94,0.180000,14519.792665,5.517211,0.695448,3.666545,122.985653
95,0.182000,14096.576508,5.622103,0.702779,3.664320,119.373885
96,0.184000,13415.372420,5.722887,0.710105,3.662182,113.560423
97,0.186000,12525.458995,5.817862,0.717428,3.660167,105.965814
98,0.188000,11479.013566,5.905701,0.724746,3.658304,97.035346
99,0.190000,10423.871915,5.985810,0.732061,3.656606,88.030664
100,0.192000,9507.869823,6.058678,0.739373,3.655063,80.213413
101,0.194000,8742.602252,6.125372,0.746681,3.653651,73.682544
102,0.196000,7974.435940,6.186440,0.753987,3.652359,67.126938
103,0.198000,7046.838884,6.241295,0.761291,3.651201,59.210733
104,0.200000,5867.051378,6.288441,0.768592,3.650208,49.142311
105,0.202000,4362.604903,6.325778,0.775892,3.649425,36.303218
106,0.204000,2490.018347,6.350784,0.783190,3.648907,20.322380
107,0.206000,379.735045,6.361256,0.790488,3.648702,2.313016
108,0.208000,-1733.446998,6.356316,0.797785,3.648828,-15.721087
109,0.210000,-3626.324740,6.336758,0.805084,3.649268,-31.875091
110,0.212000,-5159.758623,6.304691,0.812383,3.649976,-44.961566
111,0.214000,-6426.508353,6.262396,0.819684,3.650905,-55.772132
112,0.216000,-7478.751263,6.211621,0.826987,3.652015,-64.752076
113,0.218000,-8229.525130,6.154244,0.834292,3.653266,-71.159254
114,0.220000,-8568.677804,6.092864,0.841600,3.654603,-74.053616
115,0.222000,-8444.031949,6.030678,0.848910,3.655957,-72.989876
116,0.224000,-7783.119047,5.971342,0.856224,3.657249,-67.349581
117,0.226000,-6670.002580,5.918476,0.863539,3.658402,-57.850136
118,0.228000,-5298.898182,5.874683,0.870857,3.659361,-46.148996
119,0.230000,-3878.515190,5.841097,0.878176,3.660100,-34.027309
120,0.232000,-2678.436499,5.817097,0.885497,3.660634,-23.785720
121,0.234000,-1779.826851,5.800776,0.892819,3.661003,-16.116897
122,0.236000,-1058.040392,5.790386,0.900141,3.661245,-9.957101
123,0.238000,-333.355192,5.785292,0.907464,3.661374,-3.772566
124,0.240000,504.380899,5.785918,0.914786,3.661380,3.376756
125,0.242000,1391.395584,5.792859,0.922109,3.661251,10.946626
126,0.244000,2339.283825,5.806517,0.929431,3.660978,19.035997
127,0.246000,3336.450660,5.827295,0.936753,3.660553,27.545917
128,0.248000,4293.035124,5.855220,0.944073,3.659974,35.709502
129,0.250000,5101.783807,5.889601,0.951393,3.659257,42.611443
130,0.252000,5809.076562,5.929522,0.958710,3.658421,48.647548
131,0.254000,6417.812130,5.974247,0.966026,3.657481,53.842557
132,0.256000,6832.332065,6.022703,0.973340,3.656462,57.380111
133,0.258000,6983.066586,6.073211,0.980652,3.655398,58.666494
134,0.260000,6849.724509,6.123768,0.987962,3.654333,57.528540
135,0.262000,6487.381909,6.172499,0.995269,3.653307,54.436273
136,0.264000,6006.190937,6.218136,1.002575,3.652346,50.329742
137,0.266000,5397.455369,6.259782,1.009879,3.651472,45.134733
138,0.268000,4707.555059,6.296676,1.017181,3.650699,39.247056
