[N02-AB-2024-T4-NU-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.807987,1.418380
2,0.002000,80.742347,0.000307,0.007616,3.808000,2.133959
3,0.004000,279.714560,0.001680,0.015232,3.807991,3.897349
4,0.006000,619.985881,0.005106,0.022848,3.807941,6.913003
5,0.008000,1110.207275,0.011694,0.030464,3.807825,11.257590
6,0.010000,1689.821983,0.022356,0.038079,3.807625,16.394424
7,0.012000,2252.134758,0.037365,0.045694,3.807336,21.377920
8,0.014000,2693.334013,0.056193,0.053308,3.806969,25.288048
9,0.016000,2941.328366,0.077643,0.060922,3.806548,27.485897
10,0.018000,3027.838024,0.100363,0.068535,3.806100,28.252589
11,0.020000,2984.583195,0.123246,0.076146,3.805649,27.869243
12,0.022000,2797.145603,0.145248,0.083757,3.805216,26.208078
13,0.024000,2468.408903,0.165284,0.091367,3.804824,23.294649
14,0.026000,2021.442338,0.182366,0.098977,3.804492,19.333409
15,0.028000,1502.384391,0.195772,0.106585,3.804236,14.733259
16,0.030000,983.326444,0.205228,0.114194,3.804061,10.133109
17,0.032000,579.614707,0.211173,0.121802,3.803958,6.555214
18,0.034000,415.246357,0.214958,0.129409,3.803900,5.098500
19,0.036000,527.708913,0.218545,0.137017,3.803846,6.095199
20,0.038000,862.212923,0.223832,0.144625,3.803757,9.059740
21,0.040000,1251.506383,0.231872,0.152232,3.803611,12.509853
22,0.042000,1554.290185,0.242543,0.159839,3.803411,15.193274
23,0.044000,1672.520051,0.254816,0.167446,3.803178,16.241086
24,0.046000,1606.195980,0.267285,0.175052,3.802941,15.653289
25,0.048000,1407.223767,0.278745,0.182658,3.802725,13.889898
26,0.050000,1185.182312,0.288603,0.190263,3.802542,11.922056
27,0.052000,1055.417825,0.297122,0.197868,3.802386,10.772018
28,0.054000,1066.952446,0.305192,0.205472,3.802239,10.874244
29,0.056000,1225.553486,0.313909,0.213077,3.802080,12.279845
30,0.058000,1502.384391,0.324280,0.220681,3.801886,14.733259
31,0.060000,1885.910540,0.337162,0.228284,3.801640,18.132259
32,0.062000,2329.993450,0.353188,0.235887,3.801330,22.067943
33,0.064000,2831.749466,0.372809,0.243489,3.800945,26.514755
34,0.066000,3321.970860,0.396197,0.251091,3.800483,30.859341
35,0.068000,3789.123012,0.423221,0.258691,3.799947,34.999476
36,0.070000,4198.602059,0.453571,0.266291,3.799341,38.628483
37,0.072000,4518.687793,0.486688,0.273889,3.798678,41.465243
38,0.074000,4726.310972,0.521804,0.281485,3.797975,43.305303
39,0.076000,4830.122561,0.558095,0.289080,3.797246,44.225333
40,0.078000,4821.471596,0.594741,0.296674,3.796511,44.148664
41,0.080000,4755.147525,0.631095,0.304267,3.795781,43.560867
42,0.082000,4746.496559,0.667158,0.311857,3.795057,43.484198
43,0.084000,4861.842769,0.703619,0.319447,3.794324,44.506453
44,0.086000,5089.651535,0.741374,0.327035,3.793565,46.525408
45,0.088000,5398.202648,0.781156,0.334621,3.792764,49.259942
46,0.090000,5675.033553,0.823149,0.342206,3.791917,51.713355
47,0.092000,5862.471145,0.866894,0.349789,3.791034,53.374520
48,0.094000,5897.075008,0.911469,0.357370,3.790133,53.681197
49,0.096000,5773.077832,0.955695,0.364949,3.789239,52.582272
50,0.098000,5548.152721,0.998589,0.372527,3.788373,50.588874
51,0.100000,5300.158369,1.039682,0.380103,3.787544,48.391024
52,0.102000,5083.884224,1.079008,0.387677,3.786751,46.474295
53,0.104000,4931.050495,1.116929,0.395250,3.785987,45.119806
54,0.106000,4928.166840,1.154252,0.402821,3.785235,45.094250
55,0.108000,5078.116914,1.192124,0.410391,3.784471,46.423182
56,0.110000,5297.274714,1.231385,0.417959,3.783679,48.365468
57,0.112000,5496.246927,1.272220,0.425525,3.782854,50.128859
58,0.114000,5637.546034,1.314333,0.433090,3.782002,51.381122
59,0.116000,5706.753761,1.357232,0.440653,3.781134,51.994475
60,0.118000,5741.357624,1.400514,0.448215,3.780257,52.301152
61,0.120000,5686.568174,1.443709,0.455774,3.779383,51.815581
62,0.122000,5530.850790,1.486099,0.463332,3.778524,50.435536
63,0.124000,5337.645887,1.527162,0.470888,3.777693,48.723257
64,0.126000,5173.277537,1.566865,0.478443,3.776891,47.266543
65,0.128000,5095.418845,1.605645,0.485996,3.776107,46.576521
66,0.130000,5161.742916,1.644373,0.493547,3.775323,47.164318
67,0.132000,5349.180508,1.684050,0.501097,3.774520,48.825483
