[N02-AB-HDPE-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,3.720000,-16.472352,0.000000,0.000000,4.112000,26.546411
2,3.740000,0.000000,-0.000677,0.082242,4.112223,27.118070
3,3.760000,-6.177132,-0.000931,0.164489,4.112429,26.903698
4,3.780000,-6.177132,-0.001439,0.246739,4.112645,26.903698
5,3.800000,-8.236176,-0.002032,0.328995,4.112864,26.832241
6,3.820000,-8.236176,-0.002710,0.411254,4.113087,26.832241
7,3.840000,-4.118088,-0.003218,0.493518,4.113303,26.975156
8,3.860000,-2.059044,-0.003472,0.575786,4.113509,27.046613
9,3.880000,6.177132,-0.003303,0.658058,4.113699,27.332442
10,3.900000,0.000000,-0.003048,0.740334,4.113885,27.118070
11,3.920000,-8.236176,-0.003387,0.822614,4.114094,26.832241
12,3.940000,-12.354264,-0.004234,0.904898,4.114324,26.689326
13,3.960000,-10.295220,-0.005166,0.987187,4.114556,26.760783
14,3.980000,-14.413308,-0.006183,1.069480,4.114792,26.617869
15,4.000000,-12.354264,-0.007284,1.151779,4.115032,26.689326
16,4.020000,-8.236176,-0.008132,1.234081,4.115261,26.832241
17,4.040000,-8.236176,-0.008810,1.316389,4.115484,26.832241
18,4.060000,-14.413308,-0.009742,1.398701,4.115716,26.617869
19,4.080000,-2.059044,-0.010420,1.481017,4.115939,27.046613
20,4.100000,-2.059044,-0.010589,1.563338,4.116142,27.046613
21,4.120000,-8.236176,-0.011013,1.645663,4.116354,26.832241
22,4.140000,-8.236176,-0.011691,1.727993,4.116577,26.832241
23,4.160000,-6.177132,-0.012285,1.810326,4.116797,26.903698
24,4.180000,0.000000,-0.012539,1.892664,4.117003,27.118070
25,4.200000,-6.177132,-0.012793,1.975006,4.117209,26.903698
26,4.220000,-16.472352,-0.013726,2.057353,4.117441,26.546411
27,4.240000,-8.236176,-0.014743,2.139704,4.117677,26.832241
28,4.260000,-4.118088,-0.015252,2.222060,4.117893,26.975156
29,4.280000,-6.177132,-0.015676,2.304420,4.118106,26.903698
30,4.300000,-4.118088,-0.016100,2.386784,4.118319,26.975156
31,4.320000,-10.295220,-0.016693,2.469153,4.118538,26.760783
32,4.340000,-6.177132,-0.017372,2.551526,4.118761,26.903698
33,4.360000,0.000000,-0.017626,2.633903,4.118967,27.118070
34,4.380000,-4.118088,-0.017796,2.716284,4.119170,26.975156
35,4.400000,-6.177132,-0.018220,2.798670,4.119383,26.903698
36,4.420000,-8.236176,-0.018814,2.881060,4.119602,26.832241
37,4.440000,20.590440,-0.018305,2.963453,4.119778,27.832644
38,4.460000,166.782563,-0.010586,3.045848,4.119672,32.906117
39,4.480000,160.605431,0.002901,3.128238,4.119340,32.691745
40,4.500000,170.900651,0.016557,3.210621,4.119002,33.049032
41,4.520000,140.014992,0.029363,3.292998,4.118697,31.977171
42,4.540000,150.310211,0.041320,3.375370,4.118425,32.334458
43,4.560000,148.251167,0.053616,3.457735,4.118140,32.263001
44,4.580000,201.786311,0.068030,3.540094,4.117771,34.120892
45,4.600000,201.786311,0.084647,3.622445,4.117317,34.120892
46,4.620000,131.778816,0.098381,3.704788,4.116975,31.691342
