[N02-AB-HDPE-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,3.900000,-4.118088,0.000000,0.000000,4.088669,27.260985
2,3.920000,24.708528,0.000842,0.081775,4.088832,28.261388
3,3.940000,6.177132,0.002105,0.163553,4.088978,27.618272
4,3.960000,6.177132,0.002610,0.245334,4.089154,27.618272
5,3.980000,4.118088,0.003031,0.327119,4.089334,27.546814
6,4.000000,6.177132,0.003452,0.408908,4.089513,27.618272
7,4.020000,4.118088,0.003873,0.490700,4.089693,27.546814
8,4.040000,10.295220,0.004462,0.572495,4.089866,27.761187
9,4.060000,10.295220,0.005305,0.654294,4.090029,27.761187
10,4.080000,10.295220,0.006147,0.736097,4.090192,27.761187
11,4.100000,4.118088,0.006736,0.817902,4.090364,27.546814
12,4.120000,4.118088,0.007073,0.899711,4.090547,27.546814
13,4.140000,12.354264,0.007747,0.981524,4.090717,27.832644
14,4.160000,-6.177132,0.008000,1.063340,4.090903,27.189528
15,4.180000,6.177132,0.008000,1.145160,4.091099,27.618272
16,4.200000,-2.059044,0.008168,1.226984,4.091289,27.332442
17,4.220000,8.236176,0.008421,1.308812,4.091475,27.689729
18,4.240000,8.236176,0.009095,1.390643,4.091644,27.689729
19,4.260000,4.118088,0.009600,1.472477,4.091821,27.546814
20,4.280000,10.295220,0.010190,1.554316,4.091994,27.761187
21,4.300000,6.177132,0.010864,1.636157,4.092163,27.618272
22,4.320000,6.177132,0.011370,1.718002,4.092339,27.618272
23,4.340000,8.236176,0.011960,1.799851,4.092512,27.689729
24,4.360000,12.354264,0.012802,1.881703,4.092675,27.832644
25,4.380000,2.059044,0.013392,1.963558,4.092848,27.475357
26,4.400000,10.295220,0.013898,2.045417,4.093024,27.761187
27,4.420000,14.413308,0.014909,2.127279,4.093181,27.904101
28,4.440000,10.295220,0.015921,2.209144,4.093337,27.761187
29,4.460000,22.649484,0.017269,2.291012,4.093480,28.189931
30,4.480000,74.125584,0.021231,2.372882,4.093520,29.976365
31,4.500000,82.361760,0.027637,2.454752,4.093464,30.262194
32,4.520000,88.538892,0.034632,2.536620,4.093384,30.476566
33,4.540000,76.184628,0.041375,2.618487,4.093315,30.047822
34,4.560000,84.420804,0.047949,2.700353,4.093252,30.333652
35,4.580000,92.656980,0.055197,2.782217,4.093163,30.619481
36,4.600000,76.184628,0.062108,2.864080,4.093087,30.047822
37,4.620000,88.538892,0.068850,2.945941,4.093017,30.476566
38,4.640000,65.889408,0.075171,3.027800,4.092964,29.690535
39,4.660000,82.361760,0.081239,3.109659,4.092921,30.262194
