[N02-AB-HDPE-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,3.720000,10.295220,0.000000,0.000000,4.096971,26.975156
2,3.740000,12.354264,0.000928,0.081941,4.097130,27.046613
3,3.760000,14.413308,0.002025,0.163885,4.097283,27.118070
4,3.780000,2.059044,0.002700,0.245833,4.097453,26.689326
5,3.800000,4.118088,0.002953,0.327783,4.097639,26.760783
6,3.820000,10.295220,0.003543,0.409738,4.097812,26.975156
7,3.840000,10.295220,0.004387,0.491696,4.097975,26.975156
8,3.860000,14.413308,0.005400,0.573657,4.098131,27.118070
9,3.880000,6.177132,0.006244,0.655621,4.098294,26.832241
10,3.900000,14.413308,0.007087,0.737589,4.098457,27.118070
11,3.920000,8.236176,0.008016,0.819559,4.098617,26.903698
12,3.940000,14.413308,0.008944,0.901533,4.098776,27.118070
13,3.960000,18.531396,0.010294,0.983510,4.098919,27.260985
14,3.980000,0.000000,0.011054,1.065490,4.099085,26.617869
15,4.000000,12.354264,0.011560,1.147474,4.099262,27.046613
16,4.020000,8.236176,0.012404,1.229461,4.099425,26.903698
17,4.040000,0.000000,0.012742,1.311451,4.099607,26.617869
18,4.060000,18.531396,0.013502,1.393445,4.099774,27.260985
19,4.080000,10.295220,0.014684,1.475442,4.099923,26.975156
20,4.100000,10.295220,0.015528,1.557442,4.100086,26.975156
21,4.120000,4.118088,0.016119,1.639445,4.100259,26.760783
22,4.140000,4.118088,0.016457,1.721452,4.100442,26.760783
23,4.160000,16.472352,0.017301,1.803463,4.100605,27.189528
24,4.180000,10.295220,0.018399,1.885476,4.100758,26.975156
25,4.200000,12.354264,0.019327,1.967493,4.100918,27.046613
26,4.220000,12.354264,0.020341,2.049513,4.101074,27.046613
27,4.240000,8.236176,0.021185,2.131536,4.101237,26.903698
28,4.260000,6.177132,0.021776,2.213563,4.101410,26.832241
29,4.280000,6.177132,0.022283,2.295593,4.101586,26.832241
