[N02-B-2024-T4-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,-0.040000,406.595392,0.000000,0.000000,3.806552,1.316154
2,-0.038000,400.828081,0.003073,0.007613,3.806508,1.265041
3,-0.036000,395.060771,0.006103,0.015226,3.806466,1.213929
4,-0.034000,426.780979,0.009231,0.022839,3.806421,1.495049
5,-0.032000,568.080087,0.013018,0.030452,3.806363,2.747312
6,-0.030000,888.165820,0.018561,0.038064,3.806268,5.584071
7,-0.028000,1470.664183,0.027539,0.045677,3.806103,10.746462
8,-0.026000,2298.273243,0.041883,0.053289,3.805828,18.081146
9,-0.024000,3244.112168,0.062976,0.060900,3.805414,26.463642
10,-0.022000,4065.953918,0.090791,0.068510,3.804861,33.747213
11,-0.020000,4521.571449,0.123462,0.076119,3.804209,37.785123
12,-0.018000,4492.734896,0.157752,0.083727,3.803523,37.529559
13,-0.016000,4071.721228,0.190324,0.091333,3.802872,33.798326
14,-0.014000,3489.222865,0.219075,0.098939,3.802300,28.635935
15,-0.012000,2860.586019,0.243218,0.106543,3.801823,23.064642
16,-0.010000,2220.414551,0.262534,0.114146,3.801445,17.391123
17,-0.008000,1571.592117,0.276949,0.121749,3.801168,11.640936
18,-0.006000,986.210099,0.286671,0.129351,3.800987,6.452988
19,-0.004000,421.013668,0.292020,0.136953,3.800897,1.443936
20,-0.002000,25.952898,0.293719,0.144554,3.800881,-2.057289
21,0.000000,0.000000,0.293818,0.152156,3.800899,-2.287297
22,0.002000,481.570429,0.295648,0.159758,3.800881,1.980620
23,0.004000,1361.085283,0.302652,0.167360,3.800756,9.775319
24,0.006000,2289.622277,0.316526,0.174961,3.800490,18.004477
25,0.008000,2955.746642,0.336460,0.182561,3.800099,23.908003
26,0.010000,3200.857339,0.359854,0.190161,3.799637,26.080296
27,0.012000,3036.488990,0.383553,0.197760,3.799169,24.623582
28,0.014000,2716.403256,0.405408,0.205358,3.798738,21.786822
29,0.016000,2595.289735,0.425584,0.212955,3.798342,20.713454
30,0.018000,2863.469674,0.446318,0.220551,3.797934,23.090198
31,0.020000,3304.668929,0.469742,0.228147,3.797471,27.000326
32,0.022000,3595.918110,0.495945,0.235741,3.796951,29.581521
33,0.024000,3613.220042,0.523316,0.243334,3.796406,29.734860
34,0.026000,3463.269968,0.550179,0.250927,3.795872,28.405927
35,0.028000,3313.319895,0.575901,0.258518,3.795361,27.076995
36,0.030000,3368.109344,0.601257,0.266108,3.794858,27.562567
37,0.032000,3760.286460,0.628307,0.273697,3.794320,31.038236
38,0.034000,4406.225238,0.659290,0.281285,3.793700,36.762867
39,0.036000,4974.305325,0.694874,0.288872,3.792986,41.797476
40,0.038000,5150.208295,0.733272,0.296457,3.792213,43.356416
41,0.040000,4945.468772,0.771553,0.304041,3.791443,41.541912
42,0.042000,4648.452280,0.807924,0.311623,3.790711,38.909604
43,0.044000,4602.313796,0.842988,0.319204,3.790007,38.500701
44,0.046000,5101.186156,0.879761,0.326783,3.789267,42.921957
45,0.048000,6127.767429,0.922305,0.334361,3.788408,52.020032
46,0.050000,7350.437259,0.973358,0.341936,3.787373,62.855941
47,0.052000,8212.650182,1.032292,0.349510,3.786175,70.497302
48,0.054000,8319.345427,1.094874,0.357081,3.784900,71.442888
49,0.056000,7710.894167,1.155537,0.364650,3.783666,66.050490
50,0.058000,6811.193726,1.210476,0.372216,3.782549,58.076896
51,0.060000,6058.559703,1.259151,0.379780,3.781561,51.406678
52,0.062000,5605.825827,1.303255,0.387342,3.780668,47.394325
53,0.064000,5343.413198,1.344646,0.394903,3.779831,45.068694
54,0.066000,5083.884225,1.384056,0.402462,3.779034,42.768619
55,0.068000,4659.986901,1.420875,0.410019,3.778291,39.011829
56,0.070000,4143.812610,1.454135,0.417575,3.777622,34.437235
