[N02-B-2024-T4-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.812298,1.673944
2,0.002000,66.324071,0.000253,0.007625,3.812312,2.261741
3,0.004000,184.553936,0.001209,0.015249,3.812312,3.309552
4,0.006000,452.733875,0.003639,0.022874,3.812282,5.686297
5,0.008000,833.376370,0.008542,0.030498,3.812201,9.059740
6,0.010000,1286.110246,0.016621,0.038123,3.812054,13.072093
7,0.012000,1779.215295,0.028306,0.045746,3.811834,17.442236
8,0.014000,2177.159721,0.043387,0.053370,3.811544,20.969018
9,0.016000,2517.431042,0.061279,0.060993,3.811196,23.984672
10,0.018000,2756.774429,0.081379,0.068615,3.810803,26.105852
11,0.020000,2906.724502,0.102961,0.076236,3.810380,27.434785
12,0.022000,2877.887950,0.125001,0.083856,3.809947,27.179221
13,0.024000,2644.311873,0.146039,0.091476,3.809534,25.109153
14,0.026000,2278.087655,0.164790,0.099094,3.809168,21.863492
15,0.028000,1782.098951,0.180256,0.106712,3.808870,17.467793
16,0.030000,1297.644867,0.191986,0.114330,3.808649,13.174319
17,0.032000,893.933130,0.200333,0.121947,3.808497,9.596424
18,0.034000,663.240709,0.206263,0.129564,3.808395,7.551913
19,0.036000,643.055123,0.211238,0.137181,3.808312,7.373019
20,0.038000,772.819609,0.216630,0.144797,3.808221,8.523056
21,0.040000,968.908167,0.223263,0.152413,3.808104,10.260891
22,0.042000,1228.437141,0.231630,0.160029,3.807952,12.560966
23,0.044000,1482.198803,0.241952,0.167645,3.807759,14.809928
24,0.046000,1767.680674,0.254326,0.175260,3.807525,17.340011
25,0.048000,2093.533719,0.269027,0.182875,3.807242,20.227883
26,0.050000,2451.106971,0.286329,0.190489,3.806906,23.396875
27,0.052000,2779.843671,0.306242,0.198103,3.806516,26.310303
28,0.054000,3004.768781,0.328260,0.205715,3.806083,28.303702
29,0.056000,3102.813060,0.351504,0.213327,3.805625,29.172619
30,0.058000,3099.929405,0.375108,0.220938,3.805159,29.147063
31,0.060000,3085.511128,0.398643,0.228548,3.804695,29.019281
32,0.062000,3033.605334,0.421923,0.236157,3.804235,28.559266
33,0.064000,2958.630297,0.444718,0.243765,3.803786,27.894800
34,0.066000,2834.633121,0.466753,0.251372,3.803352,26.795875
35,0.068000,2690.450358,0.487766,0.258978,3.802939,25.518055
36,0.070000,2601.057045,0.507888,0.266584,3.802545,24.725807
37,0.072000,2670.264771,0.527931,0.274188,3.802152,25.339161
38,0.074000,2967.281263,0.549365,0.281792,3.801730,27.971469
39,0.076000,3529.594038,0.574062,0.289395,3.801242,32.954965
40,0.078000,4247.624198,0.603623,0.296997,3.800653,39.318506
41,0.080000,4982.956290,0.638702,0.304598,3.799950,45.835385
42,0.082000,5553.920031,0.678737,0.312197,3.799145,50.895551
43,0.084000,5946.097147,0.722422,0.319794,3.798264,54.371220
44,0.086000,6214.277086,0.768604,0.327390,3.797332,56.747964
45,0.088000,6436.318541,0.816637,0.334983,3.796362,58.715806
46,0.090000,6626.639788,0.866222,0.342575,3.795359,60.402528
47,0.092000,6727.567722,0.916899,0.350165,3.794334,61.297001
48,0.094000,6554.548407,0.967289,0.357753,3.793314,59.763618
49,0.096000,6032.606805,1.015030,0.365338,3.792348,55.137911
50,0.098000,5274.205471,1.057905,0.372922,3.791483,48.416581
51,0.100000,4515.804138,1.095020,0.380504,3.790737,41.695250
52,0.102000,4019.815433,1.127374,0.388085,3.790088,37.299551
53,0.104000,3976.560604,1.157678,0.395665,3.789482,36.916205
54,0.106000,4322.599235,1.189125,0.403243,3.788852,39.982972
55,0.108000,4786.867732,1.223636,0.410820,3.788159,44.097551
56,0.110000,5181.928503,1.261396,0.418396,3.787398,47.598776
57,0.112000,5389.551682,1.301430,0.425970,3.786591,49.438836
58,0.114000,5496.246926,1.342645,0.433542,3.785758,50.384423
59,0.116000,5686.568173,1.384976,0.441113,3.784903,52.071145
60,0.118000,6026.839494,1.429305,0.448681,3.784006,55.086799
61,0.120000,6424.783920,1.476416,0.456249,3.783051,58.613580
62,0.122000,6727.567722,1.526165,0.463814,3.782041,61.297001
63,0.124000,6747.753309,1.577122,0.471377,3.781006,61.475896
64,0.126000,6447.853162,1.627008,0.478938,3.779993,58.818031
65,0.128000,5998.002941,1.674048,0.486497,3.779039,54.831235
66,0.130000,5582.756584,1.717807,0.494054,3.778152,51.151114
67,0.132000,5395.318992,1.759279,0.501609,3.777313,49.489949
68,0.134000,5427.039200,1.800154,0.509163,3.776485,49.771069
69,0.136000,5565.454652,1.841662,0.516715,3.775645,50.997776
70,0.138000,5695.219139,1.884174,0.524266,3.774783,52.147814
71,0.140000,5752.892244,1.927383,0.531814,3.773907,52.658942
72,0.142000,5732.706658,1.970723,0.539361,3.773027,52.480047
73,0.144000,5804.798039,2.014250,0.546906,3.772144,53.118957
74,0.146000,6096.047220,2.059136,0.554450,3.771232,55.700152
75,0.148000,6560.315717,2.106859,0.561991,3.770262,59.814731
76,0.150000,7105.326562,2.158375,0.569531,3.769212,64.644888
77,0.152000,7575.362369,2.213701,0.577068,3.768082,68.810580
78,0.154000,7846.425963,2.271802,0.584603,3.766895,71.212881
79,0.156000,7883.913482,2.331047,0.592136,3.765684,71.545114
80,0.158000,7797.403824,2.390089,0.599666,3.764476,70.778422
81,0.160000,7696.475890,2.448406,0.607194,3.763283,69.883948
82,0.162000,7633.035474,2.506086,0.614719,3.762103,69.321708
83,0.164000,7572.478714,2.563282,0.622242,3.760933,68.785024
84,0.166000,7413.877674,2.619636,0.629763,3.759779,67.379422
85,0.168000,7113.977527,2.674250,0.637281,3.758662,64.721558
86,0.170000,6710.265791,2.726203,0.644797,3.757600,61.143663
87,0.172000,6237.346328,2.774849,0.652312,3.756606,56.952415
88,0.174000,5874.005765,2.820341,0.659824,3.755678,53.732310
89,0.176000,5735.590313,2.863938,0.667334,3.754789,52.505603
90,0.178000,5853.820178,2.907449,0.674843,3.753902,53.553415
91,0.180000,6098.930876,2.952313,0.682350,3.752986,55.725708
92,0.182000,6295.019433,2.998821,0.689855,3.752036,57.463543
93,0.184000,6332.506952,3.046194,0.697358,3.751067,57.795776
94,0.186000,6251.764604,3.093392,0.704859,3.750102,57.080197
95,0.188000,6171.022257,3.139973,0.712359,3.749149,56.364618
