[N02-B-PMMA-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.861854,217.448379
2,0.020000,6.214740,0.000240,0.077239,3.862040,217.659391
3,0.040000,-2.071580,0.000400,0.154482,3.862229,217.378041
4,0.060000,-2.071580,0.000240,0.231728,3.862432,217.378041
5,0.080000,2.071580,0.000240,0.308979,3.862628,217.518716
6,0.100000,6.214740,0.000560,0.386233,3.862811,217.659391
7,0.120000,4.143160,0.000960,0.463491,3.862990,217.589054
8,0.140000,10.357900,0.001520,0.540753,3.863163,217.800066
9,0.160000,-2.071580,0.001841,0.618018,3.863346,217.378041
10,0.180000,-0.000000,0.001760,0.695287,3.863545,217.448379
11,0.200000,-0.000000,0.001760,0.772560,3.863741,217.448379
12,0.220000,12.429480,0.002241,0.849836,3.863917,217.870404
13,0.240000,18.644220,0.003441,0.927116,3.864064,218.081416
14,0.260000,-2.071580,0.004082,1.004399,3.864233,217.378041
15,0.280000,-2.071580,0.003922,1.081686,3.864436,217.378041
16,0.300000,12.429480,0.004322,1.158976,3.864615,217.870404
17,0.320000,-0.000000,0.004802,1.236270,3.864791,217.448379
18,0.340000,16.572640,0.005443,1.313568,3.864961,218.011079
19,0.360000,-2.071580,0.006003,1.390869,3.865133,217.378041
20,0.380000,-4.143160,0.005763,1.468173,3.865340,217.307704
21,0.400000,-6.214740,0.005363,1.545482,3.865552,217.237366
22,0.420000,-6.214740,0.004882,1.622796,3.865769,217.237366
23,0.440000,6.214740,0.004882,1.700113,3.865965,217.659391
24,0.460000,6.214740,0.005363,1.777434,3.866141,217.659391
25,0.480000,4.143160,0.005763,1.854759,3.866320,217.589054
26,0.500000,-4.143160,0.005763,1.932087,3.866516,217.307704
27,0.520000,8.286320,0.005923,2.009419,3.866706,217.729729
28,0.540000,4.143160,0.006404,2.086755,3.866882,217.589054
29,0.560000,6.214740,0.006805,2.164094,3.867061,217.659391
30,0.580000,2.071580,0.007125,2.241438,3.867244,217.518716
31,0.600000,-0.000000,0.007205,2.318784,3.867437,217.448379
32,0.620000,-2.071580,0.007125,2.396135,3.867636,217.378041
33,0.640000,-0.000000,0.007045,2.473490,3.867836,217.448379
34,0.660000,-0.000000,0.007045,2.550848,3.868032,217.448379
35,0.680000,6.214740,0.007285,2.628211,3.868218,217.659391
36,0.700000,-2.071580,0.007446,2.705577,3.868408,217.378041
37,0.720000,-10.357900,0.006965,2.782948,3.868624,217.096691
38,0.740000,4.143160,0.006724,2.860322,3.868830,217.589054
39,0.760000,-2.071580,0.006804,2.937701,3.869023,217.378041
40,0.780000,4.143160,0.006885,3.015083,3.869215,217.589054
41,0.800000,-0.000000,0.007045,3.092469,3.869405,217.448379
42,0.820000,4.143160,0.007205,3.169859,3.869594,217.589054
43,0.840000,6.214740,0.007606,3.247253,3.869774,217.659391
44,0.860000,-6.214740,0.007606,3.324650,3.869970,217.237366
45,0.880000,6.214740,0.007606,3.402052,3.870166,217.659391
46,0.900000,8.286320,0.008167,3.479457,3.870339,217.729729
47,0.920000,-8.286320,0.008167,3.556865,3.870535,217.167029
48,0.940000,-4.143160,0.007686,3.634278,3.870751,217.307704
49,0.960000,2.071580,0.007606,3.711695,3.870951,217.518716
50,0.980000,2.071580,0.007766,3.789116,3.871140,217.518716
51,1.000000,6.214740,0.008087,3.866541,3.871323,217.659391
52,1.020000,4.143160,0.008488,3.943969,3.871502,217.589054
53,1.040000,12.429480,0.009130,4.021401,3.871672,217.870404
54,1.060000,-2.071580,0.009531,4.098836,3.871851,217.378041
55,1.080000,6.214740,0.009691,4.176275,3.872041,217.659391
56,1.100000,-10.357900,0.009531,4.253718,3.872243,217.096691
57,1.120000,-8.286320,0.008809,4.331165,3.872470,217.167029
58,1.140000,-0.000000,0.008488,4.408616,3.872679,217.448379
59,1.160000,-2.071580,0.008408,4.486072,3.872879,217.378041
60,1.180000,4.143160,0.008488,4.563532,3.873071,217.589054
61,1.200000,-4.143160,0.008488,4.640995,3.873267,217.307704
62,1.220000,4.143160,0.008488,4.718462,3.873464,217.589054
63,1.240000,-0.000000,0.008648,4.795933,3.873653,217.448379
64,1.260000,-0.000000,0.008648,4.873408,3.873849,217.448379
65,1.280000,8.286320,0.008969,4.950887,3.874032,217.729729
66,1.300000,-8.286320,0.008969,5.028370,3.874228,217.167029
67,1.320000,2.071580,0.008729,5.105856,3.874434,217.518716
68,1.340000,4.143160,0.008969,5.183347,3.874620,217.589054
69,1.360000,-2.071580,0.009050,5.260841,3.874813,217.378041
70,1.380000,-0.000000,0.008969,5.338340,3.875013,217.448379
71,1.400000,4.143160,0.009130,5.415842,3.875202,217.589054
72,1.420000,-6.214740,0.009050,5.493348,3.875402,217.237366
73,1.440000,-0.000000,0.008809,5.570858,3.875608,217.448379
74,1.460000,2.071580,0.008889,5.648372,3.875800,217.518716
75,1.480000,14.501060,0.009532,5.725890,3.875970,217.940741
76,1.500000,-6.214740,0.009853,5.803411,3.876153,217.237366
77,1.520000,-0.000000,0.009612,5.880936,3.876359,217.448379
78,1.540000,-0.000000,0.009612,5.958465,3.876555,217.448379
79,1.560000,-2.071580,0.009531,6.035998,3.876754,217.378041
80,1.580000,-4.143160,0.009291,6.113535,3.876961,217.307704
81,1.600000,2.071580,0.009210,6.191077,3.877160,217.518716
82,1.620000,4.143160,0.009451,6.268622,3.877346,217.589054
83,1.640000,-0.000000,0.009612,6.346170,3.877536,217.448379
84,1.660000,2.071580,0.009692,6.423723,3.877728,217.518716
85,1.680000,2.071580,0.009853,6.501280,3.877918,217.518716
86,1.700000,-2.071580,0.009853,6.578840,3.878114,217.378041
87,1.720000,-4.143160,0.009612,6.656404,3.878320,217.307704
88,1.740000,-2.071580,0.009371,6.733973,3.878526,217.378041
89,1.760000,-6.214740,0.009049,6.811545,3.878736,217.237366
90,1.780000,6.214740,0.009049,6.889122,3.878932,217.659391
91,1.800000,-0.000000,0.009290,6.966702,3.879118,217.448379
92,1.820000,2.071580,0.009371,7.044287,3.879311,217.518716
93,1.840000,-0.000000,0.009451,7.121875,3.879504,217.448379
94,1.860000,-4.143160,0.009290,7.199467,3.879706,217.307704
95,1.880000,-0.000000,0.009130,7.277063,3.879909,217.448379
96,1.900000,2.071580,0.009210,7.354663,3.880102,217.518716
97,1.920000,-2.071580,0.009210,7.432267,3.880298,217.378041
98,1.940000,-0.000000,0.009130,7.509875,3.880498,217.448379
99,1.960000,-4.143160,0.008969,7.587487,3.880700,217.307704
100,1.980000,-2.071580,0.008728,7.665103,3.880907,217.378041
101,2.000000,8.286320,0.008969,7.742723,3.881093,217.729729
102,2.020000,-0.000000,0.009291,7.820347,3.881276,217.448379
103,2.040000,-8.286320,0.008969,7.897975,3.881485,217.167029
104,2.060000,-0.000000,0.008647,7.975606,3.881695,217.448379
105,2.080000,2.071580,0.008728,8.053242,3.881887,217.518716
106,2.100000,-8.286320,0.008486,8.130882,3.882093,217.167029
107,2.120000,-8.286320,0.007843,8.208526,3.882316,217.167029
108,2.140000,4.143160,0.007682,8.286174,3.882519,217.589054
109,2.160000,-0.000000,0.007843,8.363827,3.882709,217.448379
110,2.180000,-4.143160,0.007682,8.441483,3.882911,217.307704
