[N02-B-PMMA-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.850077,217.659391
2,0.020000,18.644220,0.000718,0.077003,3.850243,218.292429
3,0.040000,8.286320,0.001755,0.154010,3.850395,217.940741
4,0.060000,8.286320,0.002393,0.231019,3.850565,217.940741
5,0.080000,2.071580,0.002792,0.308032,3.850744,217.729729
6,0.100000,16.572640,0.003510,0.385049,3.850910,218.222091
7,0.120000,10.357900,0.004547,0.462069,3.851063,218.011079
8,0.140000,10.357900,0.005345,0.539091,3.851226,218.011079
9,0.160000,16.572640,0.006382,0.616117,3.851378,218.222091
10,0.180000,16.572640,0.007658,0.693146,3.851521,218.222091
11,0.200000,12.429480,0.008775,0.770178,3.851671,218.081416
12,0.220000,6.214740,0.009493,0.847213,3.851837,217.870404
13,0.240000,-0.000000,0.009733,0.924252,3.852023,217.659391
14,0.260000,18.644220,0.010451,1.001294,3.852189,218.292429
15,0.280000,6.214740,0.011409,1.078340,3.852345,217.870404
16,0.300000,22.787380,0.012526,1.155388,3.852494,218.433104
17,0.320000,-0.000000,0.013404,1.232439,3.852654,217.659391
18,0.340000,8.286320,0.013723,1.309494,3.852836,217.940741
19,0.360000,12.429480,0.014521,1.386553,3.852999,218.081416
20,0.380000,-0.000000,0.015000,1.463614,3.853175,217.659391
21,0.400000,29.002120,0.016118,1.540679,3.853325,218.644116
22,0.420000,22.787380,0.018113,1.617747,3.853437,218.433104
23,0.440000,2.071580,0.019071,1.694817,3.853593,217.729729
24,0.460000,12.429480,0.019630,1.771891,3.853766,218.081416
25,0.480000,8.286320,0.020429,1.848968,3.853929,217.940741
26,0.500000,10.357900,0.021147,1.926048,3.854095,218.011079
27,0.520000,10.357900,0.021945,2.003132,3.854258,218.011079
28,0.540000,4.143160,0.022504,2.080218,3.854430,217.800066
29,0.560000,6.214740,0.022904,2.157309,3.854610,217.870404
30,0.580000,2.071580,0.023223,2.234403,3.854792,217.729729
31,0.600000,10.357900,0.023702,2.311500,3.854969,218.011079
32,0.620000,4.143160,0.024261,2.388602,3.855141,217.800066
33,0.640000,12.429480,0.024900,2.465706,3.855311,218.081416
34,0.660000,4.143160,0.025539,2.542814,3.855480,217.800066
35,0.680000,12.429480,0.026178,2.619925,3.855650,218.081416
36,0.700000,6.214740,0.026897,2.697040,3.855816,217.870404
37,0.720000,12.429480,0.027616,2.774158,3.855982,218.081416
38,0.740000,8.286320,0.028415,2.851279,3.856144,217.940741
39,0.760000,10.357900,0.029134,2.928404,3.856310,218.011079
40,0.780000,10.357900,0.029932,3.005532,3.856473,218.011079
41,0.800000,6.214740,0.030572,3.082663,3.856643,217.870404
42,0.820000,8.286320,0.031131,3.159797,3.856815,217.940741
43,0.840000,8.286320,0.031770,3.236935,3.856985,217.940741
44,0.860000,16.572640,0.032729,3.314077,3.857141,218.222091
45,0.880000,-0.000000,0.033368,3.391221,3.857310,217.659391
46,0.900000,10.357900,0.033768,3.468369,3.857490,218.011079
47,0.920000,12.429480,0.034647,3.545520,3.857649,218.081416
48,0.940000,16.572640,0.035766,3.622675,3.857798,218.222091
49,0.960000,12.429480,0.036884,3.699832,3.857948,218.081416
50,0.980000,12.429480,0.037843,3.776993,3.858104,218.081416
51,1.000000,12.429480,0.038803,3.854157,3.858260,218.081416
52,1.020000,6.214740,0.039522,3.931323,3.858426,217.870404
53,1.040000,6.214740,0.040002,4.008494,3.858602,217.870404
54,1.060000,14.501060,0.040801,4.085667,3.858765,218.151754
55,1.080000,2.071580,0.041440,4.162844,3.858934,217.729729
56,1.100000,6.214740,0.041760,4.240025,3.859117,217.870404
57,1.120000,14.501060,0.042560,4.317209,3.859280,218.151754
58,1.140000,2.071580,0.043199,4.394396,3.859449,217.729729
59,1.160000,22.787380,0.044159,4.471587,3.859605,218.433104
60,1.180000,6.214740,0.045278,4.548780,3.859755,217.870404
61,1.200000,10.357900,0.045918,4.625977,3.859924,218.011079
62,1.220000,-0.000000,0.046318,4.703177,3.860103,217.659391
63,1.240000,2.071580,0.046398,4.780381,3.860296,217.729729
64,1.260000,12.429480,0.046957,4.857589,3.860469,218.081416
65,1.280000,12.429480,0.047917,4.934800,3.860625,218.081416
66,1.300000,12.429480,0.048877,5.012014,3.860781,218.081416
67,1.320000,4.143160,0.049517,5.089231,3.860950,217.800066
68,1.340000,10.357900,0.050076,5.166452,3.861123,218.011079
69,1.360000,16.572640,0.051116,5.243676,3.861276,218.222091
70,1.380000,12.429480,0.052236,5.320903,3.861425,218.081416
