[N02-B-PMMA-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.861854,218.011079
2,0.020000,4.143160,0.000160,0.077239,3.862043,218.151754
3,0.040000,-2.071580,0.000240,0.154482,3.862236,217.940741
4,0.060000,2.071580,0.000240,0.231728,3.862432,218.081416
5,0.080000,4.143160,0.000480,0.308979,3.862618,218.151754
6,0.100000,6.214740,0.000880,0.386233,3.862797,218.222091
7,0.120000,-4.143160,0.000960,0.463491,3.862990,217.870404
8,0.140000,4.143160,0.000960,0.540753,3.863186,218.151754
9,0.160000,2.071580,0.001200,0.618018,3.863373,218.081416
10,0.180000,2.071580,0.001360,0.695288,3.863562,218.081416
11,0.200000,8.286320,0.001761,0.772561,3.863741,218.292429
12,0.220000,-10.357900,0.001680,0.849838,3.863941,217.659391
13,0.240000,-8.286320,0.000960,0.927119,3.864167,217.729729
14,0.260000,-12.429480,0.000160,1.004404,3.864397,217.589054
15,0.280000,-8.286320,-0.000641,1.081694,3.864626,217.729729
16,0.300000,8.286320,-0.000641,1.158989,3.864822,218.292429
17,0.320000,-6.214740,-0.000561,1.236287,3.865015,217.800066
18,0.340000,10.357900,-0.000401,1.313590,3.865205,218.362766
19,0.360000,-4.143160,-0.000161,1.390895,3.865391,217.870404
20,0.380000,-2.071580,-0.000401,1.468205,3.865597,217.940741
21,0.400000,-0.000000,-0.000481,1.545519,3.865796,218.011079
22,0.420000,-0.000000,-0.000481,1.622837,3.865992,218.011079
23,0.440000,8.286320,-0.000161,1.700159,3.866175,218.292429
24,0.460000,-12.429480,-0.000321,1.777484,3.866378,217.589054
25,0.480000,2.071580,-0.000721,1.854814,3.866591,218.081416
26,0.500000,6.214740,-0.000401,1.932148,3.866774,218.222091
27,0.520000,-2.071580,-0.000241,2.009485,3.866963,217.940741
28,0.540000,6.214740,-0.000080,2.086826,3.867152,218.222091
29,0.560000,6.214740,0.000400,2.164171,3.867329,218.222091
30,0.580000,4.143160,0.000801,2.241519,3.867508,218.151754
31,0.600000,-0.000000,0.000961,2.318871,3.867697,218.011079
32,0.620000,-0.000000,0.000961,2.396227,3.867894,218.011079
33,0.640000,4.143160,0.001121,2.473587,3.868083,218.151754
34,0.660000,-8.286320,0.000961,2.550951,3.868286,217.729729
35,0.680000,12.429480,0.001121,2.628318,3.868475,218.433104
36,0.700000,-2.071580,0.001522,2.705690,3.868655,217.940741
37,0.720000,-2.071580,0.001362,2.783065,3.868858,217.940741
38,0.740000,-6.214740,0.001041,2.860444,3.869067,217.800066
39,0.760000,-2.071580,0.000721,2.937828,3.869277,217.940741
40,0.780000,-4.143160,0.000480,3.015215,3.869483,217.870404
41,0.800000,-6.214740,0.000079,3.092607,3.869696,217.800066
42,0.820000,8.286320,0.000159,3.170003,3.869888,218.292429
43,0.840000,-4.143160,0.000320,3.247402,3.870078,217.870404
44,0.860000,-6.214740,-0.000081,3.324806,3.870291,217.800066
45,0.880000,-2.071580,-0.000402,3.402214,3.870500,217.940741
46,0.900000,-4.143160,-0.000642,3.479626,3.870706,217.870404
47,0.920000,-0.000000,-0.000803,3.557042,3.870909,218.011079
48,0.940000,6.214740,-0.000562,3.634462,3.871095,218.222091
49,0.960000,-12.429480,-0.000803,3.711886,3.871301,217.589054
50,0.980000,-6.214740,-0.001525,3.789315,3.871528,217.800066
51,1.000000,-0.000000,-0.001765,3.866747,3.871734,218.011079
52,1.020000,-2.071580,-0.001845,3.944184,3.871933,217.940741
53,1.040000,2.071580,-0.001845,4.021624,3.872129,218.081416
54,1.060000,-12.429480,-0.002246,4.099069,3.872342,217.589054
55,1.080000,4.143160,-0.002567,4.176518,3.872552,218.151754
56,1.100000,-10.357900,-0.002808,4.253971,3.872758,217.659391
57,1.120000,-2.071580,-0.003289,4.331428,3.872974,217.940741
58,1.140000,4.143160,-0.003209,4.408890,3.873167,218.151754
59,1.160000,-2.071580,-0.003129,4.486355,3.873360,217.940741
60,1.180000,2.071580,-0.003129,4.563824,3.873556,218.081416
61,1.200000,-0.000000,-0.003049,4.641297,3.873748,218.011079
62,1.220000,2.071580,-0.002968,4.718774,3.873941,218.081416
63,1.240000,4.143160,-0.002728,4.796255,3.874127,218.151754
64,1.260000,-4.143160,-0.002728,4.873739,3.874323,217.870404
65,1.280000,4.143160,-0.002728,4.951228,3.874520,218.151754
66,1.300000,-8.286320,-0.002888,5.028720,3.874722,217.729729
67,1.320000,2.071580,-0.003129,5.106217,3.874929,218.081416
68,1.340000,2.071580,-0.002968,5.183717,3.875118,218.081416
69,1.360000,-4.143160,-0.003049,5.261222,3.875318,217.870404
70,1.380000,2.071580,-0.003129,5.338730,3.875517,218.081416
71,1.400000,-0.000000,-0.003049,5.416242,3.875710,218.011079
72,1.420000,8.286320,-0.002728,5.493758,3.875893,218.292429
73,1.440000,-8.286320,-0.002728,5.571278,3.876089,217.729729
74,1.460000,2.071580,-0.002968,5.648802,3.876295,218.081416
75,1.480000,10.357900,-0.002487,5.726330,3.876471,218.362766
76,1.500000,-4.143160,-0.002246,5.803861,3.876657,217.870404
77,1.520000,4.143160,-0.002246,5.881396,3.876853,218.151754
78,1.540000,4.143160,-0.001924,5.958935,3.877036,218.151754
79,1.560000,6.214740,-0.001523,6.036477,3.877215,218.222091
80,1.580000,-2.071580,-0.001362,6.114024,3.877405,217.940741
81,1.600000,-0.000000,-0.001443,6.191574,3.877604,218.011079
82,1.620000,2.071580,-0.001362,6.269128,3.877797,218.081416
83,1.640000,6.214740,-0.001041,6.346685,3.877980,218.222091
84,1.660000,-8.286320,-0.001121,6.424247,3.878179,217.729729
85,1.680000,10.357900,-0.001041,6.501813,3.878372,218.362766
86,1.700000,-4.143160,-0.000800,6.579382,3.878558,217.870404
87,1.720000,-2.071580,-0.001041,6.656955,3.878764,217.940741
88,1.740000,8.286320,-0.000800,6.734532,3.878951,218.292429
89,1.760000,2.071580,-0.000398,6.812113,3.879130,218.081416
90,1.780000,2.071580,-0.000237,6.889697,3.879319,218.081416
91,1.800000,4.143160,0.000004,6.967286,3.879506,218.151754
92,1.820000,4.143160,0.000325,7.044878,3.879688,218.151754
93,1.840000,-10.357900,0.000084,7.122474,3.879894,217.659391
94,1.860000,6.214740,-0.000077,7.200073,3.880097,218.222091
95,1.880000,10.357900,0.000566,7.277677,3.880267,218.362766
96,1.900000,4.143160,0.001129,7.355284,3.880439,218.151754
97,1.920000,-10.357900,0.000888,7.432895,3.880646,217.659391
98,1.940000,-6.214740,0.000245,7.510510,3.880868,217.800066
99,1.960000,-0.000000,0.000004,7.588130,3.881075,218.011079
100,1.980000,-2.071580,-0.000077,7.665753,3.881274,217.940741
101,2.000000,-6.214740,-0.000398,7.743381,3.881484,217.800066
102,2.020000,2.071580,-0.000559,7.821012,3.881686,218.081416
103,2.040000,4.143160,-0.000318,7.898648,3.881872,218.151754
104,2.060000,-4.143160,-0.000318,7.976287,3.882069,217.870404
105,2.080000,-4.143160,-0.000640,8.053931,3.882278,217.870404
106,2.100000,4.143160,-0.000640,8.131578,3.882474,218.151754
107,2.120000,2.071580,-0.000398,8.209230,3.882660,218.081416
108,2.140000,-8.286320,-0.000640,8.286885,3.882866,217.729729
109,2.160000,-0.000000,-0.000961,8.364544,3.883076,218.011079
