[N02-CD-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.778083,-0.086583
2,0.002000,98.557187,0.000372,0.007556,3.778095,0.754513
3,0.004000,307.266525,0.001906,0.015112,3.778083,2.535659
4,0.006000,643.520458,0.005498,0.022668,3.778028,5.405283
5,0.008000,1127.610171,0.012189,0.030224,3.777909,9.536552
6,0.010000,1768.231888,0.023129,0.037780,3.777701,15.003681
7,0.012000,2536.398200,0.039390,0.045335,3.777383,21.559287
8,0.014000,3406.020440,0.061835,0.052889,3.776937,28.980729
9,0.016000,4322.022532,0.091021,0.060443,3.776351,36.797980
10,0.018000,5258.315811,0.127196,0.067995,3.775619,44.788399
11,0.020000,6104.748124,0.170093,0.075545,3.774747,52.011935
12,0.022000,6780.154730,0.218723,0.083094,3.773756,57.775921
13,0.024000,7200.472146,0.271475,0.090640,3.772680,61.362951
14,0.026000,7342.510446,0.326333,0.098184,3.771559,62.575120
15,0.028000,7188.877183,0.381131,0.105726,3.770439,61.263999
16,0.030000,6783.053471,0.433804,0.113266,3.769362,57.800659
17,0.032000,6194.609089,0.482715,0.120804,3.768364,52.778817
18,0.034000,5498.911297,0.526776,0.128340,3.767467,46.841664
19,0.036000,4794.517283,0.565552,0.135874,3.766679,40.830297
20,0.038000,4145.199344,0.599222,0.143406,3.765998,35.288954
21,0.040000,3585.742369,0.628335,0.150938,3.765411,30.514493
22,0.042000,3182.817398,0.653820,0.158468,3.764900,27.075892
23,0.044000,2936.424430,0.676857,0.165997,3.764440,24.973150
24,0.046000,2814.677317,0.698505,0.173526,3.764008,23.934149
25,0.048000,2782.791168,0.719573,0.181054,3.763589,23.662029
26,0.050000,2748.006278,0.740387,0.188580,3.763175,23.365171
27,0.052000,2666.841536,0.760763,0.196106,3.762770,22.672504
28,0.054000,2519.005755,0.780275,0.203631,3.762382,21.410858
29,0.056000,2336.385085,0.798542,0.211156,3.762021,19.852356
30,0.058000,2191.448045,0.815576,0.218679,3.761686,18.615449
31,0.060000,2176.954341,0.832007,0.226203,3.761363,18.491758
32,0.062000,2339.283825,0.848994,0.233725,3.761028,19.877094
33,0.064000,2724.816352,0.868039,0.241247,3.760651,23.167266
34,0.066000,3301.665771,0.890701,0.248767,3.760198,28.090156
35,0.068000,4032.148452,0.918275,0.256287,3.759642,34.324167
36,0.070000,4858.289580,0.951697,0.263806,3.758965,41.374536
37,0.072000,5739.506783,0.991529,0.271323,3.758153,48.894930
38,0.074000,6565.647911,1.037767,0.278838,3.757208,55.945299
39,0.076000,7310.624297,1.089896,0.286352,3.756139,62.303001
40,0.078000,7913.562383,1.147071,0.293863,3.754965,67.448533
41,0.080000,8336.778540,1.208080,0.301371,3.753710,71.060301
42,0.082000,8620.855138,1.271722,0.308878,3.752400,73.484639
43,0.084000,8881.741810,1.337387,0.316381,3.751046,75.711071
44,0.086000,9238.286928,1.405343,0.323882,3.749645,78.753862
45,0.088000,9751.364050,1.476533,0.331380,3.748175,83.132513
46,0.090000,10441.264360,1.552202,0.338874,3.746611,89.020190
47,0.092000,11261.608007,1.633496,0.346366,3.744929,96.021083
48,0.094000,12145.723950,1.721132,0.353854,3.743113,103.566215
49,0.096000,12986.358782,1.815179,0.361338,3.741161,110.740275
50,0.098000,13658.866648,1.914835,0.368818,3.739091,116.479523
51,0.100000,14090.779027,2.018563,0.376294,3.736935,120.165505
52,0.102000,14229.918585,2.124364,0.383766,3.734733,121.352936
53,0.104000,14102.373990,2.230147,0.391233,3.732531,120.264458
54,0.106000,13745.828872,2.334062,0.398696,3.730367,117.221667
55,0.108000,13267.536640,2.434803,0.406155,3.728268,113.139874
56,0.110000,12768.953222,2.531849,0.413609,3.726245,108.884915
57,0.112000,12331.243362,2.625354,0.421060,3.724296,105.149456
58,0.114000,11974.698243,2.715854,0.428507,3.722410,102.106665
59,0.116000,11731.204016,2.804075,0.435950,3.720570,100.028661
60,0.118000,11563.077050,2.890723,0.443389,3.718763,98.593849
61,0.120000,11392.051343,2.976067,0.450825,3.716982,97.134299
62,0.122000,11160.152079,3.059874,0.458257,3.715233,95.155248
63,0.124000,10815.201923,3.141499,0.465686,3.713530,92.211409
64,0.126000,10305.023543,3.219912,0.473111,3.711893,87.857497
65,0.128000,9635.414418,3.293914,0.480533,3.710349,82.142987
66,0.130000,8864.349365,3.362542,0.487953,3.708917,75.562643
67,0.132000,8096.183053,3.425437,0.495369,3.707607,69.007036
68,0.134000,7438.168892,3.483023,0.502783,3.706408,63.391479
69,0.136000,6977.269105,3.536445,0.510195,3.705297,59.458115
70,0.138000,6832.332065,3.587606,0.517604,3.704234,58.221208
71,0.140000,7012.053994,3.638882,0.525012,3.703168,59.754972
72,0.142000,7487.447486,3.692567,0.532417,3.702050,63.812027
73,0.144000,8113.575498,3.750313,0.539820,3.700846,69.155465
74,0.146000,8771.589660,3.812791,0.547220,3.699542,74.771022
75,0.148000,9391.920191,3.879975,0.554618,3.698137,80.064984
76,0.150000,9948.478424,3.951483,0.562013,3.696640,84.814706
77,0.152000,10386.188285,4.026637,0.569405,3.695065,88.550165
78,0.154000,10684.758587,4.104478,0.576793,3.693432,91.098193
79,0.156000,10765.923330,4.183687,0.584178,3.691769,91.790861
80,0.158000,10551.416511,4.262368,0.591560,3.690117,89.960239
81,0.160000,9913.693535,4.337871,0.598939,3.688531,84.517849
82,0.162000,8855.653143,4.407089,0.606314,3.687079,75.488428
83,0.164000,7452.662596,4.467210,0.613687,3.685820,63.515169
84,0.166000,5933.722417,4.516544,0.621058,3.684789,50.552385
85,0.168000,4522.035648,4.555067,0.628427,3.683989,38.504912
86,0.170000,3339.349401,4.584027,0.635794,3.683392,28.411752
87,0.172000,2365.372493,4.605038,0.643160,3.682964,20.099737
88,0.174000,1481.256549,4.619205,0.650526,3.682682,12.554605
89,0.176000,527.570826,4.626603,0.657891,3.682544,4.415758
90,0.178000,-510.178381,4.626667,0.665256,3.682563,-4.440496

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,-3.688000,-47.829223,-0.408179
2,-3.686000,-44.930482,-0.383441
3,-3.684000,-50.727964,-0.432917
4,-3.682000,-68.120409,-0.581346
5,-3.680000,-94.209076,-0.803989
6,-3.678000,-97.107817,-0.828728
7,-3.676000,-91.310335,-0.779251
8,-3.674000,-79.715372,-0.680299
9,-3.672000,-62.322927,-0.531870
10,-3.670000,-50.727964,-0.432917
11,-3.668000,-62.322927,-0.531870
12,-3.666000,-68.120409,-0.581346
13,-3.664000,-73.917890,-0.630823
14,-3.662000,-79.715372,-0.680299
15,-3.660000,-76.816631,-0.655561
16,-3.658000,-73.917890,-0.630823
17,-3.656000,-68.120409,-0.581346
18,-3.654000,-68.120409,-0.581346
19,-3.652000,-73.917890,-0.630823
20,-3.650000,-71.019150,-0.606084
21,-3.648000,-68.120409,-0.581346
22,-3.646000,-79.715372,-0.680299
23,-3.644000,-73.917890,-0.630823
24,-3.642000,-53.626705,-0.457656
25,-3.640000,-59.424186,-0.507132
26,-3.638000,-50.727964,-0.432917
27,-3.636000,-42.031742,-0.358703
28,-3.634000,-65.221668,-0.556608
29,-3.632000,-85.512854,-0.729775
30,-3.630000,-88.411594,-0.754513
31,-3.628000,-85.512854,-0.729775
32,-3.626000,-59.424186,-0.507132
33,-3.624000,-62.322927,-0.531870
34,-3.622000,-65.221668,-0.556608
35,-3.620000,-76.816631,-0.655561
36,-3.618000,-82.614113,-0.705037
37,-3.616000,-88.411594,-0.754513
38,-3.614000,-71.019150,-0.606084
39,-3.612000,-65.221668,-0.556608
40,-3.610000,-62.322927,-0.531870
41,-3.608000,-79.715372,-0.680299
42,-3.606000,-85.512854,-0.729775
43,-3.604000,-85.512854,-0.729775
44,-3.602000,-76.816631,-0.655561
45,-3.600000,-71.019150,-0.606084
46,-3.598000,-65.221668,-0.556608
47,-3.596000,-59.424186,-0.507132
48,-3.594000,-59.424186,-0.507132
49,-3.592000,-50.727964,-0.432917
50,-3.590000,-59.424186,-0.507132
51,-3.588000,-82.614113,-0.705037
52,-3.586000,-91.310335,-0.779251
53,-3.584000,-85.512854,-0.729775
54,-3.582000,-59.424186,-0.507132
55,-3.580000,-47.829223,-0.408179
56,-3.578000,-39.133001,-0.333965
57,-3.576000,-59.424186,-0.507132
58,-3.574000,-82.614113,-0.705037
59,-3.572000,-94.209076,-0.803989
60,-3.570000,-100.006558,-0.853466
61,-3.568000,-88.411594,-0.754513
62,-3.566000,-65.221668,-0.556608
63,-3.564000,-44.930482,-0.383441
64,-3.562000,-44.930482,-0.383441
65,-3.560000,-76.816631,-0.655561
66,-3.558000,-105.804039,-0.902942
67,-3.556000,-111.601521,-0.952418
68,-3.554000,-100.006558,-0.853466
69,-3.552000,-65.221668,-0.556608
70,-3.550000,-44.930482,-0.383441
71,-3.548000,-42.031742,-0.358703
72,-3.546000,-50.727964,-0.432917
73,-3.544000,-76.816631,-0.655561
74,-3.542000,-91.310335,-0.779251
75,-3.540000,-97.107817,-0.828728
76,-3.538000,-105.804039,-0.902942
77,-3.536000,-73.917890,-0.630823
78,-3.534000,-47.829223,-0.408179
79,-3.532000,-36.234260,-0.309227
80,-3.530000,-44.930482,-0.383441
81,-3.528000,-59.424186,-0.507132
82,-3.526000,-85.512854,-0.729775
83,-3.524000,-88.411594,-0.754513
84,-3.522000,-91.310335,-0.779251
85,-3.520000,-91.310335,-0.779251
86,-3.518000,-79.715372,-0.680299
87,-3.516000,-65.221668,-0.556608
88,-3.514000,-42.031742,-0.358703
89,-3.512000,-36.234260,-0.309227
90,-3.510000,-39.133001,-0.333965
91,-3.508000,-62.322927,-0.531870
92,-3.506000,-82.614113,-0.705037
93,-3.504000,-91.310335,-0.779251
94,-3.502000,-79.715372,-0.680299
95,-3.500000,-62.322927,-0.531870
