[N02-CD-1045HR-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.772441,-0.952418
2,0.002000,69.569779,0.000262,0.007545,3.772455,-0.358703
3,0.004000,202.911856,0.001290,0.015090,3.772454,0.779251
4,0.006000,417.418675,0.003631,0.022635,3.772425,2.609874
5,0.008000,756.571349,0.008059,0.030179,3.772352,5.504236
6,0.010000,1275.445952,0.015725,0.037724,3.772213,9.932362
7,0.012000,1979.839966,0.028004,0.045268,3.771977,15.943730
8,0.014000,2875.550873,0.046317,0.052812,3.771616,23.587815
9,0.016000,3893.008894,0.071844,0.060355,3.771104,32.270901
10,0.018000,4951.049286,0.105192,0.067896,3.770430,41.300321
11,0.020000,5994.595974,0.146457,0.075436,3.769592,50.206051
12,0.022000,6896.104362,0.195043,0.082974,3.768600,57.899612
13,0.024000,7551.219783,0.249480,0.090510,3.767487,63.490431
14,0.026000,7858.486308,0.307527,0.098044,3.766298,66.112674
15,0.028000,7768.625343,0.366374,0.105576,3.765092,65.345792
16,0.030000,7348.307927,0.423282,0.113105,3.763926,61.758762
17,0.032000,6698.989988,0.476148,0.120631,3.762844,56.217419
18,0.034000,5884.443823,0.523492,0.128156,3.761877,49.266002
19,0.036000,5035.112769,0.564565,0.135679,3.761040,42.017727
20,0.038000,4220.566604,0.599373,0.143200,3.760334,35.066311
21,0.040000,3539.362517,0.628551,0.150720,3.759745,29.252848
22,0.042000,3008.892950,0.653170,0.158239,3.759251,24.725769
23,0.044000,2675.537758,0.674538,0.165757,3.758825,21.880883
24,0.046000,2527.701977,0.694095,0.173275,3.758436,20.619238
25,0.048000,2530.600718,0.713105,0.180791,3.758059,20.643976
26,0.050000,2591.474275,0.732353,0.188307,3.757677,21.163477
27,0.052000,2655.246573,0.752068,0.195822,3.757285,21.707716
28,0.054000,2666.841536,0.772063,0.203336,3.756887,21.806669
29,0.056000,2646.550350,0.792024,0.210849,3.756490,21.633502
30,0.058000,2620.461683,0.811808,0.218362,3.756097,21.410858
31,0.060000,2661.044054,0.831645,0.225874,3.755702,21.757192
32,0.062000,2855.259688,0.852362,0.233385,3.755289,23.414648
33,0.064000,3194.412361,0.875078,0.240895,3.754834,26.309010
34,0.066000,3658.210889,0.900807,0.248404,3.754317,30.267112
35,0.068000,4200.275419,0.930308,0.255912,3.753720,34.893144
36,0.070000,4814.808468,0.964144,0.263419,3.753033,40.137629
37,0.072000,5478.620111,1.002772,0.270924,3.752245,45.802663
38,0.074000,6145.330495,1.046382,0.278428,3.751353,51.492434
39,0.076000,6803.344657,1.094950,0.285930,3.750357,57.107992
40,0.078000,7394.687780,1.148190,0.293429,3.749263,62.154572
41,0.080000,7977.334681,1.205814,0.300926,3.748077,67.126938
42,0.082000,8568.677804,1.267819,0.308421,3.746799,72.173518
43,0.084000,9191.907076,1.334352,0.315914,3.745426,77.492217
44,0.086000,9844.123756,1.405635,0.323403,3.743953,83.058298
45,0.088000,10563.011474,1.482022,0.330889,3.742372,89.193357
46,0.090000,11267.405488,1.563700,0.338372,3.740679,95.204724
47,0.092000,11902.229723,1.650349,0.345852,3.738882,100.622376
48,0.094000,12406.610622,1.741214,0.353328,3.736995,104.926812
49,0.096000,12792.143149,1.835356,0.360800,3.735039,108.216985
50,0.098000,13035.637376,1.931798,0.368268,3.733033,110.294988
51,0.100000,13015.346190,2.029021,0.375732,3.731009,110.121821
52,0.102000,12768.953222,2.125197,0.383192,3.729007,108.019080
53,0.104000,12308.053435,2.218685,0.390648,3.727060,104.085716
54,0.106000,11757.292683,2.308356,0.398100,3.725192,99.385470
55,0.108000,11212.329413,2.393902,0.405549,3.723410,94.734700
56,0.110000,10774.619552,2.475750,0.412994,3.721705,90.999241
57,0.112000,10487.644213,2.554865,0.420436,3.720057,88.550165
58,0.114000,10360.099618,2.632403,0.427874,3.718442,87.461687
59,0.116000,10287.631098,2.709164,0.435310,3.716842,86.843234
60,0.118000,10174.580207,2.785203,0.442742,3.715257,85.878446
61,0.120000,9974.567092,2.860046,0.450171,3.713697,84.171515
62,0.122000,9704.984197,2.933115,0.457596,3.712173,81.870868
63,0.124000,9310.755448,3.003691,0.465019,3.710701,78.506481
64,0.126000,8783.184623,3.070820,0.472439,3.709302,74.004140
65,0.128000,8072.993127,3.133334,0.479857,3.707999,67.943296
66,0.130000,7290.333111,3.190293,0.487271,3.706814,61.263999
67,0.132000,6527.964281,3.241508,0.494684,3.705750,54.757869
68,0.134000,5884.443823,3.287500,0.502095,3.704796,49.266002
69,0.136000,5461.227667,3.329528,0.509503,3.703926,45.654234
70,0.138000,5348.176775,3.369561,0.516910,3.703098,44.689446
71,0.140000,5559.784854,3.409950,0.524316,3.702262,46.495330
72,0.142000,6009.089678,3.452775,0.531719,3.701374,50.329742
73,0.144000,6574.344134,3.499345,0.539121,3.700407,55.153679
74,0.146000,7203.370887,3.550321,0.546521,3.699346,60.521855
75,0.148000,7867.182530,3.606063,0.553918,3.698184,66.186888
76,0.150000,8559.981581,3.666802,0.561313,3.696915,72.099303
77,0.152000,9209.299520,3.732481,0.568706,3.695541,77.640646
78,0.154000,9783.250199,3.802655,0.576096,3.694071,82.538798
79,0.156000,10249.947468,3.876643,0.583482,3.692520,86.521638
80,0.158000,10629.682512,3.953724,0.590866,3.690902,89.762334
81,0.160000,10910.860370,4.033210,0.598246,3.689232,92.161933
82,0.162000,11154.354597,4.114594,0.605622,3.687522,94.239937
83,0.164000,11415.241269,4.197800,0.612996,3.685771,96.466369
84,0.166000,11731.204016,4.283092,0.620365,3.683975,99.162826
85,0.168000,12079.052912,4.370786,0.627732,3.682128,102.131403
86,0.170000,12406.610622,4.460922,0.635094,3.680227,104.926812
87,0.172000,12592.130034,4.552898,0.642452,3.678286,106.510053
88,0.174000,12597.927515,4.645530,0.649807,3.676330,106.559530
89,0.176000,12441.395512,4.737558,0.657158,3.674386,105.223670
90,0.178000,12139.926469,4.827857,0.664505,3.672478,102.650904
91,0.180000,11737.001498,4.915522,0.671848,3.670625,99.212303
92,0.182000,11284.797933,5.000007,0.679187,3.668839,95.353153
93,0.184000,10852.885554,5.081208,0.686523,3.667123,91.667170
94,0.186000,10458.656805,5.159342,0.693856,3.665471,88.302784
95,0.188000,10061.529316,5.234542,0.701185,3.663881,84.913659
96,0.190000,9673.098048,5.306833,0.708511,3.662353,81.598748
97,0.192000,9281.768040,5.376239,0.715835,3.660886,78.259100
98,0.194000,8916.526700,5.442848,0.723155,3.659479,75.142094
99,0.196000,8557.082841,5.506781,0.730473,3.658128,72.074565
100,0.198000,8162.854092,5.567934,0.737788,3.656836,68.710178
101,0.200000,7745.435417,5.626099,0.745100,3.655608,65.147886
102,0.202000,7336.712964,5.681224,0.752410,3.654445,61.659809
103,0.204000,6919.294289,5.733315,0.759718,3.653347,58.097517
104,0.206000,6478.685687,5.782255,0.767023,3.652315,54.337320
105,0.208000,6087.355679,5.828145,0.774327,3.651350,50.997672
106,0.210000,5785.886636,5.871493,0.781629,3.650438,48.424905
107,0.212000,5632.253374,5.913169,0.788929,3.649562,47.113784
108,0.214000,5582.974780,5.954095,0.796227,3.648702,46.693236
109,0.216000,5620.658411,5.994969,0.803524,3.647843,47.014831
110,0.218000,5742.405524,6.036414,0.810819,3.646972,48.053833
111,0.220000,5991.697233,6.079203,0.818112,3.646071,50.181313
112,0.222000,6272.875091,6.123915,0.825403,3.645129,52.580912
113,0.224000,6559.850430,6.170685,0.832692,3.644142,55.029988
114,0.226000,6872.914436,6.219629,0.839979,3.643108,57.701707
115,0.228000,7214.965850,6.270945,0.847264,3.642023,60.620807
116,0.230000,7577.308450,6.324810,0.854547,3.640882,63.713074
117,0.232000,7959.942236,6.381370,0.861828,3.639683,66.978509
118,0.234000,8386.057133,6.440853,0.869106,3.638421,70.615015
119,0.236000,8899.134255,6.503732,0.876382,3.637085,74.993665
120,0.238000,9484.679896,6.570582,0.883654,3.635663,79.990769
