[N02-CD-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,3.674000,0.000000,0.000000,0.000000,3.779497,-0.556608
2,3.676000,57.974816,0.000219,0.007559,3.779512,-0.061845
3,3.678000,162.329485,0.001052,0.015118,3.779514,0.828728
4,3.680000,344.950155,0.002969,0.022677,3.779494,2.387230
5,3.682000,620.330531,0.006617,0.030236,3.779438,4.737353
6,3.684000,953.685723,0.012566,0.037795,3.779334,7.582239
7,3.686000,1362.408176,0.021319,0.045353,3.779172,11.070317
8,3.688000,1840.700408,0.033424,0.052911,3.778940,15.152110
9,3.690000,2382.764937,0.049383,0.060469,3.778629,19.778141
10,3.692000,3023.386654,0.069810,0.068026,3.778224,25.245270
11,3.694000,3710.388223,0.095250,0.075582,3.777716,31.108209
12,3.696000,4420.579719,0.125963,0.083137,3.777098,37.169052
13,3.698000,5119.176252,0.161992,0.090690,3.776369,43.130944
14,3.700000,5736.608042,0.202983,0.098242,3.775538,48.400167
15,3.702000,6206.204052,0.248068,0.105792,3.774621,52.407745
16,3.704000,6519.268058,0.296095,0.113340,3.773642,55.079464
17,3.706000,6629.420209,0.345707,0.120887,3.772631,56.019514
18,3.708000,6559.850429,0.395459,0.128431,3.771616,55.425798
19,3.710000,6304.761239,0.443973,0.135973,3.770627,53.248842
20,3.712000,5910.532490,0.490027,0.143513,3.769688,49.884455
21,3.714000,5420.645295,0.532737,0.151052,3.768819,45.703710
22,3.716000,4907.568174,0.571658,0.158589,3.768029,41.325060
23,3.718000,4400.288534,0.606727,0.166124,3.767318,36.995885
24,3.720000,3933.591265,0.638121,0.173658,3.766684,33.013045
25,3.722000,3548.058739,0.666300,0.181191,3.766117,29.722873
26,3.724000,3234.994732,0.691844,0.188723,3.765605,27.051154
27,3.726000,3052.374062,0.715519,0.196253,3.765131,25.492651
28,3.728000,2985.703024,0.738251,0.203783,3.764678,24.923674
29,3.730000,2997.297987,0.760774,0.211312,3.764228,25.022627
30,3.732000,3003.095468,0.783360,0.218840,3.763777,25.072103
31,3.734000,2974.108060,0.805855,0.226367,3.763328,24.824722
32,3.736000,2907.437022,0.827988,0.233893,3.762886,24.255744
33,3.738000,2817.576057,0.849529,0.241419,3.762457,23.488862
34,3.740000,2779.892427,0.870588,0.248943,3.762037,23.167266
35,3.742000,2913.234504,0.892005,0.256467,3.761611,24.305221
36,3.744000,3220.501028,0.915076,0.263990,3.761149,26.927463
37,3.746000,3658.210889,0.940946,0.271511,3.760629,30.662922
38,3.748000,4203.174159,0.970507,0.279032,3.760032,35.313692
39,3.750000,4774.226097,1.004259,0.286551,3.759348,40.187105
40,3.752000,5409.050332,1.042538,0.294069,3.758569,45.604757
41,3.754000,6197.507830,1.086156,0.301586,3.757678,52.333531
42,3.756000,7070.028810,1.136004,0.309100,3.756657,59.779711
43,3.758000,8052.701941,1.192806,0.316612,3.755491,68.165939
44,3.760000,9038.273813,1.256979,0.324122,3.754170,76.576906
45,3.762000,9994.858277,1.328418,0.331629,3.752697,84.740492
46,3.764000,10844.189331,1.406603,0.339132,3.751082,91.988766
47,3.766000,11603.659421,1.490786,0.346633,3.749342,98.470158
48,3.768000,12293.559731,1.580362,0.354130,3.747487,104.357835
49,3.770000,12902.295299,1.674758,0.361623,3.745531,109.552844
50,3.772000,13426.967384,1.773348,0.369112,3.743485,114.030447
51,3.774000,13835.689836,1.875376,0.376597,3.741367,117.518525
52,3.776000,14102.373990,1.979872,0.384077,3.739196,119.794433
53,3.778000,14203.829918,2.085683,0.391553,3.736995,120.660268
54,3.780000,14157.450065,2.191638,0.399025,3.734791,120.264458
55,3.782000,13945.841987,2.296567,0.406493,3.732606,118.458574
56,3.784000,13595.094350,2.399338,0.413956,3.730466,115.465259
57,3.786000,13151.587008,2.499088,0.421414,3.728388,111.680324
58,3.788000,12702.282184,2.595456,0.428869,3.726380,107.845913
59,3.790000,12284.863509,2.688543,0.436320,3.724440,104.283621
60,3.792000,11937.014613,2.778734,0.443767,3.722560,101.315044
61,3.794000,11664.532978,2.866571,0.451210,3.720729,98.989659
62,3.796000,11418.140010,2.952435,0.458650,3.718938,96.886918
63,3.798000,11186.240746,3.036479,0.466086,3.717185,94.907867
64,3.800000,10939.847778,3.118707,0.473519,3.715469,92.805125
65,3.802000,10632.581253,3.198841,0.480948,3.713797,90.182882
66,3.804000,10307.922283,3.276593,0.488374,3.712174,87.412211
67,3.806000,9945.579683,3.351762,0.495797,3.710606,84.319943
68,3.808000,9565.844639,3.424147,0.503216,3.709095,81.079247
69,3.810000,9171.615890,3.493633,0.510633,3.707645,77.714861
70,3.812000,8774.488400,3.560158,0.518047,3.706257,74.325736
71,3.814000,8470.120616,3.624060,0.525458,3.704924,71.728231
72,3.816000,8232.423871,3.685931,0.532867,3.703634,69.699704
73,3.818000,8142.562906,3.746568,0.540273,3.702370,68.932822
74,3.820000,8162.854092,3.806926,0.547676,3.701110,69.105989
75,3.822000,8342.576021,3.868004,0.555077,3.699836,70.639753
76,3.824000,8675.931213,3.930958,0.562476,3.698521,73.484639
77,3.826000,9122.337296,3.996773,0.569871,3.697144,77.294312
78,3.828000,9658.604344,4.066195,0.577264,3.695691,81.870868
79,3.830000,10226.757541,4.139669,0.584654,3.694151,86.719543
80,3.832000,10786.214515,4.217276,0.592041,3.692523,91.494003
81,3.834000,11339.874008,4.298958,0.599424,3.690807,96.218988
82,3.836000,11876.141056,4.384623,0.606804,3.689006,100.795543
83,3.838000,12342.838325,4.473943,0.614180,3.687126,104.778384
84,3.840000,12766.054481,4.566498,0.621552,3.685177,108.390152
85,3.842000,13137.093304,4.661929,0.628921,3.683165,111.556633
86,3.844000,13418.271161,4.759709,0.636285,3.681102,113.956233
87,3.846000,13647.271684,4.859312,0.643645,3.678999,115.910546
88,3.848000,13850.183540,4.960445,0.651001,3.676862,117.642215
89,3.850000,14006.715544,5.062841,0.658352,3.674697,118.978075
90,3.852000,14099.475249,5.166092,0.665700,3.672512,119.769695
91,3.854000,14067.589100,5.269505,0.673042,3.670323,119.497576
92,3.856000,13954.538209,5.372325,0.680381,3.668145,118.532788
93,3.858000,13792.208724,5.474074,0.687715,3.665988,117.147453
94,3.860000,13595.094350,5.574447,0.695045,3.663860,115.465259
95,3.862000,13406.676198,5.673349,0.702370,3.661762,113.857280
96,3.864000,13171.878193,5.770646,0.709692,3.659697,111.853491
97,3.866000,12931.282707,5.866150,0.717009,3.657670,109.800226
98,3.868000,12615.319960,5.959566,0.724323,3.655686,107.103769
99,3.870000,12203.698766,6.050273,0.731632,3.653759,103.590953
100,3.872000,11734.102757,6.137714,0.738938,3.651901,99.583375
101,3.874000,11223.924376,6.221535,0.746240,3.650121,95.229462
102,3.876000,10676.062365,6.301454,0.753538,3.648423,90.553954
103,3.878000,10084.719242,6.377182,0.760834,3.646814,85.507374
104,3.880000,9481.781155,6.448523,0.768126,3.645299,80.361841
105,3.882000,8907.830477,6.515546,0.775415,3.643877,75.463690
