[N02-CD-2024-T4-NU-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.809423,1.648387
2,0.002000,74.975037,0.000286,0.007619,3.809436,2.312853
3,0.004000,184.553937,0.001274,0.015238,3.809436,3.283996
4,0.006000,346.038632,0.003296,0.022857,3.809414,4.715154
5,0.008000,582.498363,0.006833,0.030475,3.809361,6.810778
6,0.010000,842.027336,0.012259,0.038094,3.809269,9.110853
7,0.012000,1136.160173,0.019794,0.045712,3.809134,11.717605
8,0.014000,1473.547838,0.029735,0.053330,3.808949,14.707702
9,0.016000,1848.423022,0.042388,0.060948,3.808709,18.030033
10,0.018000,2214.647240,0.057862,0.068565,3.808410,21.275695
11,0.020000,2537.616630,0.075960,0.076182,3.808058,24.138010
12,0.022000,2745.239808,0.096076,0.083797,3.807664,25.978070
13,0.024000,2782.727327,0.117124,0.091412,3.807251,26.310303
14,0.026000,2650.079185,0.137807,0.099026,3.806846,25.134710
15,0.028000,2387.666556,0.156984,0.106640,3.806471,22.809078
16,0.030000,2035.860614,0.173821,0.114252,3.806144,19.691198
17,0.032000,1669.636396,0.187924,0.121864,3.805874,16.445537
18,0.034000,1340.899696,0.199382,0.129476,3.805658,13.532108
19,0.036000,1072.719757,0.208567,0.137087,3.805489,11.155364
20,0.038000,876.631200,0.215985,0.144698,3.805356,9.417530
21,0.040000,784.354231,0.222305,0.152309,3.805245,8.599725
22,0.042000,787.237886,0.228286,0.159919,3.805142,8.625282
23,0.044000,891.049476,0.234672,0.167529,3.805030,9.545312
24,0.046000,1087.138034,0.242199,0.175139,3.804895,11.283146
25,0.048000,1349.550662,0.251470,0.182749,3.804724,13.608778
26,0.050000,1609.079636,0.262726,0.190358,3.804512,15.908853
27,0.052000,1747.495088,0.275496,0.197967,3.804269,17.135559
28,0.054000,1744.611433,0.288780,0.205575,3.804015,17.110003
29,0.056000,1531.220944,0.301241,0.213183,3.803779,15.218830
30,0.058000,1193.833278,0.311607,0.220790,3.803585,12.228733
31,0.060000,853.561957,0.319394,0.228397,3.803444,9.213079
32,0.062000,663.240710,0.325163,0.236004,3.803345,7.526357
33,0.064000,692.077263,0.330318,0.243611,3.803259,7.781921
34,0.066000,968.908168,0.336635,0.251217,3.803148,10.235334
35,0.068000,1456.245907,0.345858,0.258823,3.802978,14.554364
36,0.070000,2032.976959,0.359127,0.266429,3.802725,19.665642
37,0.072000,2635.660908,0.376879,0.274034,3.802379,25.006928
38,0.074000,3229.693892,0.399180,0.281638,3.801940,30.271544
39,0.076000,3817.959565,0.425973,0.289242,3.801408,35.485047
40,0.078000,4371.621375,0.457102,0.296844,3.800786,40.391874
41,0.080000,4815.704285,0.492018,0.304445,3.800087,44.327558
42,0.082000,5115.604432,0.529754,0.312044,3.799329,46.985423
43,0.084000,5225.183332,0.569038,0.319642,3.798540,47.956566
44,0.086000,5135.790019,0.608390,0.327238,3.797749,47.164318
45,0.088000,4957.003393,0.646716,0.334833,3.796978,45.579821
46,0.090000,4798.402354,0.683754,0.342426,3.796234,44.174220
47,0.092000,4772.449456,0.720083,0.350018,3.795505,43.944213
48,0.094000,4922.399530,0.756877,0.357608,3.794766,45.273145
