[N02-CD-HDPE-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,4.090326,26.474954
2,0.020000,-10.295220,-0.000421,0.081809,4.090539,26.117667
3,0.040000,-14.413308,-0.001432,0.163622,4.090775,25.974752
4,0.060000,-10.295220,-0.002443,0.245440,4.091011,26.117667
5,0.080000,-12.354264,-0.003369,0.327262,4.091244,26.046210
6,0.100000,0.000000,-0.003875,0.409089,4.091460,26.474954
7,0.120000,-4.118088,-0.004043,0.490920,4.091663,26.332039
8,0.140000,-6.177132,-0.004464,0.572756,4.091875,26.260582
9,0.160000,-10.295220,-0.005139,0.654596,4.092098,26.117667
10,0.180000,-6.177132,-0.005813,0.736440,4.092321,26.260582
11,0.200000,-8.236176,-0.006402,0.818288,4.092540,26.189125
12,0.220000,-6.177132,-0.006992,0.900141,4.092759,26.260582
13,0.240000,-12.354264,-0.007751,0.981999,4.092985,26.046210
14,0.260000,-4.118088,-0.008425,1.063861,4.093208,26.332039
15,0.280000,0.000000,-0.008594,1.145727,4.093411,26.474954
16,0.300000,-14.413308,-0.009184,1.227597,4.093630,25.974752
17,0.320000,-8.236176,-0.010111,1.309472,4.093863,26.189125
18,0.340000,0.000000,-0.010448,1.391352,4.094072,26.474954
19,0.360000,-4.118088,-0.010617,1.473235,4.094275,26.332039
20,0.380000,-6.177132,-0.011038,1.555123,4.094488,26.260582
21,0.400000,-2.059044,-0.011375,1.637015,4.094697,26.403497
22,0.420000,-8.236176,-0.011797,1.718911,4.094910,26.189125
23,0.440000,-4.118088,-0.012303,1.800811,4.095126,26.332039
24,0.460000,2.059044,-0.012387,1.882716,4.095325,26.546411
25,0.480000,-10.295220,-0.012725,1.964624,4.095535,26.117667
26,0.500000,-10.295220,-0.013568,2.046537,4.095764,26.117667
27,0.520000,-8.236176,-0.014327,2.128455,4.095990,26.189125
28,0.540000,-14.413308,-0.015255,2.210377,4.096223,25.974752
29,0.560000,-6.177132,-0.016098,2.292304,4.096452,26.260582
30,0.580000,-2.059044,-0.016435,2.374235,4.096662,26.403497
31,0.600000,2.059044,-0.016435,2.456170,4.096858,26.546411
32,0.620000,-16.472352,-0.017026,2.538109,4.097077,25.903295
33,0.640000,-4.118088,-0.017870,2.620053,4.097306,26.332039
34,0.660000,-8.236176,-0.018376,2.702001,4.097523,26.189125
35,0.680000,-4.118088,-0.018882,2.783954,4.097739,26.332039
36,0.700000,4.118088,-0.018882,2.865911,4.097935,26.617869
37,0.720000,-8.236176,-0.019051,2.947871,4.098137,26.189125
38,0.740000,-10.295220,-0.019810,3.029836,4.098363,26.117667
39,0.760000,-8.236176,-0.020570,3.111806,4.098590,26.189125
40,0.780000,-4.118088,-0.021076,3.193780,4.098806,26.332039
41,0.800000,-16.472352,-0.021920,3.275758,4.099035,25.903295
42,0.820000,-10.295220,-0.023017,3.357741,4.099274,26.117667
43,0.840000,-4.118088,-0.023608,3.439729,4.099494,26.332039
44,0.860000,2.059044,-0.023693,3.521721,4.099693,26.546411
45,0.880000,-8.236176,-0.023946,3.603717,4.099899,26.189125
46,0.900000,-14.413308,-0.024875,3.685717,4.100132,25.974752
47,0.920000,-20.590440,-0.026310,3.767722,4.100384,25.760380
48,0.940000,-12.354264,-0.027661,3.849733,4.100634,26.046210
49,0.960000,-2.059044,-0.028252,3.931747,4.100853,26.403497
50,0.980000,-10.295220,-0.028758,4.013767,4.101069,26.117667
51,1.000000,0.000000,-0.029181,4.095790,4.101282,26.474954
52,1.020000,-8.236176,-0.029518,4.177818,4.101491,26.189125
53,1.040000,-2.059044,-0.029941,4.259850,4.101704,26.403497
54,1.060000,-12.354264,-0.030532,4.341886,4.101923,26.046210
55,1.080000,-12.354264,-0.031545,4.423927,4.102159,26.046210
56,1.100000,-2.059044,-0.032137,4.505972,4.102379,26.403497
57,1.120000,-6.177132,-0.032475,4.588022,4.102588,26.260582
58,1.140000,-4.118088,-0.032897,4.670076,4.102801,26.332039
59,1.160000,-8.236176,-0.033404,4.752134,4.103017,26.189125
60,1.180000,-8.236176,-0.034080,4.834197,4.103239,26.189125
61,1.200000,-10.295220,-0.034840,4.916264,4.103466,26.117667
62,1.220000,0.000000,-0.035263,4.998335,4.103678,26.474954
63,1.240000,-12.354264,-0.035770,5.080411,4.103894,26.046210
64,1.260000,-10.295220,-0.036699,5.162491,4.104127,26.117667
65,1.280000,-8.236176,-0.037460,5.244576,4.104353,26.189125
66,1.300000,-8.236176,-0.038136,5.326665,4.104576,26.189125
67,1.320000,-4.118088,-0.038643,5.408759,4.104792,26.332039
68,1.340000,-2.059044,-0.038896,5.490857,4.104998,26.403497
69,1.360000,-8.236176,-0.039319,5.572959,4.105211,26.189125
70,1.380000,-2.059044,-0.039742,5.655065,4.105423,26.403497
71,1.400000,0.000000,-0.039826,5.737176,4.105623,26.474954
72,1.420000,-6.177132,-0.040080,5.819290,4.105829,26.260582
73,1.440000,-12.354264,-0.040841,5.901409,4.106055,26.046210
74,1.460000,0.000000,-0.041348,5.983532,4.106271,26.474954
75,1.480000,-12.354264,-0.041855,6.065660,4.106487,26.046210
76,1.500000,-8.236176,-0.042701,6.147792,4.106716,26.189125
77,1.520000,-4.118088,-0.043208,6.229928,4.106932,26.332039
78,1.540000,-12.354264,-0.043885,6.312069,4.107155,26.046210
79,1.560000,-8.236176,-0.044731,6.394214,4.107384,26.189125
80,1.580000,-4.118088,-0.045238,6.476364,4.107600,26.332039
81,1.600000,-8.236176,-0.045745,6.558519,4.107816,26.189125
82,1.620000,-2.059044,-0.046168,6.640677,4.108029,26.403497
83,1.640000,-6.177132,-0.046507,6.722840,4.108239,26.260582
84,1.660000,-12.354264,-0.047268,6.805007,4.108465,26.046210
85,1.680000,-12.354264,-0.048283,6.887178,4.108701,26.046210
86,1.700000,-10.295220,-0.049214,6.969355,4.108933,26.117667
87,1.720000,0.000000,-0.049637,7.051535,4.109146,26.474954
88,1.740000,0.000000,-0.049637,7.133720,4.109342,26.474954
89,1.760000,-8.236176,-0.049975,7.215909,4.109552,26.189125
90,1.780000,-2.059044,-0.050398,7.298102,4.109764,26.403497
91,1.800000,-12.354264,-0.050991,7.380300,4.109984,26.046210
92,1.820000,-14.413308,-0.052091,7.462502,4.110223,25.974752
93,1.840000,-12.354264,-0.053191,7.544709,4.110462,26.046210
94,1.860000,-10.295220,-0.054122,7.626920,4.110695,26.117667
