[N02-CD-HDPE-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,4.100301,26.617869
2,0.020000,22.649484,0.000929,0.082008,4.100461,27.403900
3,0.040000,10.295220,0.002280,0.164018,4.100604,26.975156
4,0.060000,8.236176,0.003040,0.246032,4.100770,26.903698
5,0.080000,8.236176,0.003715,0.328049,4.100939,26.903698
6,0.100000,4.118088,0.004222,0.410070,4.101116,26.760783
7,0.120000,16.472352,0.005066,0.492094,4.101279,27.189528
8,0.140000,12.354264,0.006248,0.574121,4.101428,27.046613
9,0.160000,14.413308,0.007346,0.656151,4.101581,27.118070
10,0.180000,4.118088,0.008106,0.738184,4.101747,26.760783
11,0.200000,12.354264,0.008782,0.820221,4.101917,27.046613
12,0.220000,6.177132,0.009542,0.902261,4.102083,26.832241
13,0.240000,6.177132,0.010049,0.984304,4.102259,26.832241
14,0.260000,12.354264,0.010809,1.066351,4.102426,27.046613
15,0.280000,14.413308,0.011907,1.148401,4.102579,27.118070
16,0.300000,12.354264,0.013006,1.230454,4.102732,27.046613
17,0.320000,8.236176,0.013850,1.312510,4.102895,26.903698
18,0.340000,12.354264,0.014695,1.394570,4.103058,27.046613
19,0.360000,2.059044,0.015287,1.476633,4.103230,26.689326
20,0.380000,8.236176,0.015709,1.558699,4.103410,26.903698
21,0.400000,2.059044,0.016131,1.640769,4.103590,26.689326
22,0.420000,-2.059044,0.016131,1.722843,4.103786,26.546411
23,0.440000,10.295220,0.016469,1.804920,4.103969,26.975156
24,0.460000,12.354264,0.017399,1.887001,4.104128,27.046613
25,0.480000,8.236176,0.018244,1.969086,4.104291,26.903698
26,0.500000,18.531396,0.019343,2.051173,4.104444,27.260985
27,0.520000,12.354264,0.020610,2.133263,4.104590,27.046613
28,0.540000,10.295220,0.021540,2.215357,4.104750,26.975156
29,0.560000,10.295220,0.022385,2.297453,4.104913,26.975156
30,0.580000,16.472352,0.023484,2.379553,4.105066,27.189528
31,0.600000,2.059044,0.024245,2.461656,4.105232,26.689326
32,0.620000,0.000000,0.024329,2.543763,4.105425,26.617869
33,0.640000,12.354264,0.024837,2.625873,4.105601,27.046613
34,0.660000,14.413308,0.025936,2.707986,4.105754,27.118070
35,0.680000,8.236176,0.026866,2.790103,4.105914,26.903698
36,0.700000,4.118088,0.027373,2.872223,4.106090,26.760783
37,0.720000,14.413308,0.028134,2.954347,4.106256,27.118070
38,0.740000,18.531396,0.029487,3.036473,4.106399,27.260985
39,0.760000,4.118088,0.030417,3.118603,4.106559,26.760783
40,0.780000,6.177132,0.030839,3.200736,4.106738,26.832241
41,0.800000,8.236176,0.031431,3.282872,4.106911,26.903698
42,0.820000,4.118088,0.031939,3.365012,4.107087,26.760783
43,0.840000,6.177132,0.032362,3.447156,4.107267,26.832241
44,0.860000,10.295220,0.033038,3.529303,4.107437,26.975156
45,0.880000,6.177132,0.033715,3.611453,4.107606,26.832241
46,0.900000,-2.059044,0.033884,3.693607,4.107796,26.546411
47,0.920000,2.059044,0.033884,3.775765,4.107992,26.689326
48,0.940000,0.000000,0.033969,3.857927,4.108185,26.617869
49,0.960000,2.059044,0.034053,3.940093,4.108377,26.689326
50,0.980000,2.059044,0.034222,4.022262,4.108567,26.689326
51,1.000000,2.059044,0.034392,4.104435,4.108756,26.689326
52,1.020000,2.059044,0.034561,4.186612,4.108946,26.689326
53,1.040000,4.118088,0.034815,4.268793,4.109132,26.760783
54,1.060000,8.236176,0.035322,4.350977,4.109308,26.903698
55,1.080000,10.295220,0.036084,4.433165,4.109475,26.975156
56,1.100000,12.354264,0.037015,4.515356,4.109634,27.046613
57,1.120000,10.295220,0.037945,4.597551,4.109794,26.975156
58,1.140000,8.236176,0.038707,4.679748,4.109960,26.903698
59,1.160000,14.413308,0.039638,4.761949,4.110120,27.118070
60,1.180000,8.236176,0.040569,4.844153,4.110279,26.903698
61,1.200000,10.295220,0.041331,4.926360,4.110445,26.975156
62,1.220000,10.295220,0.042177,5.008571,4.110608,26.975156
63,1.240000,12.354264,0.043108,5.090785,4.110768,27.046613
64,1.260000,10.295220,0.044039,5.173001,4.110928,26.975156
65,1.280000,8.236176,0.044801,5.255222,4.111094,26.903698
66,1.300000,4.118088,0.045309,5.337445,4.111270,26.760783
67,1.320000,6.177132,0.045732,5.419673,4.111450,26.832241
68,1.340000,10.295220,0.046409,5.501903,4.111619,26.975156
69,1.360000,10.295220,0.047256,5.584137,4.111782,26.975156
