[N02-CD-HDPE-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,4.103637,26.546411
2,0.020000,6.177132,0.000253,0.082075,4.103823,26.760783
3,0.040000,-8.236176,0.000169,0.164153,4.104022,26.260582
4,0.060000,6.177132,0.000084,0.246235,4.104222,26.760783
5,0.080000,-12.354264,-0.000169,0.328322,4.104428,26.117667
6,0.100000,4.118088,-0.000507,0.410413,4.104637,26.689326
7,0.120000,-4.118088,-0.000507,0.492507,4.104833,26.403497
8,0.140000,-2.059044,-0.000761,0.574606,4.105040,26.474954
9,0.160000,-6.177132,-0.001099,0.656709,4.105249,26.332039
10,0.180000,-8.236176,-0.001691,0.738816,4.105468,26.260582
11,0.200000,-4.118088,-0.002198,0.820928,4.105684,26.403497
12,0.220000,-4.118088,-0.002536,0.903043,4.105894,26.403497
13,0.240000,-6.177132,-0.002959,0.985163,4.106107,26.332039
14,0.260000,-2.059044,-0.003297,1.067288,4.106316,26.474954
15,0.280000,-8.236176,-0.003720,1.149416,4.106529,26.260582
16,0.300000,-6.177132,-0.004311,1.231549,4.106748,26.332039
17,0.320000,0.000000,-0.004565,1.313686,4.106954,26.546411
18,0.340000,-6.177132,-0.004819,1.395827,4.107160,26.332039
19,0.360000,-10.295220,-0.005495,1.477972,4.107383,26.189125
20,0.380000,6.177132,-0.005665,1.560122,4.107586,26.760783
21,0.400000,-6.177132,-0.005665,1.642276,4.107782,26.332039
22,0.420000,4.118088,-0.005749,1.724433,4.107981,26.689326
23,0.440000,-6.177132,-0.005834,1.806595,4.108181,26.332039
24,0.460000,2.059044,-0.006003,1.888761,4.108384,26.617869
25,0.480000,0.000000,-0.005918,1.970930,4.108576,26.546411
26,0.500000,0.000000,-0.005918,2.053104,4.108772,26.546411
27,0.520000,-4.118088,-0.006088,2.135281,4.108975,26.403497
28,0.540000,-2.059044,-0.006341,2.217463,4.109181,26.474954
29,0.560000,0.000000,-0.006426,2.299648,4.109381,26.546411
30,0.580000,-2.059044,-0.006511,2.381838,4.109580,26.474954
31,0.600000,8.236176,-0.006257,2.464032,4.109766,26.832241
32,0.620000,-6.177132,-0.006172,2.546229,4.109959,26.332039
33,0.640000,-8.236176,-0.006764,2.628430,4.110179,26.260582
34,0.660000,-4.118088,-0.007272,2.710636,4.110395,26.403497
35,0.680000,2.059044,-0.007357,2.792846,4.110594,26.617869
36,0.700000,-4.118088,-0.007442,2.875060,4.110794,26.403497
37,0.720000,-2.059044,-0.007695,2.957278,4.111000,26.474954
38,0.740000,0.000000,-0.007780,3.039500,4.111199,26.546411
39,0.760000,8.236176,-0.007442,3.121725,4.111382,26.832241
40,0.780000,-8.236176,-0.007442,3.203955,4.111578,26.260582
41,0.800000,-4.118088,-0.007949,3.286189,4.111794,26.403497
42,0.820000,-14.413308,-0.008712,3.368427,4.112020,26.046210
43,0.840000,-8.236176,-0.009643,3.450670,4.112253,26.260582
44,0.860000,4.118088,-0.009812,3.532917,4.112456,26.689326
45,0.880000,-2.059044,-0.009728,3.615168,4.112648,26.474954
46,0.900000,2.059044,-0.009728,3.697423,4.112845,26.617869
47,0.920000,-2.059044,-0.009728,3.779682,4.113041,26.474954
48,0.940000,-6.177132,-0.010066,3.861944,4.113250,26.332039
49,0.960000,2.059044,-0.010236,3.944211,4.113453,26.617869
50,0.980000,-4.118088,-0.010320,4.026483,4.113652,26.403497
51,1.000000,4.118088,-0.010320,4.108758,4.113848,26.689326
52,1.020000,0.000000,-0.010151,4.191036,4.114038,26.546411
53,1.040000,-8.236176,-0.010490,4.273319,4.114247,26.260582
54,1.060000,-4.118088,-0.010998,4.355606,4.114463,26.403497
55,1.080000,-4.118088,-0.011337,4.437898,4.114673,26.403497
56,1.100000,-10.295220,-0.011930,4.520193,4.114892,26.189125
57,1.120000,-4.118088,-0.012523,4.602493,4.115112,26.403497
58,1.140000,2.059044,-0.012608,4.684798,4.115311,26.617869
59,1.160000,0.000000,-0.012523,4.767106,4.115504,26.546411
60,1.180000,-2.059044,-0.012608,4.849418,4.115703,26.474954
61,1.200000,-4.118088,-0.012862,4.931734,4.115909,26.403497
62,1.220000,-4.118088,-0.013201,5.014054,4.116119,26.403497
63,1.240000,-4.118088,-0.013540,5.096379,4.116328,26.403497
64,1.260000,-8.236176,-0.014049,5.178707,4.116544,26.260582
65,1.280000,-10.295220,-0.014812,5.261041,4.116770,26.189125
66,1.300000,0.000000,-0.015235,5.343378,4.116983,26.546411
67,1.320000,-8.236176,-0.015575,5.425720,4.117192,26.260582
68,1.340000,-8.236176,-0.016253,5.508066,4.117415,26.260582
69,1.360000,2.059044,-0.016507,5.590416,4.117621,26.617869
70,1.380000,0.000000,-0.016422,5.672771,4.117814,26.546411
71,1.400000,2.059044,-0.016338,5.755129,4.118007,26.617869
72,1.420000,0.000000,-0.016253,5.837491,4.118200,26.546411
73,1.440000,4.118088,-0.016083,5.919857,4.118389,26.689326
74,1.460000,10.295220,-0.015490,6.002226,4.118562,26.903698
75,1.480000,0.000000,-0.015066,6.084599,4.118742,26.546411
76,1.500000,2.059044,-0.014981,6.166976,4.118934,26.617869
77,1.520000,4.118088,-0.014726,6.249357,4.119121,26.689326
78,1.540000,-2.059044,-0.014641,6.331741,4.119313,26.474954
79,1.560000,-2.059044,-0.014811,6.414129,4.119516,26.474954
