[N02-CD-PMMA-100C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.853014,216.604329
2,0.020000,4.143160,0.000160,0.077062,3.853203,216.745004
3,0.040000,-14.501060,-0.000239,0.154128,3.853416,216.111966
4,0.060000,2.071580,-0.000718,0.231199,3.853632,216.674666
5,0.080000,-4.143160,-0.000798,0.308274,3.853832,216.463654
6,0.100000,4.143160,-0.000798,0.385352,3.854028,216.745004
7,0.120000,6.214741,-0.000399,0.462434,3.854208,216.815341
8,0.140000,-4.143160,-0.000319,0.539521,3.854400,216.463654
9,0.160000,-2.071580,-0.000559,0.616611,3.854606,216.533991
10,0.180000,0.000000,-0.000639,0.693705,3.854806,216.604329
11,0.200000,2.071580,-0.000559,0.770803,3.854999,216.674666
12,0.220000,0.000000,-0.000479,0.847905,3.855192,216.604329
13,0.240000,-6.214740,-0.000719,0.925011,3.855398,216.393316
14,0.260000,4.143160,-0.000798,1.002121,3.855597,216.745004
15,0.280000,-6.214740,-0.000878,1.079234,3.855797,216.393316
16,0.300000,8.286321,-0.000798,1.156352,3.855989,216.885679
17,0.320000,8.286321,-0.000159,1.233474,3.856159,216.885679
18,0.340000,4.143160,0.000320,1.310599,3.856335,216.745004
19,0.360000,4.143160,0.000640,1.387727,3.856518,216.745004
20,0.380000,-12.429480,0.000320,1.464860,3.856727,216.182304
21,0.400000,12.429481,0.000320,1.541996,3.856923,217.026354
22,0.420000,0.000000,0.000799,1.619136,3.857099,216.604329
23,0.440000,-2.071580,0.000719,1.696280,3.857299,216.533991
24,0.460000,12.429481,0.001119,1.773428,3.857478,217.026354
25,0.480000,-2.071580,0.001519,1.850580,3.857658,216.533991
26,0.500000,10.357901,0.001838,1.927735,3.857841,216.956016
27,0.520000,4.143160,0.002398,2.004893,3.858013,216.745004
28,0.540000,-10.357900,0.002158,2.082055,3.858219,216.252641
29,0.560000,8.286321,0.002078,2.159222,3.858419,216.885679
30,0.580000,-4.143160,0.002238,2.236392,3.858608,216.463654
31,0.600000,8.286321,0.002398,2.313566,3.858798,216.885679
32,0.620000,6.214741,0.002957,2.390744,3.858971,216.815341
33,0.640000,-8.286320,0.002877,2.467925,3.859170,216.322979
34,0.660000,2.071580,0.002638,2.545111,3.859376,216.674666
35,0.680000,-2.071580,0.002638,2.622300,3.859572,216.533991
36,0.700000,16.572641,0.003197,2.699493,3.859745,217.167029
37,0.720000,6.214741,0.004077,2.776690,3.859904,216.815341
38,0.740000,-14.501060,0.003757,2.853890,3.860114,216.111966
39,0.760000,18.644221,0.003917,2.931094,3.860303,217.237366
40,0.780000,0.000000,0.004637,3.008302,3.860469,216.604329
41,0.800000,10.357901,0.005036,3.085513,3.860649,216.956016
42,0.820000,-4.143160,0.005276,3.162728,3.860835,216.463654
43,0.840000,4.143160,0.005276,3.239947,3.861031,216.745004
44,0.860000,4.143160,0.005596,3.317169,3.861214,216.745004
45,0.880000,2.071580,0.005836,3.394395,3.861400,216.674666
46,0.900000,-6.214740,0.005676,3.471625,3.861603,216.393316
47,0.920000,10.357901,0.005836,3.548859,3.861792,216.956016
48,0.940000,-2.071580,0.006156,3.626097,3.861975,216.533991
49,0.960000,10.357901,0.006476,3.703338,3.862158,216.956016
