[N02-CD-PMMA-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.863331,214.353529
2,0.020000,-24.858961,-0.000960,0.077269,3.863567,213.509479
3,0.040000,-18.644221,-0.002641,0.154543,3.863833,213.720491
4,0.060000,-20.715801,-0.004162,0.231822,3.864093,213.650154
5,0.080000,-14.501061,-0.005523,0.309107,3.864346,213.861166
6,0.100000,-10.357900,-0.006484,0.386396,3.864582,214.001841
7,0.120000,-12.429481,-0.007364,0.463690,3.864815,213.931504
8,0.140000,-0.000000,-0.007845,0.540988,3.865031,214.353529
9,0.160000,-14.501061,-0.008405,0.618291,3.865251,213.861166
10,0.180000,-12.429481,-0.009446,0.695599,3.865490,213.931504
11,0.200000,-10.357900,-0.010327,0.772911,3.865723,214.001841
12,0.220000,-18.644221,-0.011448,0.850228,3.865966,213.720491
13,0.240000,-20.715801,-0.012970,0.927549,3.866225,213.650154
14,0.260000,-8.286320,-0.014091,1.004876,3.866468,214.072179
15,0.280000,-14.501061,-0.014972,1.082208,3.866701,213.861166
16,0.300000,-12.429481,-0.016014,1.159545,3.866941,213.931504
17,0.320000,-18.644221,-0.017215,1.236886,3.867187,213.720491
18,0.340000,-10.357900,-0.018337,1.314232,3.867430,214.001841
19,0.360000,-4.143160,-0.018898,1.391583,3.867649,214.212854
20,0.380000,-6.214740,-0.019298,1.468938,3.867862,214.142516
21,0.400000,-8.286320,-0.019859,1.546297,3.868082,214.072179
22,0.420000,-4.143160,-0.020340,1.623661,3.868298,214.212854
23,0.440000,-16.572641,-0.021141,1.701029,3.868528,213.790829
24,0.460000,-6.214740,-0.022023,1.778402,3.868760,214.142516
25,0.480000,-10.357900,-0.022664,1.855780,3.868983,214.001841
26,0.500000,-10.357900,-0.023466,1.933162,3.869213,214.001841
27,0.520000,-8.286320,-0.024187,2.010548,3.869439,214.072179
28,0.540000,-12.429481,-0.024989,2.087939,3.869669,213.931504
29,0.560000,-20.715801,-0.026271,2.165335,3.869918,213.650154
30,0.580000,-26.930541,-0.028115,2.242736,3.870191,213.439141
31,0.600000,-22.787381,-0.030040,2.320143,3.870467,213.579816
32,0.620000,-10.357900,-0.031322,2.397555,3.870717,214.001841
33,0.640000,-14.501061,-0.032285,2.474971,3.870953,213.861166
34,0.660000,-8.286320,-0.033167,2.552393,3.871186,214.072179
35,0.680000,-6.214740,-0.033728,2.629819,3.871406,214.142516
36,0.700000,-16.572641,-0.034610,2.707249,3.871638,213.790829
37,0.720000,-12.429481,-0.035733,2.784684,3.871881,213.931504
38,0.740000,-14.501061,-0.036776,2.862124,3.872121,213.861166
39,0.760000,-10.357900,-0.037739,2.939569,3.872357,214.001841
40,0.780000,-22.787381,-0.039022,3.017019,3.872607,213.579816
41,0.800000,-22.787381,-0.040787,3.094474,3.872876,213.579816
42,0.820000,-10.357900,-0.042071,3.171934,3.873126,214.001841
43,0.840000,-12.429481,-0.042954,3.249398,3.873359,213.931504
44,0.860000,-12.429481,-0.043916,3.326868,3.873595,213.931504
45,0.880000,-6.214740,-0.044639,3.404342,3.873821,214.142516
