[N02-c-2024-T4-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.799394,1.546162
2,0.002000,34.603863,0.000131,0.007599,3.799411,1.852838
3,0.004000,83.626003,0.000581,0.015198,3.799421,2.287297
4,0.006000,242.227042,0.001819,0.022796,3.799416,3.692898
5,0.008000,556.545466,0.004854,0.030395,3.799373,6.478545
6,0.010000,1038.115894,0.010912,0.037994,3.799268,10.746462
7,0.012000,1623.497912,0.021024,0.045592,3.799079,15.934409
8,0.014000,2200.228964,0.035550,0.053190,3.798799,21.045687
9,0.016000,2647.195529,0.053964,0.060787,3.798439,25.006928
10,0.018000,2941.328366,0.075190,0.068384,3.798022,27.613679
11,0.020000,3085.511129,0.098079,0.075979,3.797570,28.891499
12,0.022000,3073.976508,0.121468,0.083574,3.797107,28.789273
13,0.024000,2900.957192,0.144154,0.091168,3.796659,27.255890
14,0.026000,2543.383940,0.164824,0.098761,3.796253,24.086898
15,0.028000,2053.162546,0.182273,0.106353,3.795913,19.742311
16,0.030000,1479.315149,0.195681,0.113945,3.795656,14.656590
17,0.032000,925.653339,0.204810,0.121536,3.795487,9.749763
18,0.034000,516.174292,0.210282,0.129127,3.795394,6.120755
19,0.036000,343.154976,0.213543,0.136717,3.795346,4.587372
20,0.038000,458.501187,0.216586,0.144308,3.795303,5.609628
21,0.040000,772.819610,0.221259,0.151898,3.795227,8.395274
22,0.042000,1173.647691,0.228646,0.159489,3.795094,11.947612
23,0.044000,1565.824807,0.239043,0.167079,3.794899,15.423281
24,0.046000,1932.049025,0.252316,0.174668,3.794645,18.668943
25,0.048000,2246.367448,0.268171,0.182257,3.794338,21.454589
26,0.050000,2552.034906,0.286377,0.189846,3.793982,24.163567
27,0.052000,2837.516777,0.306824,0.197433,3.793579,26.693649
28,0.054000,3076.860163,0.329259,0.205020,3.793136,28.814830
29,0.056000,3212.391960,0.353113,0.212606,3.792664,30.015980
30,0.058000,3166.253476,0.377304,0.220191,3.792184,29.607078
31,0.060000,3001.885126,0.400693,0.227774,3.791721,28.150364
32,0.062000,2817.331190,0.422757,0.235357,3.791285,26.514755
33,0.064000,2676.032082,0.443583,0.242940,3.790875,25.262491
34,0.066000,2603.940701,0.463597,0.250521,3.790481,24.623582
35,0.068000,2647.195529,0.483501,0.258102,3.790090,25.006928
36,0.070000,2791.378292,0.504112,0.265681,3.789684,26.284747
37,0.072000,2952.862987,0.525880,0.273260,3.789254,27.715905
38,0.074000,3114.347682,0.548869,0.280838,3.788799,29.147063
39,0.076000,3264.297755,0.573034,0.288415,3.788319,30.475995
40,0.078000,3541.128660,0.598814,0.295992,3.787806,32.929408
41,0.080000,3982.327915,0.627309,0.303567,3.787237,36.839536
42,0.082000,4613.848417,0.659862,0.311140,3.786584,42.436386
43,0.084000,5346.296853,0.697572,0.318713,3.785824,48.927709
44,0.086000,6081.628945,0.740831,0.326284,3.784949,55.444588
45,0.088000,6655.476342,0.789034,0.333853,3.783972,60.530310
46,0.090000,6975.562075,0.840606,0.341419,3.782925,63.367069
47,0.092000,7053.420768,0.893669,0.348984,3.781847,64.057091
48,0.094000,6969.794765,0.946695,0.356547,3.780769,63.315956
49,0.096000,6770.822552,0.998638,0.364107,3.779713,61.552565
50,0.098000,6433.434887,1.048540,0.371666,3.778699,58.562468
51,0.100000,5951.864458,1.095335,0.379222,3.777750,54.294550
52,0.102000,5331.878577,1.137957,0.386777,3.776886,48.799927
53,0.104000,4763.798491,1.176084,0.394330,3.776116,43.765318
54,0.106000,4334.133857,1.210436,0.401881,3.775423,39.957416
55,0.108000,4169.765507,1.242539,0.409432,3.774778,38.500701
56,0.110000,4319.715581,1.274582,0.416980,3.774133,39.829634
57,0.112000,4709.009041,1.308654,0.424528,3.773446,43.279746
58,0.114000,5161.742917,1.345897,0.432074,3.772693,47.292100
59,0.116000,5591.407550,1.386461,0.439619,3.771871,51.100002
60,0.118000,5911.493284,1.429843,0.447162,3.770990,53.936761
61,0.120000,6162.371292,1.475368,0.454703,3.770065,56.160167
62,0.122000,6341.157918,1.522501,0.462242,3.769106,57.744663
63,0.124000,6453.620473,1.570719,0.469779,3.768125,58.741362
64,0.126000,6468.038750,1.619403,0.477314,3.767133,58.869144
65,0.128000,6349.808884,1.667684,0.484848,3.766149,57.821332
66,0.130000,6081.628945,1.714497,0.492379,3.765196,55.444588
67,0.132000,5721.172037,1.758931,0.499908,3.764292,52.250039
68,0.134000,5435.690166,1.800924,0.507436,3.763439,49.719957
69,0.136000,5314.576645,1.841378,0.514962,3.762617,48.646588
70,0.138000,5395.318993,1.881671,0.522487,3.761798,49.362167
71,0.140000,5626.011414,1.923126,0.530009,3.760955,51.406678
72,0.142000,5940.329837,1.966621,0.537530,3.760070,54.192325
73,0.144000,6260.415571,2.012491,0.545050,3.759135,57.029084
74,0.146000,6566.083028,2.060701,0.552567,3.758150,59.738062
75,0.148000,6880.401452,2.111228,0.560082,3.757118,62.523708
76,0.150000,7183.185254,2.164059,0.567595,3.756037,65.207129
77,0.152000,7517.689264,2.219267,0.575106,3.754906,68.171670
78,0.154000,7849.309619,2.276960,0.582615,3.753723,71.110655
79,0.156000,8149.209767,2.337004,0.590121,3.752490,73.768520
80,0.158000,8365.483911,2.398964,0.597625,3.751218,75.685249
81,0.160000,8449.109914,2.462028,0.605126,3.749921,76.426384
82,0.162000,8417.389706,2.525266,0.612624,3.748621,76.145264
83,0.164000,8293.392530,2.587897,0.620120,3.747333,75.046339
84,0.166000,8088.653006,2.649276,0.627614,3.746070,73.231835
85,0.168000,7832.007688,2.708906,0.635105,3.744844,70.957317
86,0.170000,7555.176783,2.766520,0.642593,3.743659,68.503903
87,0.172000,7252.392981,2.821946,0.650079,3.742520,65.820482
88,0.174000,6903.470694,2.874917,0.657563,3.741432,62.728159
89,0.176000,6508.409923,2.925090,0.665045,3.740402,59.226934
90,0.178000,6150.836671,2.972435,0.672525,3.739431,56.057941
91,0.180000,5931.678871,3.017611,0.680003,3.738505,54.115656
92,0.182000,5899.958663,3.061838,0.687479,3.737599,53.834535
93,0.184000,6070.094324,3.106572,0.694953,3.736682,55.342362
94,0.186000,6326.739642,3.152889,0.702426,3.735731,57.616881
95,0.188000,6571.850339,3.201068,0.709896,3.734741,59.789174
96,0.190000,6716.033102,3.250688,0.717365,3.733721,61.066994
97,0.192000,6733.335034,3.300898,0.724831,3.732688,61.220332
98,0.194000,6655.476342,3.350867,0.732295,3.731660,60.530310
99,0.196000,6511.293579,3.399994,0.739758,3.730649,59.252490
100,0.198000,6338.274263,3.447925,0.747218,3.729663,57.719107
101,0.200000,6116.232808,3.494370,0.754676,3.728708,55.751265
102,0.202000,5799.030729,3.538794,0.762133,3.727795,52.940062
103,0.204000,5450.108443,3.580724,0.769588,3.726934,49.847739
104,0.206000,5132.906364,3.620162,0.777041,3.726126,47.036536
105,0.208000,4931.050496,3.657657,0.784492,3.725358,45.247588
106,0.210000,4890.679322,3.694243,0.791942,3.724609,44.889799
107,0.212000,5011.792843,3.731122,0.799391,3.723853,45.963167
108,0.214000,5187.695814,3.769100,0.806838,3.723075,47.522107
109,0.216000,5369.366095,3.808400,0.814283,3.722268,49.132160
110,0.218000,5568.338308,3.849108,0.821727,3.721432,50.895551
111,0.220000,5752.892245,3.891235,0.829169,3.720565,52.531160
112,0.222000,5934.562526,3.934713,0.836609,3.719670,54.141212
113,0.224000,6072.977979,3.979372,0.844047,3.718750,55.367919
114,0.226000,6179.673224,4.024930,0.851484,3.717811,56.313505
115,0.228000,6228.695363,4.071056,0.858919,3.716860,56.747964
116,0.230000,6202.742466,4.117256,0.866351,3.715906,56.517956
117,0.232000,6098.930876,4.162963,0.873782,3.714963,55.597926
118,0.234000,5989.351976,4.207865,0.881211,3.714037,54.626784
119,0.236000,5885.540387,4.251963,0.888638,3.713127,53.706753
120,0.238000,5773.077832,4.295248,0.896064,3.712234,52.710054
121,0.240000,5660.615277,4.337687,0.903487,3.711359,51.713355
122,0.242000,5499.130582,4.379101,0.910909,3.710505,50.282197
123,0.244000,5265.554506,4.419039,0.918329,3.709682,48.212130
124,0.246000,5000.258222,4.457118,0.925748,3.708899,45.860942
125,0.248000,4717.660006,4.493157,0.933165,3.708158,43.356416
126,0.250000,4472.549309,4.527232,0.940581,3.707458,41.184122
127,0.252000,4299.529994,4.559752,0.947995,3.706791,39.650739
128,0.254000,4184.183783,4.591196,0.955408,3.706147,38.628483
129,0.256000,4089.023160,4.621856,0.962819,3.705519,37.785123
130,0.258000,4019.815433,4.651901,0.970230,3.704904,37.171769
131,0.260000,3988.095226,4.681567,0.977639,3.704297,36.890649
132,0.262000,3982.327915,4.711089,0.985047,3.703693,36.839536
133,0.264000,3990.978881,4.740617,0.992454,3.703089,36.916205
134,0.266000,4002.513502,4.770216,0.999859,3.702483,37.018431
135,0.268000,3970.793294,4.799734,1.007264,3.701878,36.737311
136,0.270000,3910.236534,4.828906,1.014667,3.701281,36.200626
137,0.272000,3820.843220,4.857519,1.022069,3.700696,35.408378
138,0.274000,3676.660457,4.885263,1.029470,3.700129,34.130559
139,0.276000,3497.873831,4.911808,1.036869,3.699587,32.546063
140,0.278000,3365.225689,4.937197,1.044268,3.699069,31.370469
141,0.280000,3373.876655,4.962123,1.051666,3.698561,31.447138
142,0.282000,3500.757487,4.987548,1.059062,3.698043,32.571619
143,0.284000,3676.660457,5.014088,1.066458,3.697501,34.130559
144,0.286000,3826.610531,5.041829,1.073852,3.696933,35.459491
145,0.288000,3979.444260,5.070685,1.081246,3.696342,36.813980
146,0.290000,4143.812610,5.100709,1.088638,3.695726,38.270694
147,0.292000,4296.646338,5.131900,1.096028,3.695085,39.625183
148,0.294000,4463.898344,5.164268,1.103418,3.694419,41.107453
149,0.296000,4642.684970,5.197908,1.110806,3.693726,42.691949
150,0.298000,4801.286009,5.232788,1.118193,3.693006,44.097551
151,0.300000,4907.981254,5.268641,1.125578,3.692266,45.043137
152,0.302000,4919.515875,5.304923,1.132962,3.691517,45.145363
153,0.304000,4899.330288,5.341166,1.140344,3.690768,44.966468
154,0.306000,4919.515875,5.377401,1.147725,3.690019,45.145363
155,0.308000,4928.166841,5.413736,1.155104,3.689268,45.222032
156,0.310000,4928.166841,5.450095,1.162482,3.688516,45.222032
157,0.312000,4887.795667,5.486297,1.169858,3.687768,44.864243
158,0.314000,4760.914835,5.521876,1.177233,3.687032,43.739761
159,0.316000,4559.058967,5.556236,1.184606,3.686323,41.950814
160,0.318000,4305.297304,5.588910,1.191978,3.685648,39.701852
161,0.320000,4080.372194,5.619814,1.199349,3.685012,37.708453
162,0.322000,3921.771155,5.649300,1.206719,3.684405,36.302852
163,0.324000,3792.006668,5.677718,1.214087,3.683821,35.152814
164,0.326000,3650.707560,5.705134,1.221454,3.683258,33.900551
165,0.328000,3518.059418,5.731536,1.228820,3.682717,32.724957
166,0.330000,3411.364173,5.757053,1.236185,3.682194,31.779371
167,0.332000,3368.109345,5.782015,1.243549,3.681683,31.396025
168,0.334000,3388.294931,5.806888,1.250911,3.681174,31.574920
169,0.336000,3477.688244,5.832161,1.258273,3.680656,32.367168
170,0.338000,3541.128660,5.857993,1.265634,3.680127,32.929408
171,0.340000,3532.477694,5.884023,1.272994,3.679593,32.852739
172,0.342000,3425.782450,5.909625,1.280352,3.679068,31.907153
173,0.344000,3333.505481,5.934491,1.287710,3.678558,31.089348
174,0.346000,3229.693892,5.958633,1.295067,3.678064,30.169318
175,0.348000,3166.253476,5.982156,1.302422,3.677583,29.607078
176,0.350000,3102.813061,6.005209,1.309777,3.677112,29.044837
177,0.352000,3076.860163,6.027931,1.317131,3.676648,28.814830
178,0.354000,3111.464026,6.050682,1.324484,3.676184,29.121506
179,0.356000,3172.020787,6.073780,1.331836,3.675712,29.658191
180,0.358000,3267.181410,6.097447,1.339186,3.675227,30.501551
