[N02-c-2024-T4-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,-0.038000,123.997176,0.000000,0.000000,3.802254,1.520605
2,-0.036000,129.764487,0.000965,0.007605,3.802254,1.571718
3,-0.034000,204.739523,0.002237,0.015209,3.802247,2.236184
4,-0.032000,470.035807,0.004802,0.022813,3.802214,4.587372
5,-0.030000,983.326444,0.010328,0.030418,3.802120,9.136409
6,-0.028000,1773.447985,0.020810,0.038022,3.801924,16.138860
7,-0.026000,2678.915737,0.037736,0.045625,3.801595,24.163567
8,-0.024000,3509.408452,0.061260,0.053228,3.801130,31.523807
9,-0.022000,4068.837572,0.090064,0.060830,3.800557,36.481747
10,-0.020000,4184.183783,0.121427,0.068430,3.799931,37.504002
11,-0.018000,3884.283636,0.152084,0.076030,3.799319,34.846138
12,-0.016000,3362.342034,0.179615,0.083628,3.798771,30.220431
13,-0.014000,2794.261947,0.203001,0.091225,3.798309,25.185822
14,-0.012000,2165.625100,0.221839,0.098821,3.797940,19.614529
15,-0.010000,1534.104598,0.235890,0.106417,3.797671,14.017680
16,-0.008000,951.606236,0.245330,0.114012,3.797496,8.855289
17,-0.006000,400.828081,0.250466,0.121607,3.797409,3.974019
18,-0.004000,-25.952898,0.251889,0.129201,3.797400,0.191673
19,-0.002000,-210.506834,0.250991,0.136796,3.797438,-1.443936
20,0.000000,-0.000000,0.250192,0.144391,3.797474,0.421680
21,0.002000,576.731052,0.252382,0.151986,3.797448,5.532958
22,0.004000,1338.016041,0.259653,0.159581,3.797318,12.279845
23,0.006000,1992.605785,0.272300,0.167175,3.797077,18.081146
24,0.008000,2393.433866,0.288953,0.174769,3.796753,21.633484
25,0.010000,2491.478145,0.307499,0.182362,3.796391,22.502401
26,0.012000,2387.666556,0.326022,0.189955,3.796029,21.582371
27,0.014000,2301.156898,0.343820,0.197546,3.795681,20.815680
28,0.016000,2453.990627,0.361868,0.205137,3.795329,22.170168
29,0.018000,2788.494637,0.381764,0.212728,3.794938,25.134710
30,0.020000,3094.162094,0.404087,0.220317,3.794497,27.843687
31,0.022000,3241.228513,0.428125,0.227906,3.794021,29.147063
32,0.024000,3261.414099,0.452794,0.235493,3.793532,29.325957
33,0.026000,3235.461202,0.477439,0.243080,3.793043,29.095950
34,0.028000,3246.995823,0.502026,0.250665,3.792555,29.198176
35,0.030000,3391.178586,0.527200,0.258250,3.792055,30.475995
36,0.032000,3719.915286,0.554163,0.265834,3.791518,33.389423
37,0.034000,4106.325091,0.583834,0.273416,3.790926,36.813980
38,0.036000,4337.017512,0.615839,0.280997,3.790284,38.858491
39,0.038000,4446.596412,0.649129,0.288577,3.789617,39.829634
40,0.040000,4458.131033,0.682871,0.296156,3.788939,39.931859
41,0.042000,4573.477243,0.717088,0.303733,3.788252,40.954115
42,0.044000,4942.585116,0.753134,0.311309,3.787527,44.225333
43,0.046000,5611.593137,0.793104,0.318883,3.786721,50.154415
44,0.048000,6465.155094,0.838829,0.326455,3.785795,57.719107
45,0.050000,7203.370841,0.890568,0.334026,3.784745,64.261543
46,0.052000,7517.689264,0.946275,0.341594,3.783613,67.047189
47,0.054000,7315.833396,1.002391,0.349160,3.782471,65.258242
48,0.056000,6773.706207,1.055677,0.356724,3.781388,60.453640
49,0.058000,6159.487636,1.104576,0.364286,3.780396,55.010129
50,0.060000,5588.523895,1.148983,0.371846,3.779496,49.949964
51,0.062000,5164.626571,1.189620,0.379404,3.778674,46.193175
52,0.064000,4830.122561,1.227383,0.386961,3.777912,43.228634
53,0.066000,4527.338759,1.262732,0.394516,3.777199,40.545213
54,0.068000,4192.834749,1.295667,0.402069,3.776536,37.580671
55,0.070000,3939.073086,1.326375,0.409622,3.775919,35.331709
56,0.072000,3947.724051,1.356152,0.417173,3.775322,35.408378
57,0.074000,4325.482891,1.387384,0.424723,3.774694,38.756265
58,0.076000,4991.607256,1.422549,0.432272,3.773984,44.659791
59,0.078000,5672.149897,1.462790,0.439819,3.773169,50.691099
60,0.080000,6173.905913,1.507481,0.447364,3.772262,55.137911
61,0.082000,6315.205020,1.554587,0.454908,3.771304,56.390174
62,0.084000,6156.603981,1.601616,0.462450,3.770348,54.984573
63,0.086000,5865.354800,1.646938,0.469989,3.769427,52.403378
64,0.088000,5675.033553,1.690434,0.477527,3.768543,50.716656
65,0.090000,5680.800863,1.733224,0.485064,3.767674,50.767769
66,0.092000,5856.703834,1.776688,0.492598,3.766791,52.326708
67,0.094000,6029.723150,1.821456,0.500131,3.765880,53.860092
68,0.096000,6041.257771,1.866909,0.507662,3.764955,53.962317
69,0.098000,5951.864458,1.912057,0.515191,3.764036,53.170069
70,0.100000,5899.958663,1.956662,0.522718,3.763128,52.710054
71,0.102000,6070.094323,2.001701,0.530243,3.762211,54.217881
72,0.104000,6447.853162,2.048790,0.537767,3.761251,57.565768
73,0.106000,6955.376488,2.099196,0.545288,3.760222,62.063693
74,0.108000,7413.877675,2.153219,0.552807,3.759117,66.127159
75,0.110000,7687.824924,2.209979,0.560324,3.757954,68.555016
76,0.112000,7679.173959,2.267719,0.567839,3.756771,68.478347
77,0.114000,7520.572919,2.324812,0.575352,3.755601,67.072745
78,0.116000,7445.597882,2.381010,0.582862,3.754450,66.408279
79,0.118000,7609.966232,2.437527,0.590369,3.753291,67.864994
80,0.120000,7973.306795,2.496006,0.597875,3.752091,71.085099
81,0.122000,8353.949290,2.557257,0.605378,3.750833,74.458542
82,0.124000,8524.084950,2.620552,0.612878,3.749532,75.966369
83,0.126000,8379.902187,2.683924,0.620376,3.748229,74.688550
