[N02-c-2024-T4-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,-0.072000,233.576076,0.000000,0.000000,3.800824,1.137259
2,-0.070000,253.761663,0.001852,0.007602,3.800805,1.316154
3,-0.068000,273.947250,0.003858,0.015203,3.800783,1.495049
4,-0.066000,271.063594,0.005929,0.022805,3.800760,1.469492
5,-0.064000,262.412629,0.007957,0.030406,3.800738,1.392823
6,-0.062000,250.878008,0.009908,0.038008,3.800718,1.290598
7,-0.060000,245.110697,0.011793,0.045609,3.800698,1.239485
8,-0.058000,245.110697,0.013656,0.053211,3.800680,1.239485
9,-0.056000,256.645318,0.015563,0.060812,3.800660,1.341710
10,-0.054000,268.179939,0.017558,0.068413,3.800639,1.443936
11,-0.052000,268.179939,0.019596,0.076014,3.800616,1.443936
12,-0.050000,250.878008,0.021569,0.083616,3.800595,1.290598
13,-0.048000,262.412629,0.023520,0.091217,3.800575,1.392823
14,-0.046000,262.412629,0.025515,0.098818,3.800553,1.392823
15,-0.044000,271.063594,0.027542,0.106419,3.800531,1.469492
16,-0.042000,273.947250,0.029613,0.114020,3.800508,1.495049
17,-0.040000,262.412629,0.031652,0.121621,3.800486,1.392823
18,-0.038000,245.110697,0.033581,0.129222,3.800466,1.239485
19,-0.036000,247.994352,0.035455,0.136823,3.800447,1.265041
20,-0.034000,325.853044,0.037636,0.144424,3.800421,1.955064
21,-0.032000,562.312776,0.041011,0.152025,3.800371,4.050688
22,-0.030000,1023.697617,0.047038,0.159625,3.800267,8.139710
23,-0.028000,1764.797019,0.057635,0.167226,3.800068,14.707702
24,-0.026000,2676.032082,0.074510,0.174825,3.799740,22.783522
25,-0.024000,3541.128660,0.098131,0.182424,3.799273,30.450439
26,-0.022000,4140.928954,0.127315,0.190022,3.798692,35.766168
27,-0.020000,4305.297304,0.159397,0.197619,3.798050,37.222882
28,-0.018000,4074.604883,0.191222,0.205215,3.797414,35.178371
29,-0.016000,3567.081557,0.220238,0.212809,3.796836,30.680446
30,-0.014000,2993.234160,0.245145,0.220402,3.796342,25.594725
31,-0.012000,2367.480969,0.265496,0.227994,3.795942,20.048988
32,-0.010000,1715.774880,0.280995,0.235586,3.795642,14.273244
33,-0.008000,1072.719757,0.291579,0.243177,3.795444,8.574169
34,-0.006000,501.756015,0.297555,0.250768,3.795340,3.514004
35,-0.004000,20.185587,0.299535,0.258358,3.795319,-0.753914
36,-0.002000,-204.739524,0.298835,0.265949,3.795353,-2.747312
37,0.000000,-0.000000,0.298058,0.273540,3.795388,-0.932808
38,0.002000,645.938778,0.300510,0.281131,3.795357,4.791823
39,0.004000,1511.035357,0.308696,0.288721,3.795208,12.458740
40,0.006000,2329.993451,0.323273,0.296311,3.794927,19.716755
41,0.008000,2877.887950,0.343035,0.303901,3.794539,24.572469
42,0.010000,3085.511129,0.365662,0.311489,3.794092,26.412529
43,0.012000,3022.070713,0.388833,0.319077,3.793634,25.850288
44,0.014000,2967.281263,0.411553,0.326664,3.793185,25.364717
45,0.016000,3148.951544,0.434752,0.334250,3.792726,26.974770
46,0.018000,3492.106520,0.459938,0.341835,3.792226,30.015980
47,0.020000,3705.497010,0.487231,0.349419,3.791682,31.907153
48,0.022000,3653.591215,0.515132,0.357001,3.791126,31.447138
49,0.024000,3408.480518,0.541904,0.364583,3.790593,29.274845
50,0.026000,3154.718855,0.566780,0.372164,3.790099,27.025882
51,0.028000,3056.674576,0.590321,0.379744,3.789632,26.156965
52,0.030000,3255.646789,0.614241,0.387322,3.789158,27.920356
53,0.032000,3725.682597,0.640692,0.394900,3.788631,32.086048
54,0.034000,4285.111717,0.671039,0.402477,3.788024,37.043987
55,0.036000,4668.637867,0.704953,0.410052,3.787343,40.442987
56,0.038000,4783.984077,0.740750,0.417626,3.786622,41.465243
57,0.040000,4778.216767,0.776955,0.425199,3.785894,41.414130
58,0.042000,4884.912011,0.813535,0.432770,3.785157,42.359716
59,0.044000,5268.438161,0.851963,0.440339,3.784382,45.758716
60,0.046000,5943.213492,0.894387,0.447907,3.783524,51.738911
61,0.048000,6802.542760,0.942604,0.455473,3.782546,59.354716
62,0.050000,7474.434435,0.996599,0.463037,3.781449,65.309355
63,0.052000,7658.988372,1.053817,0.470599,3.780284,66.944963
64,0.054000,7261.043946,1.110210,0.478158,3.779136,63.418182
65,0.056000,6566.083028,1.162458,0.485716,3.778073,57.259092
66,0.058000,5902.842318,1.209561,0.493271,3.777117,51.381122
67,0.060000,5447.224787,1.252427,0.500824,3.776249,47.343212
