System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-C-1018-Cham"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:24:15 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"C"
Material,,"1018"
Weld Type,,"Chamfer"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"17.49"
Specimen Thickness t,(mm),"9.44"
Weld Thickness tw,(mm),"13.59"
Specimen Gage Length,(mm),"59.86"
Fracture Type and Location,,"One sided break at weld"
Unwelded Gap Thickness tg (mm),,"2.13"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"86.38"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.1338"
"0.50","0.03","0.4841"
"1.00","0.06","0.8938"
"1.50","0.10","1.352"
"2.00","0.13","1.816"
"2.50","0.16","2.272"
"3.00","0.20","2.680"
"3.50","0.23","3.049"
"4.00","0.26","3.376"
"4.50","0.30","3.667"
"5.00","0.33","3.941"
"5.50","0.36","4.194"
"6.00","0.40","4.470"
"6.50","0.43","4.741"
"7.00","0.46","5.005"
"7.50","0.50","5.258"
"8.00","0.53","5.509"
"8.50","0.56","5.769"
"9.00","0.60","6.041"
"9.50","0.63","6.314"
"10.00","0.66","6.589"
"10.50","0.70","6.871"
"11.00","0.73","7.147"
"11.50","0.76","7.427"
"12.00","0.80","7.711"
"12.50","0.83","7.996"
"13.00","0.86","8.284"
"13.50","0.90","8.578"
"14.00","0.93","8.870"
"14.50","0.96","9.167"
"15.00","1.00","9.467"
"15.50","1.03","9.763"
"16.00","1.06","10.06"
"16.50","1.10","10.37"
"17.00","1.13","10.67"
"17.50","1.16","10.98"
"18.00","1.20","11.29"
"18.50","1.23","11.61"
"19.00","1.26","11.93"
"19.50","1.30","12.24"
"20.00","1.33","12.56"
"20.50","1.36","12.89"
"21.00","1.40","13.21"
"21.50","1.43","13.54"
"22.00","1.46","13.87"
"22.50","1.50","14.20"
"23.00","1.53","14.53"
"23.50","1.56","14.87"
"24.00","1.60","15.19"
"24.50","1.63","15.54"
"25.00","1.66","15.88"
"25.50","1.70","16.22"
"26.00","1.73","16.57"
"26.50","1.76","16.92"
"27.00","1.80","17.27"
"27.50","1.83","17.63"
"28.00","1.86","17.98"
"28.50","1.90","18.34"
"29.00","1.93","18.70"
"29.50","1.96","19.06"
"30.00","2.00","19.42"
"30.50","2.03","19.79"
"31.00","2.06","20.16"
"31.50","2.10","20.53"
"32.00","2.13","20.91"
"32.50","2.16","21.28"
"33.00","2.20","21.67"
"33.50","2.23","22.06"
"34.00","2.26","22.44"
"34.50","2.30","22.83"
"35.00","2.33","23.21"
"35.50","2.36","23.60"
"36.00","2.40","24.00"
"36.50","2.43","24.39"
"37.00","2.46","24.79"
"37.50","2.50","25.19"
"38.00","2.53","25.59"
"38.50","2.56","25.99"
"39.00","2.60","26.40"
"39.50","2.63","26.81"
"40.00","2.66","27.21"
"40.50","2.70","27.63"
"41.00","2.73","28.03"
"41.50","2.76","28.45"
"42.00","2.80","28.86"
"42.50","2.83","29.28"
"43.00","2.86","29.70"
"43.50","2.90","30.12"
"44.00","2.93","30.53"
"44.50","2.96","30.95"
"45.00","3.00","31.37"
"45.50","3.03","31.80"
"46.00","3.06","32.22"
"46.50","3.10","32.64"
"47.00","3.13","33.07"
"47.50","3.16","33.50"
"48.00","3.20","33.93"
"48.50","3.23","34.35"
"49.00","3.26","34.79"
"49.50","3.30","35.22"
