System ID,,"4483J11304"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-D-1018-Butt"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:23:16 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"1018"
Weld Type,,"Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"15.73"
Specimen Thickness t,(mm),"9.62"
Weld Thickness tw,(mm),"14.36"
Specimen Gage Length,(mm),"62.47"
Fracture Type and Location,,""
Unwelded Gap Thickness tg (mm),,"3.44"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"65.25"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.04170"
"0.50","0.03","0.3983"
"1.00","0.06","0.9477"
"1.50","0.09","1.421"
"2.00","0.13","1.795"
"2.50","0.16","2.120"
"3.00","0.19","2.391"
"3.50","0.23","2.655"
"4.00","0.26","2.919"
"4.50","0.29","3.181"
"5.00","0.33","3.444"
"5.50","0.36","3.708"
"6.00","0.39","3.972"
"6.50","0.43","4.233"
"7.00","0.46","4.488"
"7.50","0.49","4.733"
"8.00","0.53","4.994"
"8.50","0.56","5.255"
"9.00","0.59","5.515"
"9.50","0.63","5.782"
"10.00","0.66","6.053"
"10.50","0.69","6.324"
"11.00","0.73","6.603"
"11.50","0.76","6.879"
"12.00","0.79","7.164"
"12.50","0.83","7.448"
"13.00","0.86","7.733"
"13.50","0.89","8.024"
"14.00","0.93","8.319"
"14.50","0.96","8.614"
"15.00","0.99","8.910"
"15.50","1.03","9.212"
"16.00","1.06","9.510"
"16.50","1.09","9.820"
"17.00","1.13","10.13"
"17.50","1.16","10.44"
"18.00","1.19","10.76"
"18.50","1.23","11.07"
"19.00","1.26","11.39"
"19.50","1.29","11.72"
"20.00","1.33","12.04"
"20.50","1.36","12.37"
"21.00","1.39","12.71"
"21.50","1.43","13.04"
"22.00","1.46","13.37"
"22.50","1.49","13.72"
"23.00","1.53","14.06"
"23.50","1.56","14.40"
"24.00","1.59","14.75"
"24.50","1.63","15.09"
"25.00","1.66","15.44"
"25.50","1.69","15.80"
"26.00","1.73","16.15"
"26.50","1.76","16.51"
"27.00","1.79","16.87"
"27.50","1.83","17.23"
"28.00","1.86","17.59"
"28.50","1.89","17.95"
"29.00","1.93","18.31"
"29.50","1.96","18.68"
"30.00","1.99","19.05"
"30.50","2.03","19.42"
"31.00","2.06","19.79"
"31.50","2.09","20.17"
"32.00","2.13","20.55"
"32.50","2.16","20.94"
"33.00","2.19","21.31"
"33.50","2.23","21.70"
"34.00","2.26","22.09"
"34.50","2.29","22.48"
"35.00","2.33","22.87"
"35.50","2.36","23.26"
"36.00","2.39","23.65"
"36.50","2.43","24.04"
"37.00","2.46","24.44"
"37.50","2.49","24.84"
"38.00","2.53","25.23"
"38.50","2.56","25.62"
"39.00","2.59","26.02"
"39.50","2.63","26.43"
"40.00","2.66","26.84"
"40.50","2.69","27.24"
"41.00","2.73","27.65"
"41.50","2.76","28.05"
"42.00","2.79","28.46"
"42.50","2.83","28.87"
"43.00","2.86","29.28"
"43.50","2.89","29.69"
"44.00","2.93","30.10"
"44.50","2.96","30.51"
"45.00","2.99","30.93"
"45.50","3.03","31.35"
"46.00","3.06","31.77"
"46.50","3.09","32.18"
"47.00","3.13","32.60"
"47.50","3.16","33.02"
"48.00","3.19","33.44"
"48.50","3.23","33.87"
"49.00","3.26","34.28"
"49.50","3.29","34.71"
"50.00","3.33","35.12"
